# lfs-telemetry telemetry schema=1.1
time_ms,ang_vel_x,ang_vel_y,ang_vel_z,heading,pitch,roll,accel_x,accel_y,accel_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,car,gear,speed_ms,rpm,throttle,brake,clutch,fuel,eng_temp_c,oil_temp_c,oil_pressure_bar,turbo_bar,og_flags,dash_lights,show_lights,og_player_id,current_lap_dist_m,indexed_distance_m,steer_torque_nm,engine_ang_vel_rads,max_torque_at_vel_nm,input_throttle,input_brake,input_steer,input_clutch,input_handbrake,ctx_track,wheel_RL_susp_deflect_m,wheel_RL_vertical_load_n,wheel_RL_slip_ratio,wheel_RL_tan_slip_angle,wheel_RL_x_force_n,wheel_RL_y_force_n,wheel_RL_ang_vel_rads,wheel_RL_lean_rel_road_rad,wheel_RL_air_temp_c,wheel_RL_slip_fraction,wheel_RL_touching,wheel_RL_steer_rad,wheel_RR_susp_deflect_m,wheel_RR_vertical_load_n,wheel_RR_slip_ratio,wheel_RR_tan_slip_angle,wheel_RR_x_force_n,wheel_RR_y_force_n,wheel_RR_ang_vel_rads,wheel_RR_lean_rel_road_rad,wheel_RR_air_temp_c,wheel_RR_slip_fraction,wheel_RR_touching,wheel_RR_steer_rad,wheel_FL_susp_deflect_m,wheel_FL_vertical_load_n,wheel_FL_slip_ratio,wheel_FL_tan_slip_angle,wheel_FL_x_force_n,wheel_FL_y_force_n,wheel_FL_ang_vel_rads,wheel_FL_lean_rel_road_rad,wheel_FL_air_temp_c,wheel_FL_slip_fraction,wheel_FL_touching,wheel_FL_steer_rad,wheel_FR_susp_deflect_m,wheel_FR_vertical_load_n,wheel_FR_slip_ratio,wheel_FR_tan_slip_angle,wheel_FR_x_force_n,wheel_FR_y_force_n,wheel_FR_ang_vel_rads,wheel_FR_lean_rel_road_rad,wheel_FR_air_temp_c,wheel_FR_slip_fraction,wheel_FR_touching,wheel_FR_steer_rad
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,0.6,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.95,88.0,95.0,4.5,0.0,0,0,0,1,0.0,0.0,0.22558805992881006,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,0.001726211786214809,0.0002026263874426522,0.0,0.0,200.34524235724297,-0.02,64.0,0.008631058931074045,1,0.0,0.02,1500.0,-0.00012455294042761577,-0.0016481383391997726,0.0,0.0,199.9750894119145,-0.02,64.0,0.0006227647021380788,1,0.0,0.02,1500.0,0.003055344723598416,0.0015317593248262596,0.0,0.0,200.61106894471968,-0.02,60.0,0.01527672361799208,1,0.0,0.02,1500.0,0.0029361460688347454,0.0014125606700625885,0.0,0.0,200.58722921376696,-0.02,60.0,0.014680730344173727,1,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,1.2,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.949985,88.000004,95.000004,4.5014999937500075,0.0,0,0,0,1,0.6,0.6,-0.22373181910324091,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.003056215073892733,0.0021437054573097453,0.0,0.0,199.38875698522145,-0.02,64.000006,0.015281075369463664,1,0.0,0.02,1500.0,-0.004276353611796725,0.0009235669194057526,0.0,0.0,199.14472927764066,-0.02,64.000006,0.021381768058983626,1,0.0,0.02,1500.0,-0.000488540853718261,0.004711379677484217,0.0,0.0,199.90229182925634,-0.02,60.000006,0.002442704268591305,1,0.0,0.02,1500.0,-0.006903581213595234,-0.0017036606823927563,0.0,0.0,198.61928375728095,-0.02,60.000006,0.03451790606797617,1,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,1.8,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.94997,88.000008,95.000008,4.50299995000025,0.0,0,0,0,1,1.1999999999999997,1.1999999999999997,-0.2130427851155327,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,0.0036333680491225074,-0.00011888792990977893,0.0,0.0,200.7266736098245,-0.02,64.000012,0.018166840245612537,1,0.0,0.02,1500.0,0.00813062813464446,0.0043783721556121735,0.0,0.0,201.6261256269289,-0.02,64.000012,0.0406531406732223,1,0.0,0.02,1500.0,0.005477482417050034,0.0017252264380177473,0.0,0.0,201.09549648341002,-0.02,60.000012,0.027387412085250168,1,0.0,0.02,1500.0,0.005708392022032833,0.0019561360430005465,0.0,0.0,201.14167840440658,-0.02,60.000012,0.028541960110164164,1,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,2.4,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.949955,88.000012,95.000012,4.5044998312518985,0.0,0,0,0,1,1.7999999999999998,1.7999999999999998,0.012631415549195243,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,0.004814921474547124,0.00011209789259105426,0.0,0.0,200.96298429490943,-0.02,64.000018,0.024074607372735618,1,0.0,0.02,1500.0,0.0059437483012478596,0.00124092471929179,0.0,0.0,201.18874966024958,-0.02,64.000018,0.029718741506239297,1,0.0,0.02,1500.0,0.003413136966640613,-0.0012896866153154567,0.0,0.0,200.68262739332812,-0.02,60.000018,0.017065684833203063,1,0.0,0.02,1500.0,0.0035434908588495126,-0.0011593327231065567,0.0,0.0,200.7086981717699,-0.02,60.000018,0.017717454294247564,1,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,3.0,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.94994,88.000016,95.000016,4.505999600008,0.0,0,0,0,1,2.4,2.4,0.2713381732801644,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.00873664595741937,0.0010185299858498117,0.0,0.0,198.25267080851611,-0.02,64.000024,0.04368322978709685,1,0.0,0.02,1500.0,-0.015329311681326247,-0.005574135738057065,0.0,0.0,196.93413766373476,-0.02,64.000024,0.07664655840663123,1,0.0,0.02,1500.0,-0.009281146351023686,0.00047402959224549646,0.0,0.0,198.14377072979525,-0.02,60.000024,0.04640573175511843,1,0.0,0.02,1500.0,-0.010078970281782014,-0.000323794338512831,0.0,0.0,197.9842059436436,-0.02,60.000024,0.05039485140891007,1,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,3.6,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.9499249999999999,88.00002,95.00002,4.507499218774414,0.0,0,0,0,1,3.0,3.0,-0.007167002255955469,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.007836196634431147,-0.0013252991001195568,0.0,0.0,198.43276067311376,-0.02,64.00003000000001,0.03918098317215574,1,0.0,0.02,1500.0,-0.001206314158337705,0.005304583375973886,0.0,0.0,199.75873716833246,-0.02,64.00003000000001,0.006031570791688525,1,0.0,0.02,1500.0,-0.00554933716809296,0.0009615603662186303,0.0,0.0,198.89013256638142,-0.02,60.00003,0.027746685840464802,1,0.0,0.02,1500.0,-0.0032247003629919508,0.0032861971713196397,0.0,0.0,199.3550599274016,-0.02,60.00003,0.016123501814959754,1,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,4.2,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.9499099999999999,88.000024,95.000024,4.508998650060748,0.0,0,0,0,1,3.5999999999999996,3.5999999999999996,0.48699816887974323,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.0007732105991440158,-0.0014124126149804427,0.0,0.0,199.8453578801712,-0.02,64.000036,0.0038660529957200793,1,0.0,0.02,1500.0,-0.0030592909447443284,-0.0036984929605807554,0.0,0.0,199.38814181105113,-0.02,64.000036,0.015296454723721643,1,0.0,0.02,1500.0,0.0035068282823843507,0.0028676262665479238,0.0,0.0,200.70136565647684,-0.02,60.000036,0.017534141411921753,1,0.0,0.02,1500.0,-0.0012992534103609104,-0.0019384554261973371,0.0,0.0,199.74014931792783,-0.02,60.000036,0.006496267051804552,1,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,4.8,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.9498949999999999,88.000028,95.000028,4.510497856381301,0.0,0,0,0,1,4.200000000000001,4.200000000000001,-0.230967594633515,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.0006323540820310722,0.0009488588796868389,0.0,0.0,199.87352918359377,-0.02,64.00004200000001,0.0031617704101553606,1,0.0,0.02,1500.0,-0.0019932368524715753,-0.0004120238907536642,0.0,0.0,199.6013526295057,-0.02,64.00004200000001,0.009966184262357876,1,0.0,0.02,1500.0,0.0008468877195582601,0.002428100681276171,0.0,0.0,200.16937754391165,-0.02,60.000042,0.004234438597791301,1,0.0,0.02,1500.0,-0.00013940353683656063,0.0014418094248813504,0.0,0.0,199.97211929263267,-0.02,60.000042,0.0006970176841828032,1,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,5.4,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.94988,88.000032,95.000032,4.51199680025599,0.0,0,0,0,1,4.800000000000001,4.800000000000001,-0.6641976027315548,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.00014258140578271886,-5.857561826127488e-05,0.0,0.0,199.97148371884344,-0.02,64.00004799999999,0.0007129070289135943,1,0.0,0.02,1500.0,-0.0023508143875871452,-0.002266808600065701,0.0,0.0,199.52983712248258,-0.02,64.00004799999999,0.011754071937935727,1,0.0,0.02,1500.0,-0.005623773024490579,-0.005539767236969135,0.0,0.0,198.8752453951019,-0.02,60.000048,0.028118865122452895,1,0.0,0.02,1500.0,0.0019252159485976556,0.0020092217361190995,0.0,0.0,200.3850431897195,-0.02,60.000048,0.009626079742988278,1,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,60.0,0.0,0.0,6.0,0.0,0.0,FBM,6,60.0,5388.0,0.35,-0.0,0.0,0.949865,88.000036,95.000036,4.513495444211298,0.0,0,0,0,1,5.400000000000001,5.400000000000001,0.9884876840565899,564.2300405847268,220.0,0.35,-0.0,0.0,0.0,0.0,BL1,0.02,1500.0,-0.005079847472476461,-0.0008146278346085607,0.0,0.0,198.9840305055047,-0.02,64.000054,0.025399237362382303,1,0.0,0.02,1500.0,-0.005745223857814327,-0.0014800042199464268,0.0,0.0,198.85095522843713,-0.02,64.000054,0.028726119289071636,1,0.0,0.02,1500.0,-0.005977628742260254,-0.0017124091043923533,0.0,0.0,198.80447425154796,-0.02,60.000054,0.029888143711301267,1,0.0,0.02,1500.0,-0.0036454240333872517,0.0006197956044806487,0.0,0.0,199.27091519332254,-0.02,60.000054,0.01822712016693626,1,0.0
