"d","test1"
0.0,-0.030064
0.5,0.183763
1.0,0.182795
1.5,0.182609
2.0,0.182875
2.5,0.181511
3.0,0.181855
3.5,0.182029
4.0,0.184489
4.5,0.187013
5.0,0.188804
5.5,0.190273
6.0,0.191977
6.5,0.192742
7.0,0.192030
7.5,0.190639
8.0,0.188341
8.5,0.186954
9.0,0.185191
9.5,0.184987
10.0,0.183761
10.5,0.183895
11.0,0.184167
11.5,0.184121
12.0,0.184557
12.5,0.184144
13.0,0.183628
13.5,0.184125
14.0,0.184153
14.5,0.184026
15.0,0.184439
15.5,0.183774
16.0,0.183405
16.5,0.183840
17.0,0.183342
17.5,0.182282
18.0,0.181485
18.5,0.180470
19.0,0.179709
19.5,0.179798
20.0,0.181001
20.5,0.181748
21.0,0.181636
21.5,0.182094
22.0,0.182475
22.5,0.182008
23.0,0.181801
23.5,0.181309
24.0,0.180368
24.5,0.178770
25.0,0.178065
25.5,0.179055
26.0,0.178623
26.5,0.178750
27.0,0.179541
27.5,0.180140
28.0,0.180945
28.5,0.180844
29.0,0.181491
29.5,0.180773
30.0,0.179877
30.5,0.180364
31.0,0.179872
31.5,0.178470
32.0,0.178799
32.5,0.178223
33.0,0.178973
33.5,0.177656
34.0,0.177516
34.5,0.178431
35.0,0.177369
35.5,0.178109
36.0,0.177863
36.5,0.179985
37.0,0.179432
37.5,0.179515
38.0,0.179519
38.5,0.179383
39.0,0.178397
39.5,0.175967
40.0,0.175986
40.5,0.174920
41.0,0.173226
41.5,0.172805
42.0,0.172528
42.5,0.171472
43.0,0.172515
43.5,0.172450
44.0,0.171390
44.5,0.170923
45.0,0.169702
45.5,0.169240
46.0,0.168279
46.5,0.167995
47.0,0.167357
47.5,0.165957
48.0,0.166129
48.5,0.165131
49.0,0.165081
49.5,0.163743
50.0,0.164332
50.5,0.164277
51.0,0.163580
51.5,0.162918
52.0,0.162183
52.5,0.161563
53.0,0.160043
53.5,0.158723
54.0,0.157434
54.5,0.157824
55.0,0.157169
55.5,0.156028
56.0,0.155099
56.5,0.155362
57.0,0.155148
57.5,0.155549
58.0,0.154812
58.5,0.153842
59.0,0.152694
59.5,0.152111
60.0,0.152712
60.5,0.152478
61.0,0.149739
61.5,0.148115
62.0,0.146968
62.5,0.147307
63.0,0.147831
63.5,0.146003
64.0,0.146318
64.5,0.145655
65.0,0.144647
65.5,0.144993
66.0,0.144005
66.5,0.142012
67.0,0.143378
67.5,0.142125
68.0,0.140880
68.5,0.139687
69.0,0.139571
69.5,0.138001
70.0,0.136994
70.5,0.136132
71.0,0.136210
71.5,0.135660
72.0,0.134893
72.5,0.133885
73.0,0.134962
73.5,0.133984
74.0,0.133390
74.5,0.134101
75.0,0.133425
75.5,0.132945
76.0,0.132890
76.5,0.132904
77.0,0.131819
77.5,0.131465
78.0,0.130099
78.5,0.128876
79.0,0.128471
79.5,0.129162
80.0,0.128091
80.5,0.128831
81.0,0.128545
81.5,0.127459
82.0,0.128528
82.5,0.126856
83.0,0.125994
83.5,0.125102
84.0,0.124699
84.5,0.124247
85.0,0.123092
85.5,0.122633
86.0,0.123208
86.5,0.122350
87.0,0.123155
87.5,0.122605
88.0,0.122779
88.5,0.121494
89.0,0.121585
89.5,0.119894
90.0,0.118909
90.5,0.118193
91.0,0.116540
91.5,0.115987
92.0,0.115205
92.5,0.115160
93.0,0.114553
93.5,0.113904
94.0,0.114413
94.5,0.112882
95.0,0.112655
95.5,0.112909
96.0,0.111740
96.5,0.112885
97.0,0.111460
97.5,0.110085
98.0,0.110296
98.5,0.108325
99.0,0.106417
99.5,0.105150
100.0,0.105052
100.5,0.102527
101.0,0.101009
101.5,0.102923
102.0,0.101413
102.5,0.100522
103.0,0.101210
103.5,0.099767
104.0,0.099312
104.5,0.099408
105.0,0.097036
105.5,0.097276
106.0,0.094704
106.5,0.094559
107.0,0.094638
107.5,0.092800
108.0,0.091363
108.5,0.089727
109.0,0.090092
109.5,0.089851
110.0,0.088664
110.5,0.088423
111.0,0.085980
111.5,0.085069
112.0,0.083193
112.5,0.081640
113.0,0.082050
113.5,0.081107
114.0,0.079297
114.5,0.081271
115.0,0.081558
115.5,0.081331
116.0,0.082320
116.5,0.082686
117.0,0.083657
117.5,0.083890
118.0,0.084065
118.5,0.084424
119.0,0.083134
119.5,0.082666
120.0,0.083095
120.5,0.082952
121.0,0.081704
121.5,0.081577
122.0,0.081547
122.5,0.081000
123.0,0.080527
123.5,0.082314
124.0,0.082282
124.5,0.083039
125.0,0.081657
125.5,0.082603
126.0,0.082829
126.5,0.081836
127.0,0.082001
127.5,0.081733
128.0,0.081435
128.5,0.080410
129.0,0.081409
129.5,0.081304
130.0,0.081135
130.5,0.081492
131.0,0.081967
131.5,0.080158
132.0,0.080568
132.5,0.079566
133.0,0.079330
133.5,0.079547
134.0,0.080067
134.5,0.077720
135.0,0.078184
135.5,0.078147
136.0,0.079598
136.5,0.079369
137.0,0.079650
137.5,0.080741
138.0,0.080000
138.5,0.080902
139.0,0.081540
139.5,0.079885
140.0,0.070315
140.5,0.050517
141.0,0.031249
141.5,0.012806
142.0,-0.007496
142.5,-0.025466
143.0,-0.043930
143.5,-0.063238
144.0,-0.075506
144.5,-0.077679
145.0,-0.072251
145.5,-0.062410
146.0,-0.052223
146.5,-0.038700
147.0,-0.021629
147.5,0.000492
148.0,0.022467
148.5,0.049016
149.0,0.074564
149.5,0.094546
150.0,0.113506
150.5,0.128221
151.0,0.140162
151.5,0.147061
152.0,0.152439
152.5,0.154492
153.0,0.154526
153.5,0.154680
154.0,0.154997
154.5,0.154901
155.0,0.153684
155.5,0.145158
156.0,0.134248
156.5,0.122079
157.0,0.112385
157.5,0.104713
158.0,0.095239
158.5,0.090019
159.0,0.082018
159.5,0.077499
160.0,0.080733
160.5,0.082498
161.0,0.084911
161.5,0.084300
162.0,0.083755
162.5,0.082015
163.0,0.080884
163.5,0.082401
164.0,0.081598
164.5,0.080749
165.0,0.081518
165.5,0.080952
166.0,0.080550
166.5,0.080854
167.0,0.082556
167.5,0.082008
168.0,0.082575
168.5,0.082377
169.0,0.080722
169.5,0.080654
170.0,0.080597
170.5,0.080025
171.0,0.079327
171.5,0.080729
172.0,0.080693
172.5,0.079856
173.0,0.079440
173.5,0.078627
174.0,0.078936
174.5,0.080857
175.0,0.080743
175.5,0.080796
176.0,0.081849
176.5,0.083382
177.0,0.082183
177.5,0.081756
178.0,0.081554
178.5,0.081208
179.0,0.080319
179.5,0.079757
180.0,0.080617
180.5,0.080074
181.0,0.080382
181.5,0.081967
182.0,0.080298
182.5,0.080347
183.0,0.080472
183.5,0.079932
184.0,0.079988
184.5,0.081014
185.0,0.079649
185.5,0.078801
186.0,0.078802
186.5,0.078074
187.0,0.078376
187.5,0.079000
188.0,0.079383
188.5,0.080908
189.0,0.081020
189.5,0.081550
190.0,0.081220
190.5,0.080115
191.0,0.080272
191.5,0.079363
192.0,0.079015
192.5,0.077700
193.0,0.077941
193.5,0.077129
194.0,0.077590
194.5,0.079941
195.0,0.079138
195.5,0.079763
196.0,0.079891
196.5,0.079792
197.0,0.079310
197.5,0.078937
198.0,0.079340
198.5,0.080203
199.0,0.079240
199.5,0.078096
200.0,0.078369
200.5,0.077469
201.0,0.077546
201.5,0.076325
202.0,0.076709
202.5,0.078080
203.0,0.077346
203.5,0.078225
204.0,0.078549
204.5,0.077804
205.0,0.079580
205.5,0.077583
206.0,0.078267
206.5,0.077055
207.0,0.076191
207.5,0.075818
208.0,0.075372
208.5,0.076477
209.0,0.075956
209.5,0.075603
210.0,0.077135
210.5,0.077306
211.0,0.076082
211.5,0.078294
212.0,0.076739
212.5,0.078206
213.0,0.075750
213.5,0.075486
214.0,0.076007
214.5,0.076088
215.0,0.076561
215.5,0.075028
216.0,0.076657
216.5,0.076470
217.0,0.076575
217.5,0.076178
218.0,0.074903
218.5,0.078367
219.0,0.076515
219.5,0.076243
220.0,0.075844
220.5,0.076794
221.0,0.076961
221.5,0.075075
222.0,0.076454
222.5,0.076005
223.0,0.076639
223.5,0.074122
224.0,0.075246
224.5,0.075439
225.0,0.076482
225.5,0.077359
226.0,0.078159
226.5,0.077770
227.0,0.077949
227.5,0.079301
228.0,0.079188
228.5,0.079851
229.0,0.078477
229.5,0.078800
230.0,0.079149
230.5,0.076479
231.0,0.077322
231.5,0.076151
232.0,0.075351
232.5,0.076843
233.0,0.079300
233.5,0.078886
234.0,0.078079
234.5,0.076998
235.0,0.078134
235.5,0.077359
236.0,0.078789
236.5,0.076792
237.0,0.076122
237.5,0.075957
238.0,0.076408
238.5,0.078256
239.0,0.077494
239.5,0.078870
240.0,0.079670
240.5,0.078882
241.0,0.078637
241.5,0.080007
242.0,0.079093
242.5,0.079997
243.0,0.076458
243.5,0.075732
244.0,0.077114
244.5,0.079059
245.0,0.078915
245.5,0.078000
246.0,0.077629
246.5,0.078275
247.0,0.079337
247.5,0.077726
248.0,0.078737
248.5,0.080593
249.0,0.079770
249.5,0.079398
250.0,0.078518
250.5,0.080700
251.0,0.079076
251.5,0.077074
252.0,0.076300
252.5,0.077650
253.0,0.076761
253.5,0.076834
254.0,0.077124
254.5,0.076815
255.0,0.077676
255.5,0.076396
256.0,0.075408
256.5,0.076216
257.0,0.075417
257.5,0.074838
258.0,0.073275
258.5,0.074035
259.0,0.070646
259.5,0.071748
260.0,0.069950
260.5,0.072190
261.0,0.072746
261.5,0.074143
262.0,0.073242
262.5,0.072233
263.0,0.073014
263.5,0.071694
264.0,0.074186
264.5,0.070876
265.0,0.069448
265.5,0.069030
266.0,0.068477
266.5,0.067023
267.0,0.065987
267.5,0.067051
268.0,0.068597
268.5,0.068951
269.0,0.067242
269.5,0.067044
270.0,0.065574
270.5,0.065528
271.0,0.067448
271.5,0.064123
272.0,0.064667
272.5,0.064318
273.0,0.064509
273.5,0.063465
274.0,0.063925
274.5,0.064361
275.0,0.062765
275.5,0.065474
276.0,0.063932
276.5,0.062894
277.0,0.065019
277.5,0.064244
278.0,0.062882
278.5,0.061919
279.0,0.058305
279.5,0.058012
280.0,0.056714
280.5,0.054647
281.0,0.053308
281.5,0.051635
282.0,0.047234
282.5,0.045124
283.0,0.041848
283.5,0.041468
284.0,0.041776
284.5,0.040943
285.0,0.038151
285.5,0.037380
286.0,0.035922
286.5,0.033814
287.0,0.035607
287.5,0.034340
288.0,0.038458
288.5,0.034759
289.0,0.035007
289.5,0.032188
290.0,0.031774
290.5,0.029837
291.0,0.029529
291.5,0.031837
292.0,0.028209
292.5,0.028319
293.0,0.026780
293.5,0.027729
294.0,0.028683
294.5,0.028131
295.0,0.027421
295.5,0.024617
296.0,0.024277
296.5,0.023629
297.0,0.020334
297.5,0.022186
298.0,0.019995
298.5,0.019752
299.0,0.017755
299.5,0.018304
300.0,0.018043
300.5,0.015914
301.0,0.014966
301.5,0.014658
302.0,0.012380
302.5,0.012057
303.0,0.015154
303.5,0.012376
304.0,0.013886
304.5,0.013879
305.0,0.013659
305.5,0.012380
306.0,0.011270
306.5,0.009067
307.0,0.009018
307.5,0.010025
308.0,0.009254
308.5,0.004853
309.0,0.003878
309.5,0.002492
310.0,0.002754
310.5,0.002683
311.0,0.002312
311.5,0.003870
312.0,0.004221
312.5,0.003177
313.0,0.003500
313.5,0.001730
314.0,0.002685
314.5,0.002779
315.0,0.000223
315.5,-0.000642
316.0,-0.000971
316.5,0.000337
317.0,-0.000935
317.5,-0.001726
318.0,-0.003447
318.5,-0.002688
319.0,-0.000581
319.5,-0.002269
320.0,-0.001673
320.5,-0.000529
321.0,-0.000591
321.5,-0.000096
322.0,0.001313
322.5,0.003529
323.0,0.000608
323.5,0.000046
324.0,-0.000423
324.5,-0.001513
325.0,-0.002532
325.5,-0.004475
326.0,-0.005992
326.5,-0.005663
327.0,-0.006764
327.5,-0.004439
328.0,-0.008736
328.5,-0.009717
329.0,-0.008987
329.5,-0.007279
330.0,-0.002687
330.5,-0.002966
331.0,0.000761
331.5,0.000833
332.0,-0.000491
332.5,-0.002872
333.0,-0.005255
333.5,-0.005624
334.0,-0.005876
334.5,-0.006469
335.0,-0.006529
335.5,-0.005182
336.0,-0.005054
336.5,-0.006993
337.0,-0.004786
337.5,-0.003130
338.0,-0.006022
338.5,-0.006758
339.0,-0.008615
339.5,-0.013560
340.0,-0.016393
340.5,-0.015501
341.0,-0.012784
341.5,-0.011034
342.0,-0.012154
342.5,-0.015714
343.0,-0.012187
343.5,-0.011436
344.0,-0.010800
344.5,-0.009363
345.0,-0.009309
345.5,-0.009341
346.0,-0.008924
346.5,-0.012584
347.0,-0.010376
347.5,-0.012687
348.0,-0.014128
348.5,-0.018331
349.0,-0.021197
349.5,-0.020922
350.0,-0.018976
350.5,-0.020485
351.0,-0.020728
351.5,-0.018002
352.0,-0.014735
352.5,-0.015212
353.0,-0.012681
353.5,-0.017212
354.0,-0.015413
354.5,-0.015733
355.0,-0.017519
355.5,-0.020113
356.0,-0.022542
356.5,-0.020787
