"d","test1"
0.0,656.574036
0.5,662.657104
1.0,670.508057
1.5,660.365723
2.0,632.909119
2.5,603.482544
3.0,571.438477
3.5,542.019592
4.0,518.134338
4.5,523.532104
5.0,552.429077
5.5,598.564758
6.0,649.484436
6.5,689.772400
7.0,708.705383
7.5,710.554443
8.0,704.645508
8.5,696.033691
9.0,689.112793
9.5,677.313965
10.0,657.719055
10.5,639.394714
11.0,632.880249
11.5,641.775513
12.0,653.463074
12.5,660.815125
13.0,665.765564
13.5,660.713440
14.0,653.800049
14.5,664.917603
15.0,672.692993
15.5,670.310486
16.0,667.496094
16.5,657.409119
17.0,652.565796
17.5,644.419922
18.0,638.351746
18.5,625.572510
19.0,599.752747
19.5,580.654968
20.0,575.682617
20.5,589.868408
21.0,607.320190
21.5,624.114136
22.0,634.603455
22.5,641.451477
23.0,652.225647
23.5,670.826599
24.0,661.661499
24.5,648.239868
25.0,626.779724
25.5,607.612122
26.0,585.298340
26.5,556.569092
27.0,538.399536
27.5,534.877014
28.0,553.713318
28.5,583.295837
29.0,602.519897
29.5,615.759521
30.0,617.848267
30.5,619.572876
31.0,620.029480
31.5,617.400696
32.0,616.832581
32.5,609.948486
33.0,602.909851
33.5,598.790710
34.0,600.774841
34.5,595.015747
35.0,575.469910
35.5,572.795959
36.0,578.221802
36.5,587.354858
37.0,596.490540
37.5,602.643677
38.0,612.412842
38.5,625.880432
39.0,640.446899
39.5,647.296448
40.0,636.879883
40.5,620.540222
41.0,612.301086
41.5,604.289612
42.0,598.316650
42.5,601.237305
43.0,606.446106
43.5,611.915405
44.0,619.078186
44.5,633.390198
45.0,638.836304
45.5,640.064026
46.0,636.910278
46.5,636.366272
47.0,635.267517
47.5,630.501465
48.0,614.808594
48.5,605.784607
49.0,605.582092
49.5,614.125793
50.0,621.619507
50.5,631.231812
51.0,635.198730
51.5,645.907593
52.0,664.915955
52.5,678.452576
53.0,696.389954
53.5,697.099731
54.0,690.699097
54.5,682.971863
55.0,687.443848
55.5,693.527466
56.0,694.236694
56.5,694.274719
57.0,685.284302
57.5,686.683655
58.0,711.348511
58.5,734.370667
59.0,749.072327
59.5,760.492126
60.0,768.795288
60.5,788.529480
61.0,802.795593
61.5,802.688171
62.0,790.442505
62.5,775.866882
