"d","test1"
0.0,829.397766
0.5,835.628052
1.0,837.368469
1.5,840.425110
2.0,848.223511
2.5,860.796265
3.0,881.176147
3.5,909.637695
4.0,933.901733
4.5,951.443787
5.0,954.456787
5.5,950.538940
6.0,935.876465
6.5,914.737244
7.0,888.601624
7.5,867.002686
8.0,849.414124
8.5,843.860474
9.0,854.437195
9.5,873.161926
10.0,893.927673
10.5,906.990845
11.0,916.512390
11.5,921.851807
12.0,922.127014
12.5,910.294250
13.0,892.572327
13.5,878.454346
14.0,868.635132
14.5,859.395752
15.0,857.451294
15.5,862.890747
16.0,865.775330
16.5,870.420227
17.0,874.039612
17.5,877.035339
18.0,880.394165
18.5,881.500732
19.0,894.840332
19.5,908.408386
20.0,919.524658
20.5,931.128967
21.0,935.150330
21.5,929.168457
22.0,915.294556
22.5,900.937744
23.0,883.073120
23.5,865.013611
24.0,854.768005
24.5,852.112366
25.0,854.804260
25.5,865.063293
26.0,877.037659
26.5,896.006348
27.0,915.360413
27.5,935.516296
28.0,949.668884
28.5,947.746094
29.0,928.995483
29.5,898.522522
30.0,875.377747
30.5,866.163818
31.0,872.049255
31.5,881.333740
32.0,882.886414
32.5,880.276794
33.0,879.903992
33.5,881.031616
34.0,882.112854
34.5,879.632629
35.0,877.666931
35.5,872.526184
36.0,869.434875
36.5,874.957520
37.0,878.252625
37.5,876.201050
38.0,867.063660
38.5,854.550171
39.0,845.284241
39.5,837.869202
40.0,831.148743
40.5,826.380127
41.0,824.871399
41.5,834.472351
42.0,851.312988
42.5,859.950745
43.0,859.148315
43.5,849.449097
44.0,836.078064
44.5,825.462952
45.0,819.882996
45.5,816.391968
46.0,809.948364
46.5,803.844788
47.0,802.438171
47.5,805.343445
48.0,811.104980
48.5,818.169678
49.0,825.409912
49.5,832.352966
50.0,834.607605
50.5,829.226257
51.0,820.110718
51.5,811.391174
52.0,804.759521
52.5,804.734985
53.0,802.742004
53.5,799.234558
54.0,795.836365
54.5,793.049316
55.0,796.968689
55.5,801.803589
56.0,809.442566
56.5,809.103027
57.0,808.645325
57.5,809.844421
58.0,810.904907
58.5,809.892761
59.0,805.811096
59.5,795.307190
60.0,781.583252
60.5,772.894775
61.0,765.974121
61.5,762.653809
62.0,761.121094
62.5,759.907776
63.0,767.709412
63.5,781.748230
64.0,793.513367
64.5,797.636475
65.0,790.502014
65.5,778.135864
66.0,767.571167
66.5,762.027405
67.0,761.330322
67.5,759.410583
68.0,758.305725
68.5,757.255554
69.0,756.511169
69.5,758.826782
70.0,762.571777
70.5,767.876526
71.0,772.630798
71.5,774.395203
72.0,778.131836
72.5,782.333923
73.0,779.550842
73.5,773.202087
74.0,765.339417
74.5,764.338867
75.0,772.962341
75.5,781.184387
76.0,786.143555
76.5,782.600647
77.0,771.836182
77.5,762.595337
78.0,763.029480
78.5,768.080750
79.0,777.816711
79.5,793.045044
80.0,808.503357
80.5,815.545959
81.0,814.040527
81.5,807.708801
82.0,796.558594
82.5,782.819580
83.0,774.063538
83.5,769.375732
84.0,766.527344
84.5,769.045471
85.0,771.791382
85.5,770.391846
86.0,776.619507
86.5,786.826355
87.0,802.445068
87.5,812.440735
88.0,815.064880
88.5,804.979309
89.0,788.760742
89.5,773.129578
90.0,768.571960
