"d","test1"
0.0,901.102783
0.5,903.229126
1.0,899.347595
1.5,885.769775
2.0,861.501282
2.5,829.306885
3.0,797.770752
3.5,772.624390
4.0,756.626038
4.5,763.830139
5.0,797.764282
5.5,844.089355
6.0,884.502808
6.5,910.699524
7.0,908.165039
7.5,889.643616
8.0,867.983032
8.5,851.502930
9.0,844.873352
9.5,838.458374
10.0,826.854370
10.5,814.974304
11.0,806.713196
11.5,806.546326
12.0,819.595764
12.5,832.023926
13.0,836.407410
13.5,830.305786
14.0,829.680908
14.5,845.242188
15.0,864.819275
15.5,873.698303
16.0,872.891541
16.5,859.726440
17.0,846.621765
17.5,830.983154
18.0,824.467102
18.5,816.097168
19.0,795.023010
19.5,775.730469
20.0,765.920288
20.5,776.460938
21.0,796.260010
21.5,815.105713
22.0,823.201599
22.5,821.548462
23.0,825.923584
23.5,842.704956
24.0,843.209290
24.5,839.632751
25.0,825.467896
25.5,813.004761
26.0,800.881836
26.5,781.922119
27.0,766.685181
27.5,761.919800
28.0,775.186951
28.5,797.239380
29.0,814.959900
29.5,813.755554
30.0,806.091187
30.5,801.969482
31.0,803.820312
31.5,809.386169
32.0,813.824341
32.5,810.707947
33.0,804.385010
33.5,799.139832
34.0,800.869690
34.5,800.814209
35.0,788.373108
35.5,785.958435
36.0,792.989502
36.5,809.512207
37.0,823.937744
37.5,828.904419
38.0,831.907104
38.5,836.942444
39.0,842.581055
39.5,841.844666
40.0,829.946533
40.5,810.401855
41.0,797.412842
41.5,791.758057
42.0,791.727600
42.5,796.160095
43.0,800.371704
43.5,803.981384
44.0,808.076416
44.5,817.120544
45.0,821.489685
45.5,822.956299
46.0,818.847168
46.5,816.897461
47.0,816.052307
47.5,814.705750
48.0,805.664612
48.5,797.176331
49.0,793.556458
49.5,798.897156
50.0,806.495972
50.5,808.684509
51.0,803.495422
51.5,800.125549
52.0,804.749756
52.5,814.853333
53.0,823.322693
53.5,817.583923
54.0,807.407043
54.5,794.812561
55.0,793.134583
55.5,795.609619
56.0,795.735596
56.5,791.510681
57.0,782.994385
57.5,777.438599
58.0,785.225098
58.5,800.811707
59.0,813.539429
59.5,815.707336
60.0,810.497375
60.5,812.600952
61.0,819.295959
61.5,820.669861
62.0,811.039001
62.5,797.237732
63.0,785.857544
63.5,784.366333
64.0,788.683838
64.5,793.907166
65.0,802.146484
65.5,806.931458
66.0,808.392090
66.5,805.242798
67.0,803.598572
67.5,805.989624
68.0,806.404358
68.5,806.243103
69.0,802.146301
69.5,803.230042
70.0,803.897522
70.5,792.547058
71.0,778.764404
71.5,763.709167
72.0,763.484680
72.5,777.220520
73.0,787.934937
73.5,790.626770
74.0,783.615784
74.5,772.982422
75.0,777.749268
75.5,783.217041
76.0,787.499817
76.5,790.438171
77.0,792.086182
77.5,793.447815
78.0,786.272522
78.5,770.161560
79.0,755.740234
79.5,745.127808
80.0,741.404602
80.5,751.206604
81.0,760.351929
81.5,767.610596
82.0,772.476440
82.5,776.436462
83.0,771.727661
83.5,766.481995
84.0,765.510010
84.5,766.228821
85.0,769.947388
85.5,770.993530
86.0,761.028320
86.5,748.547668
87.0,742.968811
87.5,746.701782
88.0,757.094421
88.5,768.100403
89.0,781.126160
89.5,784.611938
90.0,777.233643
90.5,764.643677
91.0,754.172485
91.5,744.728271
92.0,732.416382
92.5,721.770142
93.0,715.194946
93.5,713.325134
94.0,726.629639
94.5,735.628784
95.0,740.302917
95.5,734.816895
96.0,736.835938
96.5,750.579651
97.0,763.329102
97.5,769.784607
98.0,766.727539
98.5,756.739990
99.0,742.410461
99.5,732.241272
100.0,727.530273
100.5,724.364563
101.0,719.358459
101.5,712.104858
102.0,712.360168
102.5,715.968323
103.0,723.358215
103.5,724.001099
104.0,721.187622
104.5,718.356995
105.0,720.258667
105.5,724.714539
106.0,726.111450
106.5,721.251343
107.0,716.650208
107.5,715.873596
108.0,719.839355
108.5,722.426819
109.0,723.768188
109.5,724.028442
110.0,723.201721
110.5,723.812988
111.0,722.926208
111.5,720.890076
112.0,716.795593
112.5,713.736633
113.0,714.090027
113.5,717.205872
114.0,718.690674
114.5,718.455322
115.0,719.093872
115.5,725.755005
116.0,739.183960
116.5,758.222595
117.0,766.922363
117.5,770.588867
118.0,767.112671
118.5,771.008423
119.0,767.737854
119.5,769.052185
120.0,771.469177
120.5,779.583374
121.0,781.066406
121.5,780.309143
122.0,774.837708
122.5,775.657654
123.0,782.540161
123.5,784.504150
124.0,776.363281
124.5,774.919128
125.0,779.738464
125.5,796.014526
126.0,805.509399
126.5,799.410583
127.0,791.304138
127.5,790.156738
128.0,788.279602
128.5,791.049133
129.0,800.950684
129.5,812.980408
130.0,823.661804
130.5,827.803101
131.0,824.260620
131.5,817.389343
132.0,811.826782
132.5,809.674805
133.0,809.226013
