"d","test1"
0.0,-1.847709
0.5,-1.890259
1.0,-1.912089
1.5,-1.879928
2.0,-1.827511
2.5,-1.734317
3.0,-1.626551
3.5,-1.509526
4.0,-1.418284
4.5,-1.328308
5.0,-1.278789
5.5,-1.252268
6.0,-1.254112
6.5,-1.322302
7.0,-1.385975
7.5,-1.423012
8.0,-1.448583
8.5,-1.455439
9.0,-1.475877
9.5,-1.497484
10.0,-1.521594
10.5,-1.526246
11.0,-1.533022
11.5,-1.548738
12.0,-1.589234
12.5,-1.584918
13.0,-1.576918
13.5,-1.578548
14.0,-1.572118
14.5,-1.570614
15.0,-1.541820
15.5,-1.549848
16.0,-1.580320
16.5,-1.601921
17.0,-1.566488
17.5,-1.567622
18.0,-1.586320
18.5,-1.581314
19.0,-1.585136
19.5,-1.574109
20.0,-1.544168
20.5,-1.520052
21.0,-1.509094
21.5,-1.533849
22.0,-1.534456
22.5,-1.545818
23.0,-1.546924
23.5,-1.533439
24.0,-1.493662
24.5,-1.471564
25.0,-1.458796
25.5,-1.413586
26.0,-1.376068
26.5,-1.347280
27.0,-1.369173
27.5,-1.423076
28.0,-1.472711
28.5,-1.516365
29.0,-1.561054
29.5,-1.557529
30.0,-1.566714
30.5,-1.578423
31.0,-1.560487
31.5,-1.515291
32.0,-1.490787
32.5,-1.490770
33.0,-1.498206
33.5,-1.501487
34.0,-1.506915
34.5,-1.483018
35.0,-1.435340
35.5,-1.423381
36.0,-1.440142
36.5,-1.447828
37.0,-1.452678
37.5,-1.463635
38.0,-1.485724
38.5,-1.494634
39.0,-1.507787
39.5,-1.569571
40.0,-1.609784
40.5,-1.603927
41.0,-1.614769
41.5,-1.637976
42.0,-1.655863
42.5,-1.665326
43.0,-1.689222
43.5,-1.698246
44.0,-1.712440
44.5,-1.740595
45.0,-1.764962
45.5,-1.760128
46.0,-1.731982
46.5,-1.715425
47.0,-1.736332
47.5,-1.755760
48.0,-1.750539
48.5,-1.728987
49.0,-1.727188
49.5,-1.758890
50.0,-1.777136
50.5,-1.758174
51.0,-1.784642
51.5,-1.792123
52.0,-1.787459
52.5,-1.789242
53.0,-1.779801
53.5,-1.775089
54.0,-1.749935
54.5,-1.711422
55.0,-1.698560
55.5,-1.697603
56.0,-1.679973
56.5,-1.682531
57.0,-1.679073
57.5,-1.674060
58.0,-1.687569
58.5,-1.724658
59.0,-1.746955
59.5,-1.754624
60.0,-1.793698
60.5,-1.832494
61.0,-1.832235
61.5,-1.817787
62.0,-1.784448
62.5,-1.761457
63.0,-1.770975
63.5,-1.747238
64.0,-1.734630
64.5,-1.738896
65.0,-1.761099
65.5,-1.786771
66.0,-1.813967
66.5,-1.823724
67.0,-1.823698
67.5,-1.805411
68.0,-1.797116
68.5,-1.799782
69.0,-1.800793
69.5,-1.835760
70.0,-1.847195
70.5,-1.827302
71.0,-1.792909
71.5,-1.790578
72.0,-1.807820
72.5,-1.818193
73.0,-1.816518
73.5,-1.828683
74.0,-1.827177
74.5,-1.829804
75.0,-1.843958
75.5,-1.822911
76.0,-1.787019
76.5,-1.801249
77.0,-1.849437
77.5,-1.902786
78.0,-1.868657
78.5,-1.850660
79.0,-1.841515
79.5,-1.821355
80.0,-1.794731
80.5,-1.823903
81.0,-1.861739
