"d","test1"
0.0,138.353210
0.5,138.433060
1.0,138.507126
1.5,138.603973
2.0,138.729492
2.5,138.874847
3.0,139.040970
3.5,139.224899
4.0,139.406021
4.5,139.548752
5.0,139.644272
5.5,139.698990
6.0,139.708511
6.5,139.693298
7.0,139.686249
7.5,139.717285
8.0,139.776352
8.5,139.862885
9.0,139.965729
9.5,140.076187
10.0,140.179626
10.5,140.269180
11.0,140.344147
11.5,140.413498
12.0,140.470154
12.5,140.532761
13.0,140.606552
13.5,140.683716
14.0,140.769699
14.5,140.857895
15.0,140.945862
15.5,141.014694
16.0,141.077728
16.5,141.140488
17.0,141.200851
17.5,141.282028
18.0,141.368866
18.5,141.463501
19.0,141.582733
19.5,141.697235
20.0,141.801117
20.5,141.884003
21.0,141.953033
21.5,142.010818
22.0,142.059235
22.5,142.101395
23.0,142.159546
23.5,142.221695
24.0,142.316071
24.5,142.415894
25.0,142.515472
25.5,142.624481
26.0,142.744781
26.5,142.869003
27.0,142.973785
27.5,143.053101
28.0,143.105576
28.5,143.141068
29.0,143.181213
29.5,143.232986
30.0,143.286621
30.5,143.354324
31.0,143.443985
31.5,143.531479
32.0,143.605408
32.5,143.680298
33.0,143.753723
33.5,143.826019
34.0,143.898376
34.5,143.993225
35.0,144.101547
35.5,144.188248
36.0,144.269211
36.5,144.357132
37.0,144.421326
37.5,144.469193
38.0,144.505676
38.5,144.538498
39.0,144.567383
39.5,144.609100
40.0,144.687531
40.5,144.765884
41.0,144.842667
41.5,144.939301
42.0,145.031418
42.5,145.104095
43.0,145.167831
43.5,145.231567
44.0,145.288910
44.5,145.338577
45.0,145.403427
45.5,145.474075
46.0,145.544785
46.5,145.617294
47.0,145.691956
47.5,145.776108
48.0,145.871933
48.5,145.955704
49.0,146.021469
49.5,146.084625
50.0,146.148758
50.5,146.208282
51.0,146.267242
51.5,146.325684
52.0,146.383652
52.5,146.442978
53.0,146.501083
53.5,146.572510
54.0,146.642731
54.5,146.709808
55.0,146.787964
55.5,146.870102
56.0,146.954453
56.5,147.027267
57.0,147.105209
57.5,147.179276
58.0,147.230667
58.5,147.277191
59.0,147.329132
59.5,147.371078
60.0,147.412415
60.5,147.442459
61.0,147.489029
61.5,147.563293
62.0,147.642426
62.5,147.710770
63.0,147.790176
63.5,147.868149
64.0,147.936676
64.5,147.995468
65.0,148.040298
65.5,148.081177
66.0,148.128128
66.5,148.182419
67.0,148.235291
67.5,148.286438
68.0,148.349899
68.5,148.409271
69.0,148.463837
69.5,148.512070
70.0,148.557785
70.5,148.632935
71.0,148.702194
71.5,148.756577
72.0,148.819382
72.5,148.874557
73.0,148.934464
73.5,149.006058
74.0,149.058807
74.5,149.119308
75.0,149.171448
75.5,149.216995
76.0,149.279358
76.5,149.310959
77.0,149.331177
77.5,149.378159
78.0,149.441711
78.5,149.504349
79.0,149.570526
79.5,149.636124
80.0,149.694946
80.5,149.732559
81.0,149.763214
81.5,149.787521
82.0,149.801025
82.5,149.825150
83.0,149.872055
83.5,149.921188
84.0,149.969269
84.5,150.028763
85.0,150.093109
85.5,150.160110
86.0,150.227448
86.5,150.283188
87.0,150.329407
87.5,150.373810
88.0,150.398590
88.5,150.415695
89.0,150.435089
89.5,150.451477
90.0,150.479050
90.5,150.535095
91.0,150.597809
91.5,150.652588
92.0,150.715210
92.5,150.780472
93.0,150.831299
93.5,150.873169
94.0,150.903427
94.5,150.942017
95.0,150.984100
95.5,151.029846
96.0,151.076248
96.5,151.116684
97.0,151.153763
97.5,151.183258
98.0,151.213394
98.5,151.241806
99.0,151.271271
99.5,151.312073
100.0,151.356125
100.5,151.415451
101.0,151.480194
101.5,151.530380
102.0,151.575073
102.5,151.616257
103.0,151.647522
103.5,151.676056
104.0,151.711533
104.5,151.738785
105.0,151.759918
105.5,151.796524
106.0,151.849472
106.5,151.902725
107.0,151.952042
107.5,152.006332
108.0,152.065186
108.5,152.113434
109.0,152.153442
109.5,152.189926
110.0,152.217270
110.5,152.232727
111.0,152.255554
111.5,152.292953
112.0,152.326126
112.5,152.362213
113.0,152.415344
113.5,152.480194
114.0,152.562454
114.5,152.652679
115.0,152.729568
115.5,152.796448
116.0,152.858459
116.5,152.907852
117.0,152.944733
117.5,152.967758
118.0,152.992569
118.5,153.015228
119.0,153.045532
119.5,153.086792
120.0,153.107666
120.5,153.128174
121.0,153.181793
121.5,153.232300
122.0,153.273193
122.5,153.326355
123.0,153.376358
123.5,153.435455
124.0,153.483124
124.5,153.493988
125.0,153.505737
125.5,153.512314
126.0,153.505722
126.5,153.510178
127.0,153.516495
127.5,153.540634
128.0,153.589310
128.5,153.641022
129.0,153.683426
129.5,153.722992
130.0,153.753250
130.5,153.777878
131.0,153.796158
131.5,153.811249
132.0,153.827301
132.5,153.849838
133.0,153.882996
133.5,153.924286
134.0,153.965576
134.5,154.007568
135.0,154.054382
