"d","test1"
0.0,136.451202
0.5,136.534866
1.0,136.619003
1.5,136.704071
2.0,136.784531
2.5,136.854233
3.0,136.914291
3.5,136.965988
4.0,137.013367
4.5,137.066498
5.0,137.132050
5.5,137.215256
6.0,137.314407
6.5,137.426605
7.0,137.546677
7.5,137.664291
8.0,137.770981
8.5,137.861252
9.0,137.936508
9.5,138.003616
10.0,138.068054
10.5,138.134384
11.0,138.204224
11.5,138.278458
12.0,138.359512
12.5,138.447205
13.0,138.537750
13.5,138.625381
14.0,138.706146
14.5,138.778870
15.0,138.845886
15.5,138.913696
16.0,138.987198
16.5,139.066238
17.0,139.149200
17.5,139.232788
18.0,139.313171
18.5,139.390182
19.0,139.460907
19.5,139.527603
20.0,139.591431
20.5,139.655624
21.0,139.725800
21.5,139.804642
22.0,139.892029
22.5,139.983383
23.0,140.073883
23.5,140.158707
24.0,140.236176
24.5,140.306686
25.0,140.371887
25.5,140.432892
26.0,140.489944
26.5,140.545776
27.0,140.604889
27.5,140.672501
28.0,140.751205
28.5,140.841415
29.0,140.941101
29.5,141.043152
30.0,141.138306
30.5,141.222397
31.0,141.296753
31.5,141.366989
32.0,141.437958
32.5,141.511276
33.0,141.585083
33.5,141.659149
34.0,141.734787
34.5,141.811539
35.0,141.886108
35.5,141.958298
36.0,142.028992
36.5,142.098831
37.0,142.172180
37.5,142.253723
38.0,142.342407
38.5,142.434586
39.0,142.528122
39.5,142.622925
40.0,142.717102
40.5,142.802933
41.0,142.879135
41.5,142.947525
42.0,143.009033
42.5,143.072083
43.0,143.142120
43.5,143.217072
44.0,143.293900
44.5,143.371765
45.0,143.451675
45.5,143.532425
46.0,143.612625
46.5,143.690308
47.0,143.764175
47.5,143.834000
48.0,143.900620
48.5,143.964890
49.0,144.028946
49.5,144.095520
50.0,144.165894
50.5,144.241379
51.0,144.319656
51.5,144.396805
52.0,144.470062
52.5,144.540192
53.0,144.611511
53.5,144.684509
54.0,144.756393
54.5,144.823776
55.0,144.885361
55.5,144.943039
56.0,145.000839
56.5,145.062546
57.0,145.125748
57.5,145.188126
58.0,145.251801
58.5,145.320709
59.0,145.393951
59.5,145.471375
60.0,145.550491
60.5,145.626266
61.0,145.698761
61.5,145.767990
62.0,145.832916
62.5,145.891800
63.0,145.943054
63.5,145.989044
64.0,146.036301
64.5,146.090164
65.0,146.152252
65.5,146.218689
66.0,146.287109
66.5,146.354843
67.0,146.419449
67.5,146.482224
68.0,146.542480
68.5,146.599426
69.0,146.653854
69.5,146.706467
70.0,146.759644
70.5,146.814178
