"d","test1"
0.0,135.973587
0.5,136.061081
1.0,136.146927
1.5,136.231873
2.0,136.313065
2.5,136.384857
3.0,136.446396
3.5,136.500229
4.0,136.550980
4.5,136.604294
5.0,136.665421
5.5,136.740219
6.0,136.827774
6.5,136.927505
7.0,137.037796
7.5,137.149841
8.0,137.253510
8.5,137.343658
9.0,137.422760
9.5,137.495056
10.0,137.563354
10.5,137.630295
11.0,137.699036
11.5,137.770599
12.0,137.847076
12.5,137.929413
13.0,138.017029
13.5,138.105423
14.0,138.190170
14.5,138.271744
15.0,138.352264
15.5,138.435379
16.0,138.522308
16.5,138.611267
17.0,138.700394
17.5,138.789948
18.0,138.877213
18.5,138.960556
19.0,139.038956
19.5,139.111435
20.0,139.179428
20.5,139.247055
21.0,139.320343
21.5,139.401260
22.0,139.487381
22.5,139.577393
23.0,139.668320
23.5,139.757416
24.0,139.843796
24.5,139.926300
25.0,140.003769
25.5,140.075394
26.0,140.143066
26.5,140.209412
27.0,140.275879
27.5,140.343567
28.0,140.415359
28.5,140.495377
29.0,140.583450
29.5,140.675964
30.0,140.766876
30.5,140.850830
31.0,140.926208
31.5,140.998749
32.0,141.072388
32.5,141.147614
33.0,141.222107
33.5,141.295700
34.0,141.369156
34.5,141.443268
35.0,141.516953
35.5,141.588959
36.0,141.659576
36.5,141.730057
37.0,141.804550
37.5,141.884064
38.0,141.968140
38.5,142.055801
39.0,142.145340
39.5,142.236343
40.0,142.325974
40.5,142.409149
41.0,142.484955
41.5,142.553360
42.0,142.616638
42.5,142.679657
43.0,142.746460
43.5,142.817184
44.0,142.890808
44.5,142.966431
45.0,143.043961
45.5,143.122528
46.0,143.201660
46.5,143.279968
47.0,143.355804
47.5,143.428223
48.0,143.497177
48.5,143.562958
49.0,143.627365
49.5,143.693130
50.0,143.761841
50.5,143.833969
51.0,143.907684
51.5,143.979858
52.0,144.049225
52.5,144.117310
53.0,144.186371
53.5,144.256866
54.0,144.325226
54.5,144.388290
55.0,144.447266
