"d","test1"
0.0,0.015520
0.5,0.013202
1.0,0.013167
1.5,0.013332
2.0,0.013733
2.5,0.014306
3.0,0.015013
3.5,0.015800
4.0,0.016491
4.5,0.016850
5.0,0.016844
5.5,0.016544
6.0,0.015936
6.5,0.015167
7.0,0.014477
7.5,0.014067
8.0,0.013872
8.5,0.013896
9.0,0.014066
9.5,0.014318
10.0,0.014529
10.5,0.014636
11.0,0.014614
11.5,0.014527
12.0,0.014325
12.5,0.014152
13.0,0.014058
13.5,0.013999
14.0,0.014002
14.5,0.014026
15.0,0.014060
15.5,0.013965
16.0,0.013846
16.5,0.013739
17.0,0.013624
17.5,0.013667
18.0,0.013758
18.5,0.013916
19.0,0.014249
19.5,0.014540
20.0,0.014735
20.5,0.014750
21.0,0.014653
21.5,0.014463
22.0,0.014198
22.5,0.013895
23.0,0.013706
23.5,0.013558
24.0,0.013670
24.5,0.013836
25.0,0.014031
25.5,0.014304
26.0,0.014663
26.5,0.015054
27.0,0.015290
27.5,0.015323
28.0,0.015147
28.5,0.014820
29.0,0.014512
29.5,0.014291
30.0,0.014089
30.5,0.013994
31.0,0.014060
31.5,0.014122
32.0,0.014097
32.5,0.014089
33.0,0.014087
33.5,0.014075
34.0,0.014064
34.5,0.014197
35.0,0.014417
35.5,0.014481
36.0,0.014500
36.5,0.014572
37.0,0.014467
37.5,0.014247
38.0,0.013945
38.5,0.013608
39.0,0.013250
39.5,0.012978
40.0,0.012973
40.5,0.012986
41.0,0.013005
41.5,0.013169
42.0,0.013302
42.5,0.013302
43.0,0.013231
43.5,0.013155
44.0,0.013029
44.5,0.012836
45.0,0.012749
45.5,0.012702
46.0,0.012663
46.5,0.012655
47.0,0.012682
47.5,0.012789
48.0,0.012992
48.5,0.013107
49.0,0.013091
49.5,0.013048
50.0,0.012993
50.5,0.012906
51.0,0.012805
51.5,0.012693
52.0,0.012568
52.5,0.012461
53.0,0.012356
53.5,0.012366
54.0,0.012390
54.5,0.012398
55.0,0.012497
55.5,0.012634
56.0,0.012799
56.5,0.012883
57.0,0.012992
57.5,0.013053
58.0,0.012937
58.5,0.012780
59.0,0.012646
59.5,0.012443
60.0,0.012237
60.5,0.011951
61.0,0.011801
61.5,0.011859
62.0,0.011972
62.5,0.012038
63.0,0.012191
63.5,0.012337
64.0,0.012415
64.5,0.012420
65.0,0.012322
65.5,0.012184
66.0,0.012080
66.5,0.012017
67.0,0.011932
67.5,0.011848
68.0,0.011853
68.5,0.011848
69.0,0.011830
69.5,0.011779
70.0,0.011726
70.5,0.011883
71.0,0.011998
71.5,0.012010
72.0,0.012075
72.5,0.012081
73.0,0.012121
73.5,0.012252
74.0,0.012254
74.5,0.012308
75.0,0.012301
75.5,0.012237
76.0,0.012287
76.5,0.012130
77.0,0.011912
77.5,0.011884
78.0,0.011983
78.5,0.012084
79.0,0.012208
79.5,0.012323
80.0,0.012387
80.5,0.012290
81.0,0.012141
81.5,0.011940
82.0,0.011651
82.5,0.011437
83.0,0.011378
83.5,0.011348
84.0,0.011332
84.5,0.011413
85.0,0.011560
85.5,0.011744
86.0,0.011939
86.5,0.012064
87.0,0.012103
87.5,0.012103
88.0,0.011950
88.5,0.011724
89.0,0.011495
89.5,0.011247
90.0,0.011073
90.5,0.011110
91.0,0.011217
91.5,0.011304
92.0,0.011469
92.5,0.011663
93.0,0.011766
93.5,0.011801
94.0,0.011737
94.5,0.011726
95.0,0.011714
95.5,0.011709
96.0,0.011711
96.5,0.011651
97.0,0.011588
97.5,0.011491
98.0,0.011394
98.5,0.011305
99.0,0.011226
99.5,0.011222
100.0,0.011258
100.5,0.011414
101.0,0.011612
101.5,0.011718
102.0,0.011782
102.5,0.011814
103.0,0.011764
103.5,0.011685
104.0,0.011627
104.5,0.011492
105.0,0.011317
105.5,0.011242
106.0,0.011307
106.5,0.011409
