"d","test1"
0.0,0.014876
0.5,0.017133
1.0,0.017016
1.5,0.017040
2.0,0.017261
2.5,0.017616
3.0,0.018148
3.5,0.018865
4.0,0.019627
4.5,0.020145
5.0,0.020316
5.5,0.020151
6.0,0.019610
6.5,0.018862
7.0,0.018170
7.5,0.017783
8.0,0.017618
8.5,0.017659
9.0,0.017802
9.5,0.017971
10.0,0.018072
10.5,0.018075
11.0,0.017994
11.5,0.017897
12.0,0.017727
12.5,0.017610
13.0,0.017583
13.5,0.017584
14.0,0.017664
14.5,0.017758
15.0,0.017832
15.5,0.017748
16.0,0.017600
16.5,0.017438
17.0,0.017261
17.5,0.017234
18.0,0.017247
18.5,0.017310
19.0,0.017557
19.5,0.017784
20.0,0.017957
20.5,0.017999
21.0,0.017940
21.5,0.017800
22.0,0.017600
22.5,0.017359
23.0,0.017245
23.5,0.017154
24.0,0.017269
24.5,0.017412
25.0,0.017528
25.5,0.017704
26.0,0.017955
26.5,0.018227
27.0,0.018374
27.5,0.018354
28.0,0.018146
28.5,0.017831
29.0,0.017559
29.5,0.017380
30.0,0.017231
30.5,0.017189
31.0,0.017301
31.5,0.017377
32.0,0.017343
32.5,0.017304
33.0,0.017244
33.5,0.017180
34.0,0.017118
34.5,0.017228
35.0,0.017447
35.5,0.017523
36.0,0.017562
36.5,0.017639
37.0,0.017544
37.5,0.017328
38.0,0.017036
38.5,0.016733
39.0,0.016401
39.5,0.016170
40.0,0.016199
40.5,0.016228
41.0,0.016245
41.5,0.016401
42.0,0.016520
42.5,0.016491
43.0,0.016405
43.5,0.016328
44.0,0.016218
44.5,0.016075
45.0,0.016043
45.5,0.016055
46.0,0.016066
46.5,0.016082
47.0,0.016098
47.5,0.016170
48.0,0.016313
48.5,0.016379
49.0,0.016329
49.5,0.016267
50.0,0.016227
50.5,0.016155
51.0,0.016100
51.5,0.016061
52.0,0.016038
52.5,0.016015
53.0,0.015972
53.5,0.016003
54.0,0.016015
54.5,0.016014
55.0,0.016083
55.5,0.016167
56.0,0.016253
56.5,0.016263
57.0,0.016326
57.5,0.016390
58.0,0.016322
58.5,0.016222
59.0,0.016171
59.5,0.016054
60.0,0.015945
60.5,0.015775
61.0,0.015704
61.5,0.015810
62.0,0.015936
62.5,0.015973
63.0,0.016087
63.5,0.016187
64.0,0.016220
64.5,0.016188
65.0,0.016067
65.5,0.015940
66.0,0.015871
66.5,0.015871
67.0,0.015883
67.5,0.015877
68.0,0.015954
68.5,0.015991
69.0,0.015982
