"d","test1"
0.0,-0.002557
0.5,-0.000432
1.0,-0.000449
1.5,-0.000495
2.0,-0.000581
2.5,-0.000746
3.0,-0.000960
3.5,-0.001182
4.0,-0.001364
4.5,-0.001494
5.0,-0.001570
5.5,-0.001581
6.0,-0.001542
6.5,-0.001439
7.0,-0.001263
7.5,-0.001050
8.0,-0.000880
8.5,-0.000803
9.0,-0.000820
9.5,-0.000914
10.0,-0.001052
10.5,-0.001198
11.0,-0.001310
11.5,-0.001379
12.0,-0.001397
12.5,-0.001362
13.0,-0.001281
13.5,-0.001190
14.0,-0.001112
14.5,-0.001059
15.0,-0.001029
15.5,-0.001000
16.0,-0.000964
16.5,-0.000923
17.0,-0.000881
17.5,-0.000834
18.0,-0.000804
18.5,-0.000809
19.0,-0.000840
19.5,-0.000903
20.0,-0.000976
20.5,-0.001034
21.0,-0.001054
21.5,-0.001019
22.0,-0.000942
22.5,-0.000832
23.0,-0.000705
23.5,-0.000596
24.0,-0.000528
24.5,-0.000499
25.0,-0.000527
25.5,-0.000604
26.0,-0.000713
26.5,-0.000838
27.0,-0.000950
27.5,-0.001040
28.0,-0.001099
28.5,-0.001087
29.0,-0.001009
29.5,-0.000890
30.0,-0.000767
30.5,-0.000686
31.0,-0.000668
31.5,-0.000689
32.0,-0.000715
32.5,-0.000740
33.0,-0.000781
33.5,-0.000823
34.0,-0.000866
34.5,-0.000892
35.0,-0.000907
35.5,-0.000927
36.0,-0.000951
36.5,-0.000987
37.0,-0.001001
37.5,-0.000984
38.0,-0.000931
38.5,-0.000841
39.0,-0.000738
39.5,-0.000615
40.0,-0.000500
40.5,-0.000429
41.0,-0.000411
41.5,-0.000444
42.0,-0.000518
42.5,-0.000604
43.0,-0.000659
43.5,-0.000679
44.0,-0.000667
44.5,-0.000622
45.0,-0.000559
45.5,-0.000487
46.0,-0.000411
46.5,-0.000347
47.0,-0.000314
47.5,-0.000314
48.0,-0.000348
48.5,-0.000397
49.0,-0.000448
49.5,-0.000483
50.0,-0.000483
50.5,-0.000460
51.0,-0.000407
51.5,-0.000346
52.0,-0.000287
52.5,-0.000245
53.0,-0.000207
53.5,-0.000175
54.0,-0.000169
54.5,-0.000190
55.0,-0.000245
55.5,-0.000328
56.0,-0.000433
56.5,-0.000529
57.0,-0.000604
57.5,-0.000658
58.0,-0.000693
58.5,-0.000700
59.0,-0.000665
59.5,-0.000601
60.0,-0.000521
60.5,-0.000443
61.0,-0.000392
61.5,-0.000355
62.0,-0.000349
62.5,-0.000391
63.0,-0.000479
63.5,-0.000601
64.0,-0.000720
64.5,-0.000804
65.0,-0.000842
65.5,-0.000837
66.0,-0.000804
66.5,-0.000757
67.0,-0.000701
67.5,-0.000659
68.0,-0.000617
68.5,-0.000600
69.0,-0.000610
69.5,-0.000635
70.0,-0.000676
70.5,-0.000718
71.0,-0.000757
71.5,-0.000797
72.0,-0.000847
72.5,-0.000900
73.0,-0.000938
73.5,-0.000964
74.0,-0.000987
74.5,-0.001013
75.0,-0.001042
75.5,-0.001055
76.0,-0.001038
76.5,-0.000999
77.0,-0.000956
77.5,-0.000921
78.0,-0.000916
78.5,-0.000931
79.0,-0.000964
79.5,-0.001013
80.0,-0.001061
80.5,-0.001077
81.0,-0.001064
81.5,-0.001017
82.0,-0.000936
82.5,-0.000831
83.0,-0.000721
83.5,-0.000633
84.0,-0.000579
84.5,-0.000564
85.0,-0.000593
85.5,-0.000643
86.0,-0.000705
86.5,-0.000776
87.0,-0.000822
87.5,-0.000825
88.0,-0.000775
88.5,-0.000664
89.0,-0.000498
89.5,-0.000308
90.0,-0.000123
90.5,0.000028
91.0,0.000128
91.5,0.000160
92.0,0.000141
92.5,0.000090
93.0,0.000021
93.5,-0.000030
94.0,-0.000030
94.5,0.000005
95.0,0.000075
95.5,0.000166
96.0,0.000258
96.5,0.000369
97.0,0.000475
97.5,0.000579
98.0,0.000699
98.5,0.000812
99.0,0.000927
99.5,0.001037
100.0,0.001113
100.5,0.001150
101.0,0.001158
101.5,0.001128
102.0,0.001089
102.5,0.001065
103.0,0.001075
103.5,0.001142
104.0,0.001270
104.5,0.001434
105.0,0.001601
105.5,0.001774
106.0,0.001909
106.5,0.001991
107.0,0.002020
107.5,0.001983
108.0,0.001884
108.5,0.001768
109.0,0.001676
109.5,0.001622
110.0,0.001620
110.5,0.001672
111.0,0.001769
111.5,0.001886
112.0,0.001989
112.5,0.002050
113.0,0.002043
113.5,0.001919
114.0,0.001693
114.5,0.001391
115.0,0.001028
115.5,0.000661
116.0,0.000365
116.5,0.000106
117.0,-0.000065
117.5,-0.000054
118.0,0.000161
118.5,0.000283
119.0,0.000273
119.5,0.000217
120.0,0.000065
120.5,-0.000003
121.0,0.000037
121.5,-0.000017
122.0,-0.000147
122.5,-0.000285
123.0,-0.000411
123.5,-0.000518
124.0,-0.000636
124.5,-0.000753
125.0,-0.000860
125.5,-0.000935
126.0,-0.000970
126.5,-0.000960
127.0,-0.000944
127.5,-0.000936
128.0,-0.000940
128.5,-0.000970
129.0,-0.001021
129.5,-0.001104
130.0,-0.001176
130.5,-0.001203
131.0,-0.001188
131.5,-0.001142
132.0,-0.001079
132.5,-0.001015
133.0,-0.000948
133.5,-0.000891
134.0,-0.000851
134.5,-0.000849
