"d","test1"
0.0,136.281921
0.5,136.365234
1.0,136.448395
1.5,136.531036
2.0,136.612808
2.5,136.693497
3.0,136.773468
3.5,136.853226
4.0,136.933456
4.5,137.014633
5.0,137.097443
5.5,137.182495
6.0,137.269287
6.5,137.356659
7.0,137.443146
7.5,137.527695
8.0,137.610184
8.5,137.690918
9.0,137.770905
9.5,137.851089
10.0,137.931671
10.5,138.012375
11.0,138.093048
11.5,138.173798
12.0,138.254913
12.5,138.336227
13.0,138.417114
13.5,138.497040
14.0,138.576050
14.5,138.654846
15.0,138.734055
15.5,138.814102
16.0,138.894424
16.5,138.974487
17.0,139.054001
17.5,139.132797
18.0,139.211182
18.5,139.289200
19.0,139.366714
19.5,139.443893
20.0,139.520920
20.5,139.598526
21.0,139.677185
21.5,139.756683
22.0,139.836365
22.5,139.915329
23.0,139.993500
23.5,140.071182
24.0,140.148453
24.5,140.225449
25.0,140.302002
25.5,140.378235
26.0,140.454483
26.5,140.530823
27.0,140.607376
27.5,140.684509
28.0,140.762741
28.5,140.842072
29.0,140.921753
29.5,141.000504
30.0,141.077759
30.5,141.153885
31.0,141.229813
31.5,141.306290
32.0,141.383270
32.5,141.460190
33.0,141.536835
33.5,141.613220
34.0,141.689606
34.5,141.765991
35.0,141.842010
35.5,141.917664
36.0,141.993225
36.5,142.069351
37.0,142.146561
37.5,142.224182
38.0,142.301712
38.5,142.378891
39.0,142.455750
39.5,142.532196
40.0,142.607803
40.5,142.682083
41.0,142.755234
41.5,142.827927
42.0,142.900970
42.5,142.974609
43.0,143.048462
43.5,143.122086
44.0,143.195206
44.5,143.267929
45.0,143.340256
45.5,143.412399
46.0,143.484100
46.5,143.555054
47.0,143.625595
47.5,143.695786
48.0,143.765778
48.5,143.835449
49.0,143.904999
49.5,143.974716
50.0,144.044601
50.5,144.114548
51.0,144.183807
51.5,144.252197
52.0,144.319916
52.5,144.387634
53.0,144.455475
53.5,144.522949
54.0,144.589645
54.5,144.655304
55.0,144.720428
55.5,144.785507
56.0,144.850769
56.5,144.915848
57.0,144.980377
57.5,145.044403
58.0,145.108246
58.5,145.172485
59.0,145.236923
59.5,145.301208
60.0,145.364563
60.5,145.426956
61.0,145.488754
61.5,145.550247
62.0,145.611115
62.5,145.671082
63.0,145.730255
63.5,145.789413
64.0,145.848984
64.5,145.908905
65.0,145.968796
65.5,146.028214
66.0,146.086990
66.5,146.145065
67.0,146.202469
67.5,146.259506
68.0,146.316147
68.5,146.372452
69.0,146.428253
69.5,146.483673
70.0,146.538986
70.5,146.593933
71.0,146.648331
71.5,146.701813
72.0,146.754807
72.5,146.807968
73.0,146.861420
73.5,146.914688
74.0,146.967316
74.5,147.019089
75.0,147.070572
75.5,147.122467
76.0,147.174713
76.5,147.227066
77.0,147.278915
77.5,147.330032
78.0,147.380524
78.5,147.430450
79.0,147.479828
79.5,147.528961
80.0,147.578308
80.5,147.628082
81.0,147.678146
81.5,147.728226
82.0,147.777954
82.5,147.826904
83.0,147.875046
83.5,147.922455
84.0,147.969284
84.5,148.015808
85.0,148.062469
85.5,148.109161
86.0,148.155685
86.5,148.201996
87.0,148.248337
87.5,148.295151
88.0,148.342484
88.5,148.390015
89.0,148.437271
89.5,148.483765
90.0,148.529434
90.5,148.574265
91.0,148.618484
91.5,148.662338
92.0,148.706085
92.5,148.750061
93.0,148.794373
93.5,148.838791
94.0,148.883301
94.5,148.927780
95.0,148.971985
95.5,149.015778
96.0,149.059052
96.5,149.102066
97.0,149.145248
97.5,149.188751
98.0,149.232315
98.5,149.275589
99.0,149.318115
99.5,149.360031
100.0,149.401596
100.5,149.442978
101.0,149.484222
101.5,149.525284
102.0,149.566345
102.5,149.607620
103.0,149.649246
103.5,149.690887
104.0,149.732147
104.5,149.772812
105.0,149.812912
105.5,149.852661
106.0,149.892197
106.5,149.931198
107.0,149.969589
107.5,150.007477
108.0,150.045288
108.5,150.083389
109.0,150.121643
109.5,150.159744
110.0,150.197495
110.5,150.234879
111.0,150.271851
111.5,150.308304
112.0,150.344070
112.5,150.379120
113.0,150.413696
113.5,150.447968
114.0,150.481842
114.5,150.515228
115.0,150.548462
115.5,150.582092
116.0,150.616577
116.5,150.651947
117.0,150.687576
117.5,150.723175
118.0,150.758331
118.5,150.793457
119.0,150.828644
119.5,150.863647
120.0,150.898819
120.5,150.933746
121.0,150.968094
121.5,151.002167
122.0,151.036072
122.5,151.069672
123.0,151.103378
123.5,151.137192
124.0,151.171127
124.5,151.205505
125.0,151.240311
125.5,151.275726
126.0,151.311371
126.5,151.346588
127.0,151.381134
127.5,151.414963
128.0,151.448120
128.5,151.480820
129.0,151.513428
129.5,151.546402
130.0,151.580063
130.5,151.614243
131.0,151.648468
131.5,151.682388
132.0,151.715881
132.5,151.749191
133.0,151.782364
133.5,151.815323
134.0,151.847885
134.5,151.880219
135.0,151.912399
135.5,151.944489
136.0,151.976303
136.5,152.007828
137.0,152.039444
137.5,152.071930
138.0,152.105515
138.5,152.139969
139.0,152.174316
139.5,152.208145
140.0,152.241394
140.5,152.274231
141.0,152.306732
141.5,152.338684
142.0,152.344818
142.5,152.311569
143.0,152.275299
143.5,152.241882
144.0,152.209778
144.5,152.177368
145.0,152.144760
145.5,152.112122
146.0,152.079514
146.5,152.049423
147.0,152.028275
147.5,152.019440
148.0,152.023407
148.5,152.038528
149.0,152.065125
149.5,152.102646
150.0,152.151215
150.5,152.211731
151.0,152.276596
151.5,152.340698
152.0,152.404266
152.5,152.468201
153.0,152.532822
153.5,152.597855
154.0,152.662979
154.5,152.727707
155.0,152.792206
155.5,152.856750
156.0,152.921387
156.5,152.985001
157.0,153.043915
157.5,153.088379
158.0,153.116013
158.5,153.137848
159.0,153.166016
159.5,153.201172
160.0,153.239212
160.5,153.276581
161.0,153.312103
161.5,153.346298
162.0,153.380096
162.5,153.413818
163.0,153.447388
163.5,153.480560
164.0,153.513428
164.5,153.546310
165.0,153.579285
165.5,153.612366
166.0,153.645477
166.5,153.678696
167.0,153.712021
167.5,153.745285
168.0,153.778244
168.5,153.810944
169.0,153.843460
169.5,153.875854
170.0,153.908020
170.5,153.940063
171.0,153.972183
171.5,154.004333
172.0,154.036575
172.5,154.068726
173.0,154.100449
173.5,154.131714
174.0,154.162888
174.5,154.194244
175.0,154.226196
175.5,154.258850
176.0,154.292023
176.5,154.325531
177.0,154.358719
177.5,154.391266
178.0,154.423157
178.5,154.454575
179.0,154.485840
179.5,154.517212
180.0,154.548813
180.5,154.580612
181.0,154.612518
181.5,154.644638
182.0,154.676788
182.5,154.708939
183.0,154.741165
183.5,154.773315
184.0,154.805115
