"d","test1"
0.0,-1.055603
0.5,-1.058400
1.0,-1.073914
1.5,-1.073914
2.0,-1.075595
2.5,-1.091309
3.0,-1.104532
3.5,-1.109619
4.0,-1.115939
4.5,-1.127930
5.0,-1.127930
5.5,-1.151024
6.0,-1.163635
6.5,-1.163635
7.0,-1.163635
7.5,-1.163635
8.0,-1.163635
8.5,-1.163635
9.0,-1.163635
9.5,-1.163635
10.0,-1.145797
10.5,-1.121958
11.0,-1.109619
11.5,-1.109619
12.0,-1.069738
12.5,-1.045950
13.0,-1.037292
13.5,-1.015491
14.0,-0.984192
14.5,-0.971068
15.0,-0.948260
15.5,-0.924832
16.0,-0.912781
16.5,-0.896394
17.0,-0.894470
17.5,-0.894470
18.0,-0.881062
18.5,-0.877075
19.0,-0.877075
19.5,-0.877075
20.0,-0.893234
20.5,-0.894470
21.0,-0.894470
21.5,-0.894470
22.0,-0.894470
22.5,-0.894470
23.0,-0.894470
23.5,-0.894470
24.0,-0.894470
24.5,-0.894470
25.0,-0.894470
25.5,-0.894470
26.0,-0.894470
26.5,-0.894470
27.0,-0.894470
27.5,-0.894470
28.0,-0.902812
28.5,-0.912781
29.0,-0.913125
29.5,-0.948486
30.0,-0.948486
30.5,-0.963017
31.0,-0.965881
31.5,-0.965881
32.0,-0.965881
32.5,-0.965881
33.0,-0.965881
33.5,-0.965881
34.0,-0.965881
34.5,-0.965881
35.0,-0.965881
35.5,-0.965881
36.0,-0.965881
36.5,-0.965881
37.0,-0.965881
37.5,-0.965881
38.0,-0.965881
38.5,-0.965881
39.0,-0.965881
39.5,-0.965881
40.0,-0.965881
40.5,-0.965881
41.0,-0.965881
41.5,-0.965881
42.0,-0.965881
42.5,-0.965881
43.0,-0.965881
43.5,-0.965881
44.0,-0.965881
44.5,-0.965881
45.0,-0.965881
45.5,-0.965881
46.0,-0.965881
46.5,-0.965881
47.0,-0.965881
47.5,-0.965881
48.0,-0.965881
48.5,-0.965881
49.0,-0.965881
49.5,-0.965881
50.0,-0.966708
50.5,-0.984192
51.0,-0.993652
51.5,-1.016093
52.0,-1.037292
52.5,-1.042553
53.0,-1.074666
53.5,-1.091309
54.0,-1.109619
54.5,-1.114564
55.0,-1.137345
55.5,-1.159423
56.0,-1.181963
56.5,-1.200256
57.0,-1.209142
57.5,-1.231872
58.0,-1.254593
58.5,-1.255188
59.0,-1.263382
59.5,-1.273499
60.0,-1.290461
60.5,-1.291809
61.0,-1.291809
61.5,-1.302956
62.0,-1.309204
62.5,-1.309204
63.0,-1.309204
63.5,-1.309204
64.0,-1.309204
64.5,-1.309204
65.0,-1.309204
65.5,-1.319269
66.0,-1.328430
66.5,-1.328430
67.0,-1.328430
67.5,-1.336304
68.0,-1.345825
68.5,-1.345825
69.0,-1.345825
69.5,-1.345825
70.0,-1.345825
70.5,-1.345825
71.0,-1.345825
71.5,-1.345825
72.0,-1.345825
72.5,-1.345825
73.0,-1.345825
73.5,-1.345825
74.0,-1.345825
74.5,-1.345825
75.0,-1.345825
75.5,-1.328430
76.0,-1.328430
76.5,-1.328430
77.0,-1.328430
77.5,-1.309215
78.0,-1.287738
78.5,-1.265354
79.0,-1.255188
79.5,-1.255188
80.0,-1.253164
80.5,-1.230800
81.0,-1.208442
81.5,-1.200256
82.0,-1.182057
82.5,-1.181946
83.0,-1.181946
83.5,-1.170002
84.0,-1.148485
84.5,-1.126295
85.0,-1.103995
85.5,-1.082181
86.0,-1.046743
86.5,-1.037292
87.0,-0.980984
87.5,-0.959076
88.0,-0.937374
88.5,-0.900820
89.0,-0.858122
89.5,-0.836768
90.0,-0.806442
90.5,-0.775540
91.0,-0.754433
91.5,-0.733235
92.0,-0.705785
92.5,-0.682068
93.0,-0.668469
93.5,-0.647155
94.0,-0.611572
94.5,-0.611572
95.0,-0.600818
95.5,-0.579387
96.0,-0.558472
96.5,-0.554696
97.0,-0.541077
97.5,-0.529450
98.0,-0.493424
98.5,-0.469686
99.0,-0.444174
99.5,-0.410285
100.0,-0.365254
100.5,-0.332597
101.0,-0.326020
101.5,-0.273244
102.0,-0.243619
102.5,-0.201686
103.0,-0.191345
103.5,-0.154600
104.0,-0.133652
104.5,-0.121765
105.0,-0.121765
105.5,-0.121765
106.0,-0.119495
106.5,-0.104370
107.0,-0.104370
107.5,-0.104370
108.0,-0.104370
108.5,-0.104370
109.0,-0.104370
109.5,-0.113811
110.0,-0.121765
110.5,-0.121765
111.0,-0.121765
111.5,-0.121765
112.0,-0.121765
112.5,-0.121765
113.0,-0.121765
113.5,-0.139160
114.0,-0.139160
114.5,-0.148383
115.0,-0.169212
115.5,-0.190038
116.0,-0.210859
116.5,-0.242762
117.0,-0.296242
117.5,-0.337861
118.0,-0.379470
118.5,-0.474170
119.0,-0.516033
119.5,-0.566847
120.0,-0.605874
120.5,-0.689226
121.0,-0.753920
121.5,-0.784409
122.0,-0.831594
122.5,-0.864930
123.0,-0.891920
123.5,-0.894470
124.0,-0.894470
124.5,-0.894470
125.0,-0.894470
125.5,-0.894470
126.0,-0.877075
126.5,-0.869876
127.0,-0.834170
127.5,-0.823059
128.0,-0.809570
128.5,-0.787971
129.0,-0.746964
129.5,-0.704779
130.0,-0.653535
130.5,-0.616318
131.0,-0.578846
131.5,-0.533643
132.0,-0.465465
132.5,-0.428008
133.0,-0.401001
133.5,-0.355415
134.0,-0.294112
134.5,-0.256864
135.0,-0.221581
135.5,-0.180777
136.0,-0.146318
136.5,-0.122099
137.0,-0.104370
137.5,-0.098226
138.0,-0.086975
138.5,-0.061765
139.0,-0.052185
139.5,-0.050533
140.0,-0.025060
140.5,0.008498
141.0,0.018311
141.5,0.032777
142.0,0.070496
142.5,0.074122
143.0,0.088806
143.5,0.108479
144.0,0.123596
144.5,0.139845
145.0,0.140991
145.5,0.146277
146.0,0.175849
146.5,0.205826
147.0,0.226451
147.5,0.230527
148.0,0.268621
148.5,0.289628
149.0,0.310784
149.5,0.331402
150.0,0.352013
150.5,0.373533
151.0,0.394128
151.5,0.415193
152.0,0.436201
152.5,0.456764
153.0,0.478234
153.5,0.499011
154.0,0.512695
154.5,0.512695
155.0,0.512695
155.5,0.512695
156.0,0.515322
156.5,0.530090
157.0,0.530090
157.5,0.530090
158.0,0.530090
158.5,0.530090
159.0,0.530090
159.5,0.530090
160.0,0.530090
160.5,0.530090
161.0,0.530090
161.5,0.530090
162.0,0.530090
162.5,0.530090
163.0,0.530090
163.5,0.516347
164.0,0.512695
164.5,0.512695
165.0,0.512695
165.5,0.512695
166.0,0.512695
166.5,0.512695
167.0,0.512695
167.5,0.491540
168.0,0.470872
168.5,0.449905
169.0,0.441284
169.5,0.411139
170.0,0.387943
170.5,0.364248
171.0,0.328955
171.5,0.308622
172.0,0.300293
172.5,0.269660
173.0,0.247192
173.5,0.247192
174.0,0.247192
174.5,0.247192
175.0,0.247192
175.5,0.247192
176.0,0.247192
176.5,0.247192
177.0,0.247192
177.5,0.247192
178.0,0.247192
178.5,0.247192
179.0,0.247192
179.5,0.247192
180.0,0.247192
180.5,0.247192
181.0,0.247192
181.5,0.247192
182.0,0.247192
182.5,0.247192
183.0,0.247192
183.5,0.247192
184.0,0.247192
184.5,0.247192
185.0,0.247192
185.5,0.247192
186.0,0.247192
186.5,0.254221
187.0,0.264587
187.5,0.264587
188.0,0.279796
188.5,0.281982
189.0,0.281982
189.5,0.281982
190.0,0.281982
190.5,0.281982
191.0,0.281982
191.5,0.281982
192.0,0.281982
192.5,0.281982
193.0,0.281982
193.5,0.281982
194.0,0.281982
194.5,0.281982
195.0,0.281982
195.5,0.281982
196.0,0.288039
196.5,0.300293
197.0,0.300293
197.5,0.313861
198.0,0.317688
198.5,0.353908
199.0,0.374732
199.5,0.401574
200.0,0.432987
200.5,0.441284
201.0,0.455516
201.5,0.476355
202.0,0.494385
202.5,0.494385
203.0,0.494385
203.5,0.494385
204.0,0.494385
204.5,0.494385
205.0,0.494385
205.5,0.494385
206.0,0.494385
206.5,0.494385
207.0,0.494385
207.5,0.494385
208.0,0.494385
208.5,0.494385
209.0,0.494385
209.5,0.494385
210.0,0.494385
210.5,0.494385
211.0,0.494385
211.5,0.494385
212.0,0.494385
212.5,0.494385
213.0,0.494385
213.5,0.494385
214.0,0.494385
214.5,0.494385
215.0,0.494385
215.5,0.494385
216.0,0.494385
216.5,0.490100
217.0,0.476990
217.5,0.476990
218.0,0.476990
218.5,0.476990
219.0,0.476990
219.5,0.458679
220.0,0.458679
220.5,0.452796
221.0,0.441284
221.5,0.441284
222.0,0.441284
222.5,0.441284
223.0,0.441284
223.5,0.441284
224.0,0.441284
224.5,0.441284
