"d","test1"
0.0,39.805302
0.5,39.066196
1.0,38.388165
1.5,37.950829
2.0,38.004921
2.5,38.518734
3.0,39.384644
3.5,40.530434
4.0,41.841450
4.5,43.121143
5.0,44.187553
5.5,44.895111
6.0,45.244637
6.5,45.221626
7.0,44.820393
7.5,44.366188
8.0,44.007122
8.5,43.807598
9.0,43.750565
9.5,43.807926
10.0,43.976147
10.5,44.237186
11.0,44.509247
11.5,44.707558
12.0,44.689625
12.5,44.386898
13.0,43.994930
13.5,43.753006
14.0,43.672943
14.5,43.503304
15.0,43.230286
15.5,42.944515
16.0,42.721169
16.5,42.586979
17.0,42.515854
17.5,42.461632
18.0,42.420944
18.5,42.417473
19.0,42.648724
19.5,43.077122
20.0,43.572140
20.5,43.975422
21.0,44.183300
21.5,44.186985
22.0,44.008217
22.5,43.726906
23.0,43.360153
23.5,42.816723
24.0,42.357925
24.5,42.242210
25.0,42.380108
25.5,42.708569
26.0,43.200932
26.5,43.866470
27.0,44.643116
27.5,45.373196
28.0,45.892792
28.5,46.094292
29.0,45.949543
29.5,45.619724
30.0,45.377338
30.5,45.219620
31.0,45.112259
31.5,45.018982
32.0,44.889854
32.5,44.799370
33.0,44.823868
33.5,44.887691
34.0,44.914215
34.5,44.933937
35.0,45.115807
35.5,45.373703
36.0,45.589119
36.5,45.716099
37.0,45.725910
37.5,45.626175
38.0,45.353901
38.5,44.829498
39.0,44.006786
39.5,42.970112
40.0,42.034752
40.5,41.500210
41.0,41.212097
41.5,41.067646
42.0,41.012192
42.5,40.918724
43.0,40.704948
43.5,40.424896
44.0,40.102726
44.5,39.652763
45.0,39.132099
45.5,38.648430
46.0,38.262802
46.5,37.984634
47.0,37.764534
47.5,37.635460
48.0,37.689610
48.5,37.898720
49.0,38.116520
49.5,38.244026
50.0,38.225735
50.5,38.076736
51.0,37.930637
51.5,37.815044
52.0,37.614826
52.5,37.227024
53.0,36.718082
53.5,36.296318
54.0,36.176891
54.5,36.248009
55.0,36.366833
55.5,36.489994
56.0,36.660355
56.5,36.896152
57.0,37.210468
57.5,37.594513
58.0,37.904640
58.5,37.983437
59.0,37.871815
59.5,37.643677
60.0,37.405788
60.5,37.047161
61.0,36.446568
61.5,35.854591
62.0,35.595142
62.5,35.663025
63.0,35.892437
63.5,36.177406
64.0,36.434036
64.5,36.625423
65.0,36.707287
65.5,36.683865
66.0,36.598885
66.5,36.520687
67.0,36.487255
67.5,36.368019
68.0,36.217278
68.5,36.122337
69.0,36.104458
69.5,36.092575
70.0,35.993221
70.5,35.976433
71.0,36.146816
71.5,36.429104
72.0,36.696911
72.5,36.841396
73.0,36.870083
73.5,36.949318
74.0,37.137718
74.5,37.446068
75.0,37.765453
75.5,37.971745
76.0,38.135185
76.5,38.231201
77.0,38.204010
77.5,38.068718
