"d","test1"
0.0,31.277052
0.5,30.190601
1.0,29.149601
1.5,28.251993
2.0,27.477158
2.5,26.680853
3.0,26.007847
3.5,25.516125
4.0,25.391340
4.5,25.664547
5.0,26.298698
5.5,27.226709
6.0,28.314102
6.5,29.462397
7.0,30.495127
7.5,31.282362
8.0,31.742861
8.5,31.782001
9.0,31.225414
9.5,30.262302
10.0,29.202005
10.5,28.389259
11.0,27.947933
11.5,27.806139
12.0,27.862745
12.5,28.069794
13.0,28.376663
13.5,28.649063
14.0,28.801540
14.5,28.827858
15.0,28.789206
15.5,28.827669
16.0,28.888582
16.5,28.973148
17.0,29.135399
17.5,29.307812
18.0,29.345594
18.5,29.202557
19.0,28.812271
19.5,28.315279
20.0,27.935740
20.5,27.854076
21.0,28.029072
21.5,28.328533
22.0,28.722538
22.5,29.136042
23.0,29.469187
23.5,29.672758
24.0,29.732567
24.5,29.635168
25.0,29.309010
25.5,28.970938
26.0,28.791670
26.5,28.791563
27.0,28.924820
27.5,29.158216
28.0,29.509089
28.5,29.989201
29.0,30.511702
29.5,30.997808
30.0,31.323910
30.5,31.379892
31.0,31.157064
31.5,30.908012
32.0,30.803080
32.5,30.753643
33.0,30.677622
33.5,30.547165
34.0,30.425230
34.5,30.395653
35.0,30.489445
35.5,30.617140
36.0,30.704020
36.5,30.759153
37.0,30.887026
37.5,31.143095
38.0,31.465595
38.5,31.762320
39.0,31.964966
39.5,31.997114
40.0,31.791553
40.5,31.325073
41.0,30.623888
41.5,29.667940
42.0,28.520880
42.5,27.612232
43.0,27.112497
43.5,26.910654
44.0,26.892544
44.5,26.912455
45.0,26.941441
45.5,26.997681
46.0,27.110176
46.5,27.228701
47.0,27.195436
47.5,26.904907
48.0,26.479143
48.5,26.130983
49.0,25.919529
49.5,25.768578
50.0,25.652924
50.5,25.716583
51.0,25.802046
51.5,25.799746
52.0,25.698973
52.5,25.487518
53.0,25.282965
53.5,25.142252
54.0,24.961313
54.5,24.745218
55.0,24.414459
55.5,23.953913
56.0,23.588747
56.5,23.492887
57.0,23.528969
57.5,23.613749
58.0,23.774925
58.5,23.991589
59.0,24.232113
59.5,24.529926
60.0,24.780504
60.5,24.854733
61.0,24.759989
61.5,24.523132
62.0,24.184275
62.5,23.781466
63.0,23.157663
63.5,22.489195
64.0,22.085842
64.5,22.049463
65.0,22.206425
65.5,22.422146
66.0,22.630901
66.5,22.807943
67.0,22.937897
67.5,23.048527
68.0,23.120552
68.5,23.100182
69.0,22.969398
69.5,22.686745
70.0,22.332945
70.5,22.097269
71.0,22.060369
71.5,22.065752
72.0,21.983713
72.5,21.825357
73.0,21.788576
73.5,21.865469
74.0,21.987867
74.5,22.129345
75.0,22.268341
75.5,22.500328
76.0,22.897814
76.5,23.335592
77.0,23.686085
77.5,23.823812
78.0,23.748728
78.5,23.628040
79.0,23.458858
79.5,23.279371
80.0,23.269342
80.5,23.391985
81.0,23.551138
81.5,23.709032
82.0,23.818102
82.5,23.871799
83.0,23.869694
83.5,23.779913
84.0,23.542799
84.5,23.133324
85.0,22.677078
85.5,22.287537
86.0,22.070900
86.5,22.029211
87.0,22.086262
87.5,22.312679
88.0,22.746004
88.5,23.247025
89.0,23.631351
89.5,23.773842
90.0,23.690195
90.5,23.333454
91.0,22.854279
91.5,22.380983
92.0,21.752258
92.5,20.936062
93.0,20.289677
93.5,20.068916
94.0,20.115505
94.5,20.192753
95.0,20.287807
95.5,20.441998
96.0,20.666868
96.5,20.957125
97.0,21.269955
97.5,21.497393
98.0,21.632475
