"d","test1"
0.0,38.210712
0.5,37.484760
1.0,36.921169
1.5,36.486523
2.0,36.029354
2.5,35.588734
3.0,35.173988
3.5,34.739067
4.0,34.593124
4.5,34.789173
5.0,35.283234
5.5,36.053356
6.0,36.960957
6.5,37.878040
7.0,38.628914
7.5,39.084682
8.0,39.232342
8.5,38.996456
9.0,38.406788
9.5,37.751411
10.0,37.267464
10.5,37.060333
11.0,37.014980
11.5,37.042587
12.0,37.153374
12.5,37.328598
13.0,37.528240
13.5,37.700932
14.0,37.759556
14.5,37.595127
15.0,37.251633
15.5,37.015495
16.0,37.015041
16.5,37.132923
17.0,37.225708
17.5,37.231342
18.0,37.190891
18.5,37.129532
19.0,37.095150
19.5,37.125206
20.0,37.112225
20.5,36.989319
21.0,36.922333
21.5,37.060310
22.0,37.327843
22.5,37.604134
23.0,37.770706
23.5,37.753151
24.0,37.514496
24.5,37.266449
25.0,37.078953
25.5,36.849903
26.0,36.546940
26.5,36.397869
27.0,36.521099
27.5,36.868885
28.0,37.327133
28.5,37.853470
29.0,38.434418
29.5,38.958759
30.0,39.298367
30.5,39.369469
31.0,39.050945
31.5,38.532013
32.0,38.116371
32.5,37.897858
33.0,37.838894
33.5,37.881306
34.0,37.952595
34.5,38.000076
35.0,38.079357
35.5,38.219364
36.0,38.341366
36.5,38.397106
37.0,38.517963
37.5,38.771172
38.0,39.061295
38.5,39.284107
39.0,39.406498
39.5,39.443886
40.0,39.360878
40.5,38.997852
41.0,38.448391
41.5,37.649673
42.0,36.644531
42.5,35.971119
43.0,35.668041
43.5,35.559456
44.0,35.562748
44.5,35.605282
45.0,35.622185
45.5,35.552906
46.0,35.385094
46.5,35.165470
47.0,34.839367
47.5,34.482731
48.0,34.209122
48.5,34.024784
49.0,33.866619
49.5,33.734577
50.0,33.665771
50.5,33.753986
51.0,33.925953
51.5,34.044666
52.0,34.005283
52.5,33.757111
53.0,33.464310
53.5,33.255882
54.0,33.132496
54.5,32.905308
55.0,32.461903
55.5,32.007862
56.0,31.784698
56.5,31.854839
57.0,31.994349
57.5,32.162518
58.0,32.346653
58.5,32.516716
59.0,32.696938
59.5,32.939522
60.0,33.194233
60.5,33.310520
61.0,33.187248
61.5,32.919033
62.0,32.666779
62.5,32.471569
63.0,32.110195
63.5,31.605886
64.0,31.261105
64.5,31.238249
65.0,31.438757
65.5,31.744865
66.0,32.082294
66.5,32.356823
67.0,32.517941
67.5,32.551056
68.0,32.461617
68.5,32.348114
69.0,32.294216
69.5,32.273289
70.0,32.214268
70.5,32.175884
71.0,32.200909
71.5,32.237747
72.0,32.206852
72.5,32.068283
73.0,32.047737
73.5,32.233898
74.0,32.494965
74.5,32.710663
75.0,32.844898
75.5,32.930252
76.0,33.066639
76.5,33.313354
77.0,33.619289
77.5,33.855434
78.0,33.991138
78.5,34.125656
79.0,34.189877
79.5,34.115788
80.0,33.981716
80.5,33.974712
81.0,34.099377
81.5,34.307537
82.0,34.560104
82.5,34.757420
83.0,34.774685
83.5,34.604034
84.0,34.274445
84.5,33.708908
85.0,33.115459
85.5,32.786301
86.0,32.646999
86.5,32.654522
87.0,32.752316
87.5,32.890533
88.0,33.116249
88.5,33.470669
89.0,33.858154
89.5,34.118137
90.0,34.194778
90.5,33.998009
91.0,33.476196
91.5,32.603043
92.0,31.593828
92.5,30.800419
93.0,30.348063
93.5,30.169422
94.0,30.183208
94.5,30.307512
95.0,30.479689
95.5,30.637924
96.0,30.712221
96.5,30.512499
97.0,30.195990
97.5,29.999207
98.0,29.997791
98.5,30.070980
99.0,29.983929
99.5,29.671473
100.0,29.223042
100.5,28.722803
101.0,28.316629
101.5,27.998484
102.0,27.649944
102.5,27.274460
103.0,26.999735
103.5,26.934753
104.0,26.973083
104.5,26.947966
105.0,26.788506
105.5,26.480858
106.0,26.005529
106.5,25.481913
107.0,24.940483
107.5,24.259995
108.0,23.429077
108.5,22.834129
109.0,22.686480
109.5,22.777576
110.0,22.967371
110.5,23.238379
111.0,23.518312
111.5,23.744123
112.0,23.882774
112.5,23.929659
113.0,23.721762
113.5,23.190649
114.0,22.695305
114.5,22.293993
115.0,22.028700
115.5,22.016045
116.0,22.275330
116.5,22.841751
117.0,23.714626
117.5,24.749207
118.0,25.774355
118.5,26.640934
119.0,27.322216
119.5,27.839499
120.0,28.265255
120.5,28.655754
121.0,28.985281
121.5,29.293636
122.0,29.678690
122.5,30.090921
123.0,30.451782
123.5,30.842215
124.0,31.285946
124.5,31.803873
125.0,32.352749
125.5,32.876396
126.0,33.435593
126.5,33.997330
127.0,34.431343
127.5,34.687397
128.0,34.680317
128.5,34.457752
129.0,34.288387
129.5,34.164722
130.0,34.100582
130.5,34.190639
131.0,34.412193
131.5,34.677017
132.0,34.922363
132.5,35.098122
133.0,35.210148
133.5,35.290836
134.0,35.322636
134.5,35.231411
135.0,35.003799
135.5,34.739117
136.0,34.635784
136.5,34.676323
137.0,34.818928
137.5,35.028259
138.0,35.326672
138.5,35.766876
139.0,36.287834
139.5,36.745007
140.0,37.036510
140.5,37.115608
141.0,36.961987
141.5,36.657661
142.0,36.140720
142.5,35.339211
143.0,34.600407
143.5,34.229870
144.0,34.291859
144.5,34.599495
145.0,35.101337
145.5,35.692165
146.0,36.275452
146.5,36.739285
147.0,37.009644
147.5,37.134090
148.0,37.208458
148.5,37.320534
149.0,37.462135
149.5,37.479404
150.0,37.208912
150.5,36.716358
151.0,36.200214
151.5,35.766193
152.0,35.399971
152.5,34.998161
153.0,34.533066
153.5,34.213181
154.0,34.114307
154.5,34.167500
155.0,34.228851
155.5,34.222279
156.0,34.039024
156.5,33.737659
157.0,33.356670
157.5,32.896523
158.0,32.331108
158.5,31.657158
159.0,31.223761
159.5,31.196913
160.0,31.405863
160.5,31.820154
161.0,32.374367
161.5,32.900043
162.0,33.337540
162.5,33.648876
163.0,33.752808
163.5,33.539360
164.0,33.068138
164.5,32.594261
165.0,32.329742
165.5,32.299835
166.0,32.383343
166.5,32.506180
167.0,32.633633
167.5,32.775558
168.0,32.934753
168.5,33.079449
169.0,33.157188
169.5,33.116554
170.0,32.909981
170.5,32.577110
171.0,32.211441
171.5,31.925043
172.0,31.796944
172.5,31.823975
173.0,31.832876
173.5,31.736597
174.0,31.730247
174.5,31.845922
175.0,32.034042
175.5,32.275547
176.0,32.572601
176.5,32.915043
177.0,33.285511
177.5,33.632801
178.0,33.866489
178.5,33.890163
179.0,33.638027
179.5,33.314579
180.0,32.993454
180.5,32.632839
181.0,32.312263
181.5,32.133659
182.0,32.093933
182.5,32.169125
183.0,32.314072
183.5,32.481785
184.0,32.585732
184.5,32.608742
185.0,32.534054
185.5,32.275219
186.0,31.893915
186.5,31.705126
187.0,31.693737
187.5,31.770201
188.0,31.949453
188.5,32.196423
189.0,32.528400
189.5,32.959606
190.0,33.447506
190.5,33.917194
191.0,34.284649
191.5,34.433270
192.0,34.162273
192.5,33.508675
193.0,32.703819
193.5,32.071571
194.0,31.769114
194.5,31.718428
195.0,31.801445
195.5,32.010452
196.0,32.343834
196.5,32.737038
197.0,33.098286
197.5,33.311779
198.0,33.331207
198.5,33.237751
199.0,33.247810
199.5,33.348629
200.0,33.460281
200.5,33.463272
201.0,33.305779
201.5,33.102745
202.0,32.965233
202.5,32.929279
203.0,32.905350
203.5,32.811905
204.0,32.728424
204.5,32.786179
205.0,32.980354
205.5,33.230362
206.0,33.418926
206.5,33.522423
207.0,33.523670
207.5,33.356670
208.0,33.041950
208.5,32.691452
209.0,32.117027
209.5,31.501072
210.0,31.218077
210.5,31.290920
211.0,31.581766
211.5,32.026306
212.0,32.545723
212.5,33.021618
213.0,33.377857
213.5,33.593819
214.0,33.597267
214.5,33.312172
215.0,32.909863
215.5,32.582714
216.0,32.492390
216.5,32.537079
217.0,32.630444
217.5,32.745853
218.0,32.882011
218.5,33.054977
219.0,33.252178
219.5,33.410992
220.0,33.443298
220.5,33.329975
221.0,33.059982
221.5,32.670101
222.0,32.273678
222.5,31.996803
223.0,31.859354
223.5,31.863371
224.0,31.843132
224.5,31.775206
225.0,31.791290
225.5,31.930975
226.0,32.155437
226.5,32.428295
227.0,32.695698
227.5,33.011070
228.0,33.369293
228.5,33.687595
229.0,33.867878
229.5,33.771011
230.0,33.418980
230.5,33.047215
231.0,32.676086
231.5,32.336514
232.0,32.195995
232.5,32.216576
233.0,32.278522
233.5,32.335686
234.0,32.362217
234.5,32.355019
235.0,32.351822
235.5,32.335896
236.0,32.223183
236.5,31.981047
237.0,31.717793
237.5,31.528599
238.0,31.455036
238.5,31.520601
239.0,31.703304
239.5,32.007404
240.0,32.485157
240.5,33.048302
241.0,33.548912
241.5,33.896381
242.0,34.049664
242.5,33.957237
243.0,33.661896
243.5,33.335678
244.0,32.877907
244.5,32.180313
245.0,31.415539
245.5,30.968937
246.0,30.919058
246.5,31.035156
247.0,31.199072
247.5,31.405872
248.0,31.643019
248.5,31.898010
249.0,32.190807
249.5,32.510971
250.0,32.815037
250.5,33.096569
251.0,33.386608
251.5,33.612797
252.0,33.644337
252.5,33.427280
253.0,32.976757
253.5,32.402126
254.0,31.837780
254.5,31.380177
255.0,31.103247
255.5,31.079123
256.0,31.248581
256.5,31.485891
257.0,31.701405
257.5,31.821835
258.0,31.785816
258.5,31.627670
259.0,31.428648
259.5,31.151796
260.0,30.683218
260.5,30.214886
261.0,30.020599
261.5,30.112741
262.0,30.411112
262.5,30.852518
263.0,31.352848
263.5,31.808928
264.0,32.180965
264.5,32.440098
265.0,32.516903
265.5,32.270199
266.0,31.723137
266.5,31.140718
267.0,30.661821
267.5,30.316853
268.0,30.048437
268.5,29.847944
269.0,29.806604
269.5,29.823864
270.0,29.802784
270.5,29.699598
271.0,29.567825
271.5,29.488771
272.0,29.467827
272.5,29.462658
273.0,29.380915
273.5,29.085625
274.0,28.664755
274.5,28.402060
275.0,28.336498
275.5,28.347294
276.0,28.392672
276.5,28.506218
277.0,28.631218
277.5,28.814425
278.0,29.119907
278.5,29.444868
279.0,29.653866
279.5,29.629126
280.0,29.214146
280.5,28.410692
281.0,27.175035
281.5,25.437876
282.0,23.427673
282.5,21.511848
283.0,19.898500
283.5,18.535883
284.0,17.346289
284.5,16.254560
285.0,15.275860
285.5,14.439784
286.0,13.734344
286.5,13.152510
287.0,12.674907
287.5,12.264229
288.0,11.888078
288.5,11.562635
289.0,11.358428
289.5,11.322387
290.0,11.349096
290.5,11.316052
291.0,11.283247
291.5,11.282974
292.0,11.319729
292.5,11.434489
293.0,11.623810
293.5,11.877282
294.0,12.198503
294.5,12.541461
295.0,12.832328
295.5,12.969604
296.0,12.824527
296.5,12.533466
297.0,12.256474
297.5,11.972445
