"d","test1"
0.0,3641.201904
0.5,3677.336426
1.0,3709.943115
1.5,3669.002686
2.0,3542.541260
2.5,3335.168457
3.0,3141.836182
3.5,2947.447510
4.0,2764.021973
4.5,2662.117676
5.0,2598.917480
5.5,2666.458984
6.0,2781.768555
6.5,2988.534424
7.0,3165.278320
7.5,3306.473877
8.0,3344.823975
8.5,3335.811768
9.0,3354.459229
9.5,3371.654785
10.0,3392.272217
10.5,3393.958984
11.0,3453.260254
11.5,3516.797363
12.0,3574.212891
12.5,3562.714600
13.0,3476.877441
13.5,3408.380371
14.0,3321.217773
14.5,3205.872559
15.0,3140.652588
15.5,3211.992676
16.0,3272.503174
16.5,3372.733398
17.0,3489.219727
17.5,3527.644287
18.0,3508.279541
18.5,3454.727539
19.0,3416.282227
19.5,3352.591797
20.0,3313.519775
20.5,3336.749023
21.0,3359.394531
21.5,3365.646973
22.0,3378.945068
22.5,3436.265137
23.0,3400.963379
23.5,3314.866699
24.0,3209.496338
24.5,3108.445801
25.0,3046.137451
25.5,2988.380127
26.0,2900.336914
26.5,2870.651367
27.0,2882.902588
27.5,3000.442383
28.0,3161.187500
28.5,3271.909424
29.0,3279.921387
29.5,3203.171143
30.0,3162.930420
30.5,3193.640137
31.0,3220.017334
31.5,3233.731934
32.0,3217.513184
32.5,3188.041504
33.0,3191.499512
33.5,3215.101807
34.0,3238.152344
34.5,3153.518555
35.0,3040.074707
35.5,2957.629395
36.0,2925.858643
36.5,2935.572510
37.0,2988.535645
37.5,3076.664062
38.0,3162.938965
38.5,3263.608887
39.0,3439.431885
39.5,3602.584961
40.0,3621.571777
40.5,3601.896240
41.0,3595.440674
41.5,3610.452881
42.0,3656.762207
42.5,3675.943359
43.0,3674.775879
43.5,3617.540527
44.0,3571.244385
44.5,3611.382080
45.0,3659.001465
45.5,3682.950684
46.0,3656.453125
46.5,3624.751221
47.0,3624.620605
47.5,3608.805420
48.0,3559.384766
48.5,3540.398193
49.0,3611.505127
49.5,3695.451660
50.0,3729.757812
50.5,3738.268066
51.0,3724.842285
51.5,3726.476562
52.0,3734.354736
52.5,3788.842041
53.0,3843.702148
53.5,3810.909180
54.0,3777.368164
54.5,3751.209717
55.0,3739.513184
55.5,3684.579834
56.0,3669.039307
56.5,3594.734619
57.0,3538.988525
57.5,3530.507568
58.0,3603.440186
58.5,3677.493164
59.0,3730.036621
59.5,3766.038818
60.0,3800.020264
60.5,3919.354736
61.0,3985.132324
61.5,3950.973633
62.0,3854.029541
62.5,3784.495850
63.0,3776.614014
63.5,3797.743652
64.0,3822.641846
64.5,3823.822021
65.0,3794.472656
65.5,3792.903564
66.0,3797.718750
66.5,3819.061035
67.0,3886.653809
67.5,3923.702393
68.0,3901.413330
68.5,3858.316162
69.0,3860.267822
69.5,3914.729248
70.0,4003.635742
70.5,3988.656982
71.0,3941.245361
71.5,3944.303711
72.0,3928.527100
72.5,3930.945557
73.0,3810.822754
73.5,3641.993408
74.0,3558.845459
74.5,3529.822998
75.0,3612.463135
75.5,3695.954346
76.0,3702.250732
76.5,3740.918457
77.0,3782.533691
77.5,3727.186035
78.0,3699.735596
78.5,3706.452881
79.0,3727.676758
79.5,3786.024414
80.0,3850.693848
80.5,3903.784912
81.0,3959.936523
81.5,4033.646240
82.0,4099.879883
82.5,4145.787109
83.0,4124.429199
83.5,4078.522217
84.0,4027.064941
84.5,3972.153809
85.0,3840.496338
85.5,3659.004883
86.0,3602.669434
86.5,3646.905762
87.0,3748.535645
87.5,3839.572998
88.0,3952.043213
88.5,4003.452393
89.0,4014.906738
89.5,4081.871582
90.0,4216.803223
90.5,4222.192383
91.0,4147.786133
91.5,4115.529785
92.0,4187.061035
92.5,4233.650879
93.0,4244.791992
93.5,4201.721191
94.0,4132.370117
94.5,4047.260986
95.0,3964.200928
95.5,3938.738037
96.0,3829.303711
96.5,3701.880371
97.0,3720.106201
97.5,3823.665527
98.0,3932.852539
98.5,4068.295410
99.0,4172.690918
99.5,4202.392578
100.0,4221.547363
100.5,4156.073730
101.0,4080.669922
101.5,4021.398926
102.0,4012.543213
102.5,4041.229248
103.0,4083.058105
103.5,4118.372559
104.0,4106.999023
104.5,4135.598145
105.0,4207.015137
105.5,4229.895996
106.0,4165.916504
106.5,4017.979248
107.0,3887.511230
107.5,3763.022217
108.0,3671.667236
108.5,3657.571777
109.0,3656.154053
109.5,3632.995361
110.0,3641.339844
110.5,3758.168701
111.0,3849.821533
111.5,3890.571045
112.0,3899.020752
112.5,3874.369629
113.0,3772.252930
113.5,3577.113525
114.0,3250.927979
114.5,2970.664795
115.0,2816.233643
115.5,2737.348389
116.0,2693.004883
116.5,2663.846436
117.0,2612.822266
117.5,2594.650635
118.0,2591.970215
118.5,2673.299072
119.0,2728.185547
119.5,2671.785400
120.0,2630.639404
120.5,2598.288818
121.0,2590.195557
121.5,2555.072998
122.0,2485.776611
122.5,2440.091309
123.0,2379.891602
123.5,2357.326172
124.0,2445.420654
124.5,2613.067383
125.0,2720.707031
