"d","test1"
0.0,1972.312378
0.5,1917.084106
1.0,1862.692871
1.5,1844.515991
2.0,1870.655518
2.5,1851.328613
3.0,1864.648682
3.5,1875.630737
4.0,1703.437378
4.5,1490.549438
5.0,1240.573364
5.5,1085.326050
6.0,971.258057
6.5,974.435242
7.0,1127.952637
7.5,1355.415283
8.0,1581.355225
8.5,1763.867188
9.0,1885.284302
9.5,1877.422729
10.0,1785.025757
10.5,1683.638306
11.0,1628.552734
11.5,1562.532471
12.0,1504.974731
12.5,1457.473511
13.0,1456.514526
13.5,1477.170776
14.0,1585.573120
14.5,1705.764771
15.0,1772.929932
15.5,1709.936890
16.0,1603.304443
16.5,1567.212280
17.0,1610.793579
17.5,1678.092651
18.0,1685.456787
18.5,1709.387085
19.0,1645.007324
19.5,1604.004883
20.0,1641.239014
20.5,1673.349243
21.0,1606.780762
21.5,1472.855713
22.0,1413.484131
22.5,1436.754761
23.0,1548.026611
23.5,1674.999512
24.0,1763.965332
24.5,1754.214600
25.0,1749.214600
25.5,1792.407959
26.0,1813.118408
26.5,1712.645752
27.0,1520.267578
27.5,1386.773193
28.0,1309.920898
28.5,1229.895264
29.0,1175.713623
29.5,1230.039795
30.0,1393.657959
30.5,1591.354370
31.0,1759.131348
31.5,1803.365112
32.0,1761.630005
32.5,1725.818726
33.0,1665.160156
33.5,1612.163696
34.0,1607.006226
34.5,1615.648926
35.0,1558.070679
35.5,1515.363525
36.0,1565.025513
36.5,1596.789307
37.0,1478.528687
37.5,1385.035645
38.0,1390.828247
38.5,1446.035767
39.0,1520.073486
39.5,1561.825439
40.0,1654.165894
40.5,1764.642700
41.0,1843.819824
41.5,2014.555298
42.0,2038.960815
42.5,1889.778931
43.0,1784.419800
43.5,1728.231079
44.0,1689.340820
44.5,1677.308716
45.0,1712.422241
45.5,1770.241211
46.0,1809.092773
46.5,1859.326904
47.0,1936.375610
47.5,1943.081787
48.0,1905.952515
48.5,1894.442261
49.0,1885.611572
49.5,1886.229248
50.0,1828.008545
50.5,1727.941040
51.0,1687.143677
51.5,1762.660400
52.0,1870.981445
52.5,1932.752441
53.0,1945.458252
53.5,1906.049805
54.0,1911.140259
54.5,1984.094849
55.0,2091.041504
55.5,2060.684326
56.0,1934.225342
56.5,1824.918945
57.0,1781.129883
57.5,1759.004517
58.0,1722.568604
58.5,1753.262451
59.0,1699.604614
59.5,1642.677368
60.0,1674.384399
60.5,1801.899780
61.0,1933.023682
61.5,1962.132080
62.0,1950.910034
62.5,1931.628662
63.0,2056.998047
63.5,2069.187012
64.0,1983.936035
64.5,1796.215698
65.0,1696.621216
65.5,1612.323853
66.0,1602.315186
66.5,1667.263184
67.0,1725.468506
67.5,1829.440063
68.0,1874.884521
68.5,1882.174316
69.0,1852.413940
69.5,1847.887695
70.0,1853.472656
70.5,1802.676636
71.0,1781.057373
71.5,1790.351807
72.0,1844.244019
72.5,1866.148438
73.0,1733.344849
73.5,1606.462891
74.0,1575.370728
74.5,1623.673096
75.0,1699.054321
75.5,1687.740356
76.0,1630.480835
76.5,1530.927979
77.0,1515.452393
77.5,1613.016968
78.0,1615.689819
78.5,1594.342285
79.0,1667.634644
79.5,1741.689941
80.0,1735.976074
80.5,1660.333618
81.0,1563.052002
81.5,1502.724121
82.0,1450.209961
82.5,1541.470825
83.0,1676.184204
83.5,1751.297485
84.0,1850.471924
84.5,1976.566406
85.0,1945.528931
85.5,1851.453003
86.0,1794.679077
86.5,1711.098022
87.0,1664.839722
87.5,1631.390503
88.0,1527.362793
88.5,1435.824097
89.0,1434.699829
89.5,1551.508789
90.0,1685.762573
90.5,1831.007812
91.0,1999.743408
91.5,2178.045654
92.0,2235.478760
92.5,2139.456787
93.0,2022.156372
93.5,1943.059448
94.0,1864.286865
94.5,1774.738770
95.0,1754.196045
95.5,1769.583496
96.0,1893.393799
96.5,2047.194702
97.0,2081.371826
97.5,2035.691772
98.0,1951.012207
98.5,1949.730469
99.0,2093.823242
99.5,2197.352539
100.0,2265.961670
100.5,2290.323486
101.0,2234.150635
101.5,2225.750488
102.0,2256.270752
102.5,2261.910889
103.0,2224.390625
103.5,2142.233643
104.0,2148.115967
104.5,2228.087158
105.0,2301.119385
105.5,2422.612793
106.0,2499.518799
106.5,2548.598389
107.0,2599.561523
107.5,2729.028320
108.0,2799.775879
108.5,2665.350586
109.0,2510.754150
109.5,2409.119629
110.0,2324.287354
110.5,2280.307861
111.0,2284.456543
111.5,2330.965088
112.0,2400.173096
112.5,2477.875000
113.0,2681.039062
113.5,2757.965088
114.0,2742.040039
114.5,2730.434570
115.0,2669.166260
115.5,2513.553955
116.0,2309.123291
116.5,2024.036987
117.0,1773.736816
117.5,1663.154663
118.0,1689.558960
118.5,1790.752197
119.0,1894.728516
119.5,1995.898438
120.0,2028.384766
120.5,2054.634277
121.0,2103.166260
121.5,2039.776611
122.0,1938.652588
122.5,1949.293335
123.0,1953.466064
123.5,1874.739990
124.0,1819.412598
124.5,1718.594482
125.0,1704.148560
125.5,1689.131348
126.0,1594.725586
126.5,1617.364868
127.0,1723.231567
127.5,1864.583862
128.0,2060.748291
128.5,2097.453613
129.0,2070.783447
129.5,2062.010010
130.0,2004.334961
130.5,1871.266479
131.0,1792.658691
131.5,1782.479248
132.0,1808.284546
132.5,1866.939331
133.0,1892.205933
133.5,1898.496826
134.0,1944.083252
134.5,1996.953857
135.0,2050.975586
135.5,2031.592773
136.0,1947.082153
136.5,1880.085571
137.0,1794.496704
137.5,1746.227051
138.0,1631.577148
138.5,1507.147705
139.0,1469.638794
139.5,1552.010864
140.0,1676.177612
140.5,1844.895996
141.0,1947.915527
141.5,1999.071289
142.0,2177.160156
142.5,2283.325928
143.0,2253.938477
143.5,2054.865723
144.0,1845.816772
144.5,1670.073853
145.0,1500.600830
145.5,1450.443481
146.0,1447.531494
146.5,1573.777344
147.0,1733.086060
147.5,1821.084839
148.0,1846.948364
148.5,1789.845215
149.0,1801.924805
149.5,1953.292358
150.0,2108.641357
150.5,2187.643555
151.0,2196.343994
151.5,2162.986084
152.0,2152.367432
152.5,2200.625732
153.0,2229.889404
153.5,2155.378174
154.0,2078.289551
154.5,2034.814819
155.0,2078.116455
155.5,2145.779541
156.0,2246.357666
156.5,2303.137207
157.0,2372.979736
157.5,2434.734375
158.0,2534.717773
158.5,2596.940674
159.0,2445.971436
159.5,2270.233643
160.0,2124.636475
160.5,1909.856567
161.0,1872.245605
161.5,1875.057251
162.0,1944.143799
162.5,2044.737427
163.0,2236.020264
163.5,2430.783691
164.0,2519.917236
164.5,2521.391846
165.0,2422.538086
165.5,2326.242920
166.0,2259.468018
166.5,2230.131348
167.0,2231.732178
167.5,2209.612305
168.0,2196.056152
168.5,2221.927002
169.0,2291.963379
169.5,2377.645752
170.0,2442.409912
170.5,2518.293945
171.0,2535.744141
171.5,2508.345459
172.0,2417.553711
172.5,2343.423340
173.0,2437.629150
173.5,2463.457275
174.0,2386.442871
174.5,2294.555664
175.0,2238.194092
175.5,2190.968750
176.0,2130.974854
176.5,2098.473877
177.0,2056.848145
177.5,2090.301514
178.0,2193.423340
178.5,2364.566162
179.0,2455.238281
179.5,2455.244141
180.0,2482.344727
180.5,2517.186768
181.0,2500.166260
181.5,2456.977051
182.0,2413.305176
182.5,2326.988770
183.0,2278.528564
183.5,2267.247803
184.0,2340.042969
184.5,2382.332520
185.0,2429.253174
185.5,2526.977295
186.0,2550.434814
186.5,2439.067871
187.0,2380.332275
187.5,2287.816895
188.0,2200.550781
