"d","test1"
0.0,-6.734989
0.5,39.610474
1.0,26.012005
1.5,12.961850
2.0,-0.210834
2.5,-22.081059
3.0,-43.145550
3.5,-60.780205
4.0,-70.153336
4.5,-72.268951
5.0,-67.170898
5.5,-53.393070
6.0,-35.706425
6.5,-18.102505
7.0,-2.275305
7.5,10.786394
8.0,20.219353
8.5,24.709389
9.0,24.075024
9.5,20.135706
10.0,16.452343
10.5,14.670225
11.0,12.854437
11.5,10.271725
12.0,7.570262
12.5,4.651340
13.0,0.879660
13.5,-2.669589
14.0,-5.172552
14.5,-5.536620
15.0,-2.148686
15.5,3.634650
16.0,8.503031
16.5,12.474487
17.0,14.927786
17.5,14.969037
18.0,12.186451
18.5,6.921315
19.0,-0.212116
19.5,-6.807677
20.0,-11.034404
20.5,-11.767013
21.0,-10.249435
21.5,-8.548907
22.0,-6.578984
22.5,-5.645471
23.0,-5.987617
23.5,-7.408493
24.0,-10.535960
24.5,-15.882710
25.0,-21.566126
25.5,-25.495216
26.0,-26.497345
26.5,-24.543583
27.0,-20.741545
27.5,-17.038256
28.0,-13.229865
28.5,-8.378770
29.0,-2.703870
29.5,2.279031
30.0,4.887895
30.5,4.929619
31.0,3.673737
31.5,3.561256
32.0,4.722608
32.5,4.631617
33.0,1.765519
33.5,-2.791707
34.0,-7.269823
34.5,-10.883678
35.0,-13.003262
35.5,-13.781836
36.0,-12.995954
36.5,-8.552297
37.0,1.277603
37.5,16.155573
38.0,31.570425
38.5,43.663544
39.0,51.905613
39.5,56.939758
40.0,59.139931
40.5,58.029087
41.0,52.780033
41.5,42.590710
42.0,31.164717
42.5,23.716988
43.0,20.675623
43.5,20.006414
44.0,19.571836
44.5,18.128771
45.0,16.835863
45.5,16.611975
46.0,16.484444
46.5,14.519919
47.0,11.121737
47.5,8.260526
48.0,6.832920
48.5,6.791833
49.0,6.736606
49.5,6.513765
50.0,7.530073
50.5,10.586232
51.0,14.919641
51.5,17.689476
52.0,17.725935
52.5,16.325159
53.0,14.676525
53.5,12.939845
54.0,10.458490
54.5,6.179366
55.0,-0.610745
55.5,-7.517139
56.0,-12.090344
56.5,-13.646482
57.0,-13.289878
57.5,-11.171876
58.0,-7.631354
58.5,-1.373227
59.0,7.561128
59.5,16.192915
60.0,21.395308
60.5,22.389822
61.0,21.485485
61.5,19.267118
62.0,16.370615
62.5,11.688531
63.0,4.614412
63.5,-1.973959
64.0,-5.548024
64.5,-5.861318
65.0,-3.997185
65.5,-1.050690
66.0,1.267553
66.5,2.430219
67.0,3.358847
67.5,5.121686
68.0,8.506007
68.5,11.378222
69.0,10.992890
69.5,8.492294
70.0,5.979312
70.5,4.367404
71.0,2.611573
71.5,-1.696230
72.0,-8.896658
72.5,-16.404200
73.0,-21.025831
73.5,-22.705149
74.0,-23.376591
74.5,-23.373650
75.0,-22.017277
75.5,-18.854277
76.0,-14.917160
76.5,-10.870171
77.0,-7.646733
77.5,-5.730498
78.0,-4.130852
