"d","test1"
0.0,-0.949527
0.5,-0.951753
1.0,-0.966802
1.5,-0.970028
2.0,-0.972078
2.5,-0.991727
3.0,-1.010661
3.5,-1.026143
4.0,-1.032913
4.5,-1.048576
5.0,-1.048847
5.5,-1.061974
6.0,-1.073896
6.5,-1.066373
7.0,-1.058236
7.5,-1.054942
8.0,-1.054440
8.5,-1.055243
9.0,-1.056449
9.5,-1.058024
10.0,-1.046915
10.5,-1.022569
11.0,-1.008409
11.5,-1.010682
12.0,-0.978240
12.5,-0.943768
13.0,-0.930494
13.5,-0.916330
14.0,-0.882630
14.5,-0.867761
15.0,-0.845789
15.5,-0.820627
16.0,-0.805852
16.5,-0.795870
17.0,-0.790313
17.5,-0.793912
18.0,-0.786136
18.5,-0.776707
19.0,-0.781526
19.5,-0.786758
20.0,-0.801631
20.5,-0.810021
21.0,-0.805871
21.5,-0.801799
22.0,-0.799103
22.5,-0.797356
23.0,-0.795777
23.5,-0.793358
24.0,-0.791337
24.5,-0.792239
25.0,-0.794965
25.5,-0.798658
26.0,-0.802264
26.5,-0.806431
27.0,-0.811045
27.5,-0.813876
28.0,-0.820243
28.5,-0.830659
29.0,-0.827003
29.5,-0.852780
30.0,-0.860224
30.5,-0.866433
31.0,-0.874557
31.5,-0.872528
32.0,-0.871367
32.5,-0.871435
33.0,-0.872515
33.5,-0.873701
34.0,-0.874113
34.5,-0.874001
35.0,-0.875328
35.5,-0.877330
36.0,-0.877826
36.5,-0.876875
37.0,-0.875305
37.5,-0.873986
38.0,-0.872582
38.5,-0.870606
39.0,-0.868093
39.5,-0.865702
40.0,-0.864901
40.5,-0.866645
41.0,-0.868972
41.5,-0.870686
42.0,-0.872006
42.5,-0.872689
43.0,-0.872268
43.5,-0.871303
44.0,-0.870050
44.5,-0.868270
45.0,-0.866341
45.5,-0.865179
46.0,-0.864845
46.5,-0.864980
47.0,-0.865054
47.5,-0.865398
48.0,-0.866666
48.5,-0.869023
49.0,-0.870667
49.5,-0.870839
50.0,-0.870322
50.5,-0.884342
51.0,-0.895124
51.5,-0.915051
52.0,-0.936747
52.5,-0.941333
53.0,-0.963411
53.5,-0.987481
54.0,-0.999549
54.5,-1.008428
55.0,-1.027928
55.5,-1.051925
56.0,-1.074139
56.5,-1.093498
57.0,-1.102407
57.5,-1.122992
58.0,-1.147115
58.5,-1.148692
59.0,-1.147572
59.5,-1.156870
60.0,-1.168852
60.5,-1.174317
61.0,-1.169311
61.5,-1.174317
62.0,-1.185758
62.5,-1.187011
63.0,-1.187997
63.5,-1.189654
64.0,-1.190221
64.5,-1.189629
65.0,-1.188162
65.5,-1.193509
66.0,-1.204611
66.5,-1.203202
67.0,-1.200705
67.5,-1.205286
68.0,-1.216200
68.5,-1.216232
69.0,-1.214291
69.5,-1.213972
70.0,-1.213181
70.5,-1.212968
71.0,-1.215026
71.5,-1.217246
72.0,-1.218110
72.5,-1.216784
73.0,-1.213923
73.5,-1.212657
74.0,-1.213215
