"d","test1"
0.0,6.251088
0.5,6.289874
1.0,6.333409
1.5,6.366235
2.0,6.368629
2.5,6.345065
3.0,6.304990
3.5,6.250286
4.0,6.188884
4.5,6.140677
5.0,6.121833
5.5,6.131538
6.0,6.163784
6.5,6.206490
7.0,6.244753
7.5,6.268706
8.0,6.282625
8.5,6.292527
9.0,6.304769
9.5,6.315276
10.0,6.319257
10.5,6.311651
11.0,6.302690
11.5,6.301822
12.0,6.311833
12.5,6.318775
13.0,6.318460
13.5,6.307314
14.0,6.284900
14.5,6.275058
15.0,6.278191
15.5,6.285004
16.0,6.291779
16.5,6.298826
17.0,6.304313
17.5,6.312043
18.0,6.322255
18.5,6.328313
19.0,6.315637
19.5,6.289452
20.0,6.262135
20.5,6.248741
21.0,6.246490
21.5,6.250123
22.0,6.251462
22.5,6.248584
23.0,6.247475
23.5,6.259209
24.0,6.263926
24.5,6.255626
25.0,6.239709
25.5,6.220299
26.0,6.200484
26.5,6.174201
27.0,6.147769
27.5,6.132651
28.0,6.134645
28.5,6.156394
29.0,6.182519
29.5,6.195715
30.0,6.199711
30.5,6.193800
31.0,6.186573
31.5,6.178059
32.0,6.172595
32.5,6.165919
33.0,6.156115
33.5,6.146317
34.0,6.141757
34.5,6.133850
35.0,6.109043
35.5,6.084875
36.0,6.072174
36.5,6.068872
37.0,6.073799
37.5,6.082564
38.0,6.098664
38.5,6.126786
39.0,6.167848
39.5,6.214054
40.0,6.245915
40.5,6.257396
41.0,6.265045
41.5,6.270794
42.0,6.274818
42.5,6.281915
43.0,6.292392
43.5,6.301550
44.0,6.310647
44.5,6.326070
45.0,6.340151
45.5,6.348513
46.0,6.351453
46.5,6.354056
47.0,6.360282
47.5,6.366177
48.0,6.363085
48.5,6.354384
49.0,6.351687
49.5,6.358807
50.0,6.372806
50.5,6.387594
51.0,6.398619
51.5,6.406791
52.0,6.423126
52.5,6.446441
53.0,6.471874
53.5,6.492945
54.0,6.495010
54.5,6.490134
55.0,6.488019
55.5,6.494132
56.0,6.497960
56.5,6.497466
57.0,6.487999
57.5,6.474505
58.0,6.476878
58.5,6.498456
59.0,6.519155
59.5,6.537941
60.0,6.552334
60.5,6.576754
61.0,6.609323
61.5,6.633124
62.0,6.639417
62.5,6.633456
63.0,6.620951
63.5,6.612149
64.0,6.611887
64.5,6.618179
65.0,6.632778
65.5,6.652190
66.0,6.672404
66.5,6.685848
67.0,6.691623
67.5,6.703957
68.0,6.719079
68.5,6.731865
69.0,6.740861
69.5,6.754527
70.0,6.775065
70.5,6.778920
71.0,6.763539
71.5,6.745171
72.0,6.735228
72.5,6.741292
73.0,6.753610
73.5,6.751257
74.0,6.739114
74.5,6.719411
75.0,6.709791
75.5,6.716625
76.0,6.718940
76.5,6.731484
77.0,6.757720
77.5,6.785934
78.0,6.791166
78.5,6.776740
79.0,6.755198
79.5,6.737047
80.0,6.727884
80.5,6.736638
81.0,6.752522
81.5,6.769102
82.0,6.793309
82.5,6.817660
83.0,6.827102
83.5,6.823528
84.0,6.816115
84.5,6.804876
85.0,6.792222
85.5,6.779460
86.0,6.754328
86.5,6.721066
87.0,6.699944
87.5,6.686728
88.0,6.693873
88.5,6.719777
89.0,6.750895
89.5,6.779665
90.0,6.798895
90.5,6.795846
91.0,6.778583
91.5,6.760251
92.0,6.735556
92.5,6.702184
93.0,6.670509
93.5,6.644130
94.0,6.626639
94.5,6.609738
95.0,6.590793
95.5,6.555540
96.0,6.510892
96.5,6.484440
97.0,6.473328
97.5,6.469236
98.0,6.462967
98.5,6.446803
99.0,6.431225
99.5,6.416574
100.0,6.402769
100.5,6.382542
101.0,6.358124
101.5,6.329110
102.0,6.291015
102.5,6.252254
103.0,6.214075
103.5,6.182648
104.0,6.142615
104.5,6.102949
105.0,6.073576
105.5,6.053767
106.0,6.030256
106.5,5.995060
107.0,5.953023
107.5,5.914227
108.0,5.878004
108.5,5.843428
109.0,5.810879
109.5,5.781076
110.0,5.757495
110.5,5.736831
111.0,5.718221
111.5,5.700005
112.0,5.681517
112.5,5.663790
113.0,5.645126
113.5,5.625847
114.0,5.605564
114.5,5.577126
115.0,5.547143
115.5,5.518123
116.0,5.487558
116.5,5.456820
117.0,5.439424
117.5,5.435262
118.0,5.432451
118.5,5.429174
119.0,5.433475
119.5,5.428663
120.0,5.425857
120.5,5.429786
121.0,5.448519
121.5,5.461915
122.0,5.468276
122.5,5.473938
123.0,5.481108
123.5,5.485053
124.0,5.478763
124.5,5.473085
125.0,5.471738
125.5,5.475948
126.0,5.484049
126.5,5.486676
127.0,5.484525
127.5,5.477973
128.0,5.472617
128.5,5.463296
129.0,5.451546
129.5,5.437580
130.0,5.425181
130.5,5.414037
131.0,5.410177
131.5,5.410483
132.0,5.409156
132.5,5.410649
133.0,5.421455
133.5,5.437349
134.0,5.440661
134.5,5.435473
135.0,5.434569
135.5,5.430678
136.0,5.421592
136.5,5.408775
137.0,5.397895
137.5,5.391073
138.0,5.386234
138.5,5.382767
139.0,5.376281
139.5,5.378880
140.0,5.390587
140.5,5.396844
141.0,5.398106
141.5,5.400376
142.0,5.395090
142.5,5.383003
143.0,5.373527
143.5,5.353497
144.0,5.327941
144.5,5.303922
145.0,5.280425
145.5,5.256748
146.0,5.224842
146.5,5.180811
147.0,5.137215
147.5,5.104351
148.0,5.080151
148.5,5.055686
149.0,5.045645
149.5,5.036080
150.0,5.025176
150.5,5.014132
151.0,5.002787
151.5,4.989243
152.0,4.970954
152.5,4.944576
153.0,4.908683
153.5,4.865482
154.0,4.818211
154.5,4.774147
155.0,4.734479
155.5,4.696393
156.0,4.661135
156.5,4.628590
157.0,4.597804
157.5,4.570589
158.0,4.544803
158.5,4.517573
159.0,4.483483
159.5,4.444212
160.0,4.401600
160.5,4.355783
161.0,4.309340
161.5,4.267704
162.0,4.237659
162.5,4.216783
163.0,4.200944
163.5,4.189183
164.0,4.183252
164.5,4.175885
165.0,4.168969
165.5,4.164642
166.0,4.160097
166.5,4.151662
167.0,4.138160
167.5,4.125724
168.0,4.120402
168.5,4.118340
169.0,4.119095
169.5,4.119750
170.0,4.125700
170.5,4.123291
171.0,4.114570
171.5,4.110127
172.0,4.104171
172.5,4.094723
173.0,4.091278
