"d","test1"
0.0,-3.051112
0.5,-3.012070
1.0,-2.976154
1.5,-2.944964
2.0,-2.912887
2.5,-2.879102
3.0,-2.855606
3.5,-2.844248
4.0,-2.853971
4.5,-2.888886
5.0,-2.944066
5.5,-3.001845
6.0,-3.053744
6.5,-3.090629
7.0,-3.098390
7.5,-3.078588
8.0,-3.035329
8.5,-2.974186
9.0,-2.907567
9.5,-2.847867
10.0,-2.801659
10.5,-2.777764
11.0,-2.770326
11.5,-2.772578
12.0,-2.782904
12.5,-2.806635
13.0,-2.833687
13.5,-2.849743
14.0,-2.855478
14.5,-2.857752
15.0,-2.865538
15.5,-2.880465
16.0,-2.887708
16.5,-2.887861
17.0,-2.889452
17.5,-2.882398
18.0,-2.857931
18.5,-2.828552
19.0,-2.796319
19.5,-2.773190
20.0,-2.769853
20.5,-2.790350
21.0,-2.829056
21.5,-2.869602
22.0,-2.909373
22.5,-2.940631
23.0,-2.960000
23.5,-2.969062
24.0,-2.971396
24.5,-2.966778
25.0,-2.953140
25.5,-2.945208
26.0,-2.943210
26.5,-2.944906
27.0,-2.947388
27.5,-2.949615
28.0,-2.958765
28.5,-2.977346
29.0,-2.993361
29.5,-3.003781
30.0,-3.000513
30.5,-2.982872
31.0,-2.970927
31.5,-2.978120
32.0,-2.994658
32.5,-3.007076
33.0,-3.011176
33.5,-3.010826
34.0,-3.012304
34.5,-3.020218
35.0,-3.035594
35.5,-3.048208
36.0,-3.053340
36.5,-3.057333
37.0,-3.070595
37.5,-3.090488
38.0,-3.105733
38.5,-3.108787
39.0,-3.099826
39.5,-3.076823
40.0,-3.046270
40.5,-3.014983
41.0,-2.982818
41.5,-2.948404
42.0,-2.918853
42.5,-2.913470
43.0,-2.923159
43.5,-2.937810
44.0,-2.952690
44.5,-2.963170
45.0,-2.972681
45.5,-2.984080
46.0,-2.998274
46.5,-3.006645
47.0,-2.998507
47.5,-2.979429
48.0,-2.961962
48.5,-2.952703
49.0,-2.948614
49.5,-2.943787
50.0,-2.940004
50.5,-2.947103
51.0,-2.948884
51.5,-2.941916
52.0,-2.935828
52.5,-2.931144
53.0,-2.931470
53.5,-2.932954
54.0,-2.928429
54.5,-2.921345
55.0,-2.909075
55.5,-2.895040
56.0,-2.889860
56.5,-2.892637
57.0,-2.895002
57.5,-2.896482
58.0,-2.902825
58.5,-2.909364
59.0,-2.914083
59.5,-2.920434
60.0,-2.915098
60.5,-2.894085
61.0,-2.870836
61.5,-2.849764
62.0,-2.828570
62.5,-2.805617
63.0,-2.772759
63.5,-2.747981
64.0,-2.741563
64.5,-2.746949
65.0,-2.753472
65.5,-2.754264
66.0,-2.747176
66.5,-2.735554
67.0,-2.722264
67.5,-2.710779
68.0,-2.696885
68.5,-2.676564
69.0,-2.653041
69.5,-2.623540
70.0,-2.596523
70.5,-2.580354
71.0,-2.572857
71.5,-2.562388
72.0,-2.546993
72.5,-2.535157
73.0,-2.537681
73.5,-2.544214
74.0,-2.549190
74.5,-2.551251
75.0,-2.550758
75.5,-2.561378
76.0,-2.581827
76.5,-2.590313
77.0,-2.576687
77.5,-2.537724
78.0,-2.496182
78.5,-2.466423
79.0,-2.440424
79.5,-2.421094
80.0,-2.419355
80.5,-2.426684
81.0,-2.431533
81.5,-2.432056
82.0,-2.427708
82.5,-2.424493
83.0,-2.423543
83.5,-2.424376
84.0,-2.422457
84.5,-2.418801
85.0,-2.420402
85.5,-2.426141
86.0,-2.436240
86.5,-2.446324
87.0,-2.454702
87.5,-2.477707
88.0,-2.512345
88.5,-2.535252
89.0,-2.531042
89.5,-2.504586
90.0,-2.475570
90.5,-2.450457
91.0,-2.438597
91.5,-2.439181
92.0,-2.433420
92.5,-2.426294
93.0,-2.440913
93.5,-2.479599
94.0,-2.523613
94.5,-2.564039
95.0,-2.605647
95.5,-2.654508
96.0,-2.709363
96.5,-2.766280
97.0,-2.816709
97.5,-2.847696
98.0,-2.865125
98.5,-2.880455
99.0,-2.893357
99.5,-2.896707
100.0,-2.889754
100.5,-2.883667
101.0,-2.878590
101.5,-2.885219
102.0,-2.907800
102.5,-2.941692
103.0,-2.989646
103.5,-3.049538
104.0,-3.109313
104.5,-3.160445
105.0,-3.203272
105.5,-3.242806
106.0,-3.278607
106.5,-3.315073
107.0,-3.351516
107.5,-3.382905
108.0,-3.414590
108.5,-3.454705
109.0,-3.496536
109.5,-3.536814
110.0,-3.574772
110.5,-3.606598
111.0,-3.631283
111.5,-3.651330
112.0,-3.670831
112.5,-3.688524
113.0,-3.702129
113.5,-3.716536
114.0,-3.735615
114.5,-3.756900
115.0,-3.779969
115.5,-3.807714
116.0,-3.843468
116.5,-3.876820
117.0,-3.898818
117.5,-3.915536
118.0,-3.936151
118.5,-3.953315
119.0,-3.966909
119.5,-3.979065
120.0,-3.988395
120.5,-3.995135
121.0,-3.992939
121.5,-3.978920
122.0,-3.966683
122.5,-3.957795
123.0,-3.948565
123.5,-3.935014
124.0,-3.917886
124.5,-3.901631
125.0,-3.888803
125.5,-3.879511
126.0,-3.870417
126.5,-3.856054
127.0,-3.838347
127.5,-3.824824
128.0,-3.816764
128.5,-3.810589
129.0,-3.800428
129.5,-3.789623
130.0,-3.784691
130.5,-3.785062
131.0,-3.787661
131.5,-3.782896
132.0,-3.766484
132.5,-3.741779
133.0,-3.712220
133.5,-3.682312
134.0,-3.654332
134.5,-3.628495
135.0,-3.606813
135.5,-3.593660
136.0,-3.585964
136.5,-3.580477
137.0,-3.580003
137.5,-3.585914
138.0,-3.603971
138.5,-3.626725
139.0,-3.640467
139.5,-3.639921
140.0,-3.628526
140.5,-3.613625
141.0,-3.599753
141.5,-3.593335
142.0,-3.593985
142.5,-3.594716
143.0,-3.606890
143.5,-3.619512
144.0,-3.644280
144.5,-3.676794
145.0,-3.706860
145.5,-3.739419
146.0,-3.775976
146.5,-3.817638
147.0,-3.861391
147.5,-3.897463
148.0,-3.916759
148.5,-3.918278
149.0,-3.928464
149.5,-3.941387
150.0,-3.945536
150.5,-3.943549
151.0,-3.943673
151.5,-3.947168
152.0,-3.957307
152.5,-3.976183
153.0,-4.003128
153.5,-4.037395
154.0,-4.077221
154.5,-4.118017
155.0,-4.156719
155.5,-4.192574
156.0,-4.226075
156.5,-4.259784
157.0,-4.294446
157.5,-4.328973
158.0,-4.361171
158.5,-4.392273
159.0,-4.424930
159.5,-4.458357
160.0,-4.491107
160.5,-4.521574
161.0,-4.549293
161.5,-4.574656
162.0,-4.597908
162.5,-4.619238
163.0,-4.638491
163.5,-4.655325
164.0,-4.669499
164.5,-4.679615
165.0,-4.685697
165.5,-4.689000
166.0,-4.691437
166.5,-4.694206
167.0,-4.697008
167.5,-4.700730
168.0,-4.706913
168.5,-4.715744
169.0,-4.726794
169.5,-4.739777
170.0,-4.753610
170.5,-4.767643
171.0,-4.783254
171.5,-4.799654
172.0,-4.813657
172.5,-4.825158
173.0,-4.835092
173.5,-4.844066
174.0,-4.848785
174.5,-4.848355
175.0,-4.842532
175.5,-4.831585
176.0,-4.820272
176.5,-4.809598
177.0,-4.801208
177.5,-4.799423
178.0,-4.804240
178.5,-4.811835
179.0,-4.820111
179.5,-4.826589
180.0,-4.830695
180.5,-4.832521
181.0,-4.831879
181.5,-4.828914
182.0,-4.824186
182.5,-4.818727
183.0,-4.813903
183.5,-4.809581
184.0,-4.805433
184.5,-4.801632
185.0,-4.798666
185.5,-4.795516
186.0,-4.785230
186.5,-4.770286
187.0,-4.762129
187.5,-4.751395
188.0,-4.735898
188.5,-4.717940
189.0,-4.698306
189.5,-4.679579
190.0,-4.663041
190.5,-4.648397
191.0,-4.635063
191.5,-4.623940
192.0,-4.614916
192.5,-4.606938
193.0,-4.599215
193.5,-4.586356
194.0,-4.573488
194.5,-4.576482
195.0,-4.583665
195.5,-4.593316
196.0,-4.604847
196.5,-4.617493
197.0,-4.630323
197.5,-4.641594
198.0,-4.647346
198.5,-4.646107
199.0,-4.642088
199.5,-4.632421
200.0,-4.619683
200.5,-4.605951
201.0,-4.592415
201.5,-4.579721
202.0,-4.569387
202.5,-4.562380
203.0,-4.559443
203.5,-4.560769
204.0,-4.565564
204.5,-4.572844
205.0,-4.582153
205.5,-4.593318
206.0,-4.605597
206.5,-4.618361
207.0,-4.631397
207.5,-4.644297
208.0,-4.656415
208.5,-4.667751
209.0,-4.678563
209.5,-4.688339
210.0,-4.696757
210.5,-4.704593
211.0,-4.712575
211.5,-4.721107
212.0,-4.730150
212.5,-4.738918
213.0,-4.746486
213.5,-4.752030
214.0,-4.755642
214.5,-4.757625
215.0,-4.756985
215.5,-4.752651
216.0,-4.744980
216.5,-4.736060
217.0,-4.727849
217.5,-4.720607
218.0,-4.714120
218.5,-4.710246
219.0,-4.710268
219.5,-4.713801
220.0,-4.719726
220.5,-4.726781
221.0,-4.734404
221.5,-4.742738
222.0,-4.752361
222.5,-4.762559
223.0,-4.770468
223.5,-4.775665
224.0,-4.779329
224.5,-4.780992
225.0,-4.780097
225.5,-4.775516
226.0,-4.767921
226.5,-4.759585
227.0,-4.753132
227.5,-4.748686
228.0,-4.747797
228.5,-4.753343
229.0,-4.764482
229.5,-4.778528
230.0,-4.794621
230.5,-4.813424
231.0,-4.832096
231.5,-4.846605
232.0,-4.856366
232.5,-4.861783
233.0,-4.864655
233.5,-4.866424
234.0,-4.867277
234.5,-4.866341
235.0,-4.862792
235.5,-4.857424
236.0,-4.850949
236.5,-4.843931
237.0,-4.836029
237.5,-4.827231
238.0,-4.818965
238.5,-4.811392
239.0,-4.804463
239.5,-4.797074
240.0,-4.788770
240.5,-4.782300
241.0,-4.780806
241.5,-4.784803
242.0,-4.791255
242.5,-4.797529
243.0,-4.801836
243.5,-4.802789
244.0,-4.802912
244.5,-4.804824
245.0,-4.804989
245.5,-4.801857
246.0,-4.798253
246.5,-4.797934
247.0,-4.800153
247.5,-4.802319
248.0,-4.804119
248.5,-4.805130
249.0,-4.805300
249.5,-4.805770
250.0,-4.807539
250.5,-4.809803
251.0,-4.811742
251.5,-4.813782
252.0,-4.818250
252.5,-4.824450
253.0,-4.830546
253.5,-4.836175
254.0,-4.841000
254.5,-4.845874
255.0,-4.852510
255.5,-4.861969
256.0,-4.875136
256.5,-4.891886
257.0,-4.912757
257.5,-4.937587
258.0,-4.964332
258.5,-4.991788
259.0,-5.019725
259.5,-5.044796
260.0,-5.063668
260.5,-5.076345
261.0,-5.083698
261.5,-5.088198
262.0,-5.090032
262.5,-5.089310
263.0,-5.089406
263.5,-5.094904
264.0,-5.113552
264.5,-5.151789
265.0,-5.201794
265.5,-5.252587
266.0,-5.297361
266.5,-5.336740
267.0,-5.377577
267.5,-5.420754
268.0,-5.462727
268.5,-5.506286
269.0,-5.550299
269.5,-5.590353
270.0,-5.629921
270.5,-5.671797
271.0,-5.708194
271.5,-5.731004
272.0,-5.747838
272.5,-5.772443
273.0,-5.803470
273.5,-5.835641
274.0,-5.865834
274.5,-5.894318
275.0,-5.923882
275.5,-5.957045
276.0,-5.990765
276.5,-6.019224
277.0,-6.022450
277.5,-5.997371
278.0,-5.974043
278.5,-5.977235
279.0,-6.020569
279.5,-6.074985
280.0,-6.140802
280.5,-6.243805
281.0,-6.366262
281.5,-6.466378
282.0,-6.531207
282.5,-6.567452
283.0,-6.590942
283.5,-6.612870
284.0,-6.637236
284.5,-6.655852
285.0,-6.660097
285.5,-6.655545
286.0,-6.654897
286.5,-6.662540
287.0,-6.673397
287.5,-6.678986
288.0,-6.682457
288.5,-6.686774
289.0,-6.690453
289.5,-6.682927
290.0,-6.667773
290.5,-6.654545
291.0,-6.655947
291.5,-6.661414
292.0,-6.652253
292.5,-6.622849
293.0,-6.576251
293.5,-6.529258
294.0,-6.500871
294.5,-6.506766
295.0,-6.550318
295.5,-6.595877
296.0,-6.619043
296.5,-6.632339
297.0,-6.657915
297.5,-6.688756
298.0,-6.702585
298.5,-6.691562
299.0,-6.655831
299.5,-6.617104
300.0,-6.600166
300.5,-6.606118
301.0,-6.623897
301.5,-6.642254
302.0,-6.651399
302.5,-6.641260
303.0,-6.609871
303.5,-6.570498
304.0,-6.535618
304.5,-6.492051
305.0,-6.447020
305.5,-6.410787
306.0,-6.394125
306.5,-6.400249
307.0,-6.409625
307.5,-6.417293
308.0,-6.431348
308.5,-6.457881
309.0,-6.487180
309.5,-6.498413
310.0,-6.485750
310.5,-6.457286
311.0,-6.430120
311.5,-6.416879
312.0,-6.411714
312.5,-6.398018
313.0,-6.379429
313.5,-6.361181
314.0,-6.333179
314.5,-6.298908
315.0,-6.263484
315.5,-6.229532
316.0,-6.236554
316.5,-6.276247
317.0,-6.291192
317.5,-6.281821
318.0,-6.268130
318.5,-6.248940
319.0,-6.221716
319.5,-6.187712
320.0,-6.143900
320.5,-6.092081
321.0,-6.039296
321.5,-5.988578
322.0,-5.945803
322.5,-5.915481
323.0,-5.899714
323.5,-5.895538
324.0,-5.902312
324.5,-5.918995
325.0,-5.940774
325.5,-5.962976
326.0,-5.981034
326.5,-5.997413
327.0,-6.013516
327.5,-6.028789
328.0,-6.034748
328.5,-6.024052
329.0,-5.990502
329.5,-5.935289
330.0,-5.860123
330.5,-5.762701
331.0,-5.656255
331.5,-5.552422
332.0,-5.465395
332.5,-5.406682
333.0,-5.380533
333.5,-5.382541
334.0,-5.397719
334.5,-5.415123
335.0,-5.424541
335.5,-5.398027
336.0,-5.325439
336.5,-5.216893
337.0,-5.095400
337.5,-4.996415
338.0,-4.947139
338.5,-4.931924
339.0,-4.912305
339.5,-4.869108
340.0,-4.805856
340.5,-4.730700
341.0,-4.649064
341.5,-4.565202
342.0,-4.482323
342.5,-4.403085
343.0,-4.329774
343.5,-4.262997
344.0,-4.203525
344.5,-4.149845
345.0,-4.099336
345.5,-4.048454
346.0,-3.992638
346.5,-3.931274
347.0,-3.865308
347.5,-3.794249
348.0,-3.718088
348.5,-3.642615
349.0,-3.569238
349.5,-3.493455
350.0,-3.416179
350.5,-3.345088
351.0,-3.293043
351.5,-3.265441
352.0,-3.264904
352.5,-3.293708
353.0,-3.350494
353.5,-3.421809
354.0,-3.477361
354.5,-3.480108
355.0,-3.427123
355.5,-3.332727
356.0,-3.226580
356.5,-3.146056
357.0,-3.107336
357.5,-3.110955
358.0,-3.155485
358.5,-3.233366
359.0,-3.327702
359.5,-3.392734
360.0,-3.392414
360.5,-3.336251
361.0,-3.265556
361.5,-3.217613
362.0,-3.205935
362.5,-3.217622
363.0,-3.245007
363.5,-3.279316
364.0,-3.321085
364.5,-3.379386
365.0,-3.450919
365.5,-3.532615
366.0,-3.614185
366.5,-3.688399
367.0,-3.746091
367.5,-3.787974
368.0,-3.813880
368.5,-3.826525
369.0,-3.832202
369.5,-3.834995
370.0,-3.838346
370.5,-3.842650
371.0,-3.852840
371.5,-3.877541
372.0,-3.919455
372.5,-3.976874
373.0,-4.047936
373.5,-4.119665
374.0,-4.172343
374.5,-4.197101
375.0,-4.201326
375.5,-4.205259
376.0,-4.224094
376.5,-4.258093
377.0,-4.301921
377.5,-4.349239
378.0,-4.394569
378.5,-4.429237
379.0,-4.450899
379.5,-4.464657
380.0,-4.476514
380.5,-4.488393
381.0,-4.499149
381.5,-4.507061
382.0,-4.512026
382.5,-4.514232
383.0,-4.514218
383.5,-4.512458
384.0,-4.510074
384.5,-4.507735
385.0,-4.504871
385.5,-4.502051
386.0,-4.498564
386.5,-4.493893
387.0,-4.488042
387.5,-4.479622
388.0,-4.471170
388.5,-4.462733
389.0,-4.453948
389.5,-4.442412
390.0,-4.422420
390.5,-4.406549
391.0,-4.394656
391.5,-4.389269
392.0,-4.395161
392.5,-4.419721
393.0,-4.438398
393.5,-4.443728
394.0,-4.438065
394.5,-4.421526
395.0,-4.389997
395.5,-4.356332
396.0,-4.317272
396.5,-4.263208
397.0,-4.264514
397.5,-4.315611
398.0,-4.324073
398.5,-4.307208
399.0,-4.286182
399.5,-4.266078
400.0,-4.239731
400.5,-4.191132
401.0,-4.129153
401.5,-4.119701
402.0,-4.154534
402.5,-4.223239
403.0,-4.291133
403.5,-4.328477
404.0,-4.355809
404.5,-4.376660
405.0,-4.387970
405.5,-4.391218
406.0,-4.387354
406.5,-4.377659
407.0,-4.362731
407.5,-4.344574
408.0,-4.322322
408.5,-4.292659
409.0,-4.256138
409.5,-4.217308
410.0,-4.189530
410.5,-4.177217
411.0,-4.178216
411.5,-4.205055
412.0,-4.241032
412.5,-4.266238
413.0,-4.273916
413.5,-4.266181
414.0,-4.243270
414.5,-4.199176
415.0,-4.126154
415.5,-4.074510
416.0,-4.019941
416.5,-3.913977
417.0,-4.027362
417.5,-4.153738
418.0,-4.118694
418.5,-3.910797
419.0,-3.535497
419.5,-2.507421
420.0,-1.340106
420.5,-1.678082
421.0,-1.893147
421.5,-1.877275
422.0,-1.805940
422.5,-1.656881
423.0,-1.355026
423.5,-1.264595
424.0,-1.277433
424.5,-1.313547
425.0,-1.352160
425.5,-1.403774
426.0,-1.458197
426.5,-1.504489
427.0,-1.525890
427.5,-1.507297
428.0,-1.452365
428.5,-1.388088
429.0,-1.336724
429.5,-1.311092
430.0,-1.302777
430.5,-2.719638
431.0,-3.201123
431.5,-3.200046
432.0,-3.222092
432.5,-3.188726
433.0,-3.162502
433.5,-3.198081
434.0,-3.330048
434.5,-3.559212
435.0,-3.858586
435.5,-4.019786
436.0,-4.002096
436.5,-3.720893
437.0,-3.333620
437.5,-3.229061
438.0,-3.195832
438.5,-3.173328
439.0,-3.151159
439.5,-3.130039
440.0,-3.110307
440.5,-3.100315
441.0,-3.102392
441.5,-3.119775
442.0,-3.148057
442.5,-3.177559
443.0,-3.206416
443.5,-3.238815
444.0,-3.268858
444.5,-3.303604
445.0,-3.348265
445.5,-3.397846
446.0,-3.436732
446.5,-3.453058
447.0,-3.431891
447.5,-3.370511
448.0,-3.267903
448.5,-3.141427
449.0,-3.013175
449.5,-2.895713
450.0,-2.792686
450.5,-2.717707
451.0,-2.655458
451.5,-2.610073
452.0,-2.572083
452.5,-2.519983
453.0,-2.443202
453.5,-2.345113
454.0,-2.245970
454.5,-2.161273
455.0,-2.095884
455.5,-2.049673
456.0,-2.042332
456.5,-2.055264
457.0,-2.040149
457.5,-1.981256
458.0,-1.863181
458.5,-1.656834
459.0,-1.414945
459.5,-1.183406
460.0,-0.964035
460.5,-0.758762
461.0,-0.606968
461.5,-0.502786
462.0,-0.454447
462.5,-0.487032
463.0,-0.568467
463.5,-0.720886
464.0,-0.891576
464.5,-1.050615
465.0,-1.128157
465.5,-1.090942
466.0,-0.939810
466.5,-0.695046
467.0,-0.441194
467.5,-0.216240
468.0,-0.006384
468.5,0.203686
469.0,0.455864
469.5,0.568588
470.0,0.376910
470.5,-0.185017
471.0,-1.087308
471.5,-1.834398
472.0,-1.803903
472.5,-0.968559
473.0,-0.205219
473.5,0.190163
474.0,0.402922
474.5,0.479228
475.0,0.423949
475.5,0.258680
476.0,0.020074
476.5,-0.230229
477.0,-0.335264
477.5,-0.269405
478.0,-0.171109
478.5,0.062420
479.0,0.342798
479.5,0.591971
480.0,0.806594
480.5,0.964262
481.0,1.056853
481.5,1.048070
482.0,0.949466
482.5,0.810613
483.0,0.633563
483.5,0.463425
484.0,0.296067
484.5,0.195058
485.0,0.131970
485.5,0.129487
486.0,0.186620
486.5,0.279191
487.0,0.362341
487.5,0.440649
