"d","test1"
0.0,1044.331055
0.5,1057.436646
1.0,1066.277222
1.5,1067.400513
2.0,1079.938843
2.5,1091.871216
3.0,1097.151611
3.5,1096.056274
4.0,1078.131592
4.5,1038.569336
5.0,992.783997
5.5,958.487854
6.0,928.903503
6.5,918.584778
7.0,932.976074
7.5,967.110779
8.0,1017.356323
8.5,1069.884277
9.0,1117.391846
9.5,1148.060791
10.0,1166.963989
10.5,1163.171387
11.0,1156.734375
11.5,1151.658447
12.0,1145.942749
12.5,1129.179443
13.0,1125.187256
13.5,1134.759399
14.0,1155.310913
14.5,1171.040161
15.0,1166.217285
15.5,1151.261108
16.0,1142.462036
16.5,1135.739624
17.0,1115.343140
17.5,1117.912354
18.0,1135.075562
18.5,1145.935059
19.0,1169.989990
19.5,1179.485229
20.0,1175.837524
20.5,1154.299194
21.0,1123.491577
21.5,1102.850464
22.0,1080.472046
22.5,1077.972778
23.0,1083.708740
23.5,1095.380859
24.0,1098.121094
24.5,1104.983765
25.0,1110.991699
25.5,1099.311523
26.0,1081.826294
26.5,1056.914795
27.0,1036.348022
27.5,1020.866211
28.0,1000.156067
28.5,981.128784
29.0,975.702698
29.5,979.039795
30.0,1005.614319
30.5,1039.010864
31.0,1052.550049
31.5,1041.594116
32.0,1027.252075
32.5,1018.587036
33.0,1019.383240
33.5,1020.703918
34.0,1019.271301
34.5,1009.434448
35.0,996.053223
35.5,993.390686
36.0,998.683533
36.5,997.277100
37.0,979.928528
37.5,959.379822
38.0,950.948914
38.5,951.551331
39.0,962.260193
39.5,982.778748
40.0,1002.774353
40.5,1021.328003
41.0,1043.382690
41.5,1069.460693
42.0,1084.960815
42.5,1071.256104
43.0,1058.079590
43.5,1047.048462
44.0,1041.303589
44.5,1042.406006
45.0,1041.087646
45.5,1034.234131
46.0,1024.375000
46.5,1022.570129
47.0,1038.133789
47.5,1053.028564
48.0,1058.476562
48.5,1055.094604
49.0,1050.638916
49.5,1052.312256
50.0,1049.345947
50.5,1033.941528
51.0,1041.941284
51.5,1054.277588
52.0,1064.276611
52.5,1071.092529
53.0,1067.023926
53.5,1066.645630
54.0,1070.904541
54.5,1075.782715
55.0,1088.742065
55.5,1096.074341
56.0,1088.280884
56.5,1080.436401
57.0,1077.774170
57.5,1076.148804
58.0,1069.295166
58.5,1069.815796
59.0,1066.281128
59.5,1063.088867
60.0,1079.024536
60.5,1108.460815
61.0,1126.099365
61.5,1141.860107
62.0,1153.196777
62.5,1169.904053
63.0,1199.851685
63.5,1206.530884
64.0,1195.435669
64.5,1180.793457
65.0,1172.889648
65.5,1174.884033
66.0,1185.427979
66.5,1197.930298
67.0,1211.432983
67.5,1219.040405
68.0,1232.415283
68.5,1247.956177
69.0,1262.859375
69.5,1285.810303
70.0,1298.018311
70.5,1295.788818
71.0,1294.827881
71.5,1306.586426
72.0,1327.008545
72.5,1336.202393
73.0,1329.480957
73.5,1328.885986
74.0,1329.201904
74.5,1333.815430
