"d","test1"
0.0,3046.485840
0.5,3121.705078
1.0,3166.371094
1.5,3153.860107
2.0,3213.501465
2.5,3257.801758
3.0,3244.530029
3.5,3187.087891
4.0,3016.468750
4.5,2713.149902
5.0,2424.015869
5.5,2230.012451
6.0,2066.939697
6.5,2012.533447
7.0,2074.432617
7.5,2231.072021
8.0,2477.189697
8.5,2717.860596
9.0,2963.959961
9.5,3119.899170
10.0,3197.283447
10.5,3121.492920
11.0,3028.749756
11.5,2948.951416
12.0,2863.159912
12.5,2726.718262
13.0,2687.150146
13.5,2718.939209
14.0,2812.573486
14.5,2882.653320
15.0,2861.235596
15.5,2801.970703
16.0,2784.118652
16.5,2770.709717
17.0,2666.492432
17.5,2712.094727
18.0,2819.435303
18.5,2887.313721
19.0,3027.598877
19.5,3069.086670
20.0,3031.372803
20.5,2895.636230
21.0,2730.949219
21.5,2644.606445
22.0,2541.644775
22.5,2556.865479
23.0,2610.739014
23.5,2709.132080
24.0,2765.161865
24.5,2854.891846
25.0,2943.722412
25.5,2919.998291
26.0,2863.264160
26.5,2757.839844
27.0,2673.911865
27.5,2602.129150
28.0,2485.081299
28.5,2385.531006
29.0,2364.983154
29.5,2389.812012
30.0,2555.477051
30.5,2741.307861
31.0,2827.569580
31.5,2782.039062
32.0,2727.736328
32.5,2710.292480
33.0,2743.650635
33.5,2768.688232
34.0,2767.887695
34.5,2709.284912
35.0,2638.308350
35.5,2638.300537
36.0,2681.449463
36.5,2679.306396
37.0,2580.352051
37.5,2471.781494
38.0,2444.468018
38.5,2463.891602
39.0,2545.990479
39.5,2674.363525
40.0,2792.776123
40.5,2903.895264
41.0,3038.168213
41.5,3199.776855
42.0,3292.226074
42.5,3179.915283
43.0,3075.519775
43.5,2990.597900
44.0,2941.727539
44.5,2946.781250
45.0,2934.077881
45.5,2885.792725
46.0,2830.360352
46.5,2837.864502
47.0,2956.054443
47.5,3061.133545
48.0,3099.250977
48.5,3071.728516
49.0,3036.815918
49.5,3042.298584
50.0,3015.209961
50.5,2897.762695
51.0,2952.282715
51.5,3013.099365
52.0,3063.010742
52.5,3103.492188
53.0,3078.538086
53.5,3081.650146
54.0,3110.369873
54.5,3133.683594
55.0,3213.239502
55.5,3255.667725
56.0,3191.773682
56.5,3117.734131
57.0,3072.364502
57.5,3030.040771
58.0,2950.566406
58.5,2931.376953
59.0,2879.027100
59.5,2835.020508
60.0,2909.342529
60.5,3055.134766
61.0,3116.155273
61.5,3183.085205
62.0,3222.307617
62.5,3290.150635
63.0,3435.534424
63.5,3425.852051
64.0,3303.880859
64.5,3154.494385
65.0,3068.776123
65.5,3043.000977
66.0,3060.375000
66.5,3083.881348
67.0,3112.816406
67.5,3109.047119
68.0,3154.317139
68.5,3205.958984
69.0,3255.035400
69.5,3347.830322
70.0,3373.654541
70.5,3312.964600
71.0,3250.808594
71.5,3272.179199
72.0,3335.230469
72.5,3337.215088
73.0,3249.002686
73.5,3216.784668
74.0,3184.440674
74.5,3176.655273
75.0,3178.067139
75.5,3015.460205
76.0,2889.152344
76.5,2875.396973
77.0,2964.875000
77.5,3187.257080
78.0,3229.568604
78.5,3262.439209
79.0,3307.466797
79.5,3294.532471
80.0,3175.316650
80.5,3109.335205
81.0,3082.992432
81.5,3103.324707
82.0,3147.422852
82.5,3188.242676
83.0,3229.494141
83.5,3273.515869
84.0,3356.180176
84.5,3418.714600
85.0,3427.004883
85.5,3403.379150
86.0,3338.724365
86.5,3272.096191
87.0,3226.549561
87.5,3020.159912
88.0,2859.258545
88.5,2833.551514
89.0,2986.254395
89.5,3145.997803
90.0,3289.119141
90.5,3409.918701
91.0,3442.660645
91.5,3442.610107
92.0,3562.786377
92.5,3632.908936
93.0,3528.667969
93.5,3357.670166
94.0,3305.508301
94.5,3296.179688
95.0,3274.245361
95.5,3194.739990
96.0,3144.679688
96.5,3049.873291
97.0,3021.114258
97.5,3089.666016
98.0,3119.395264
98.5,3102.717529
99.0,3113.325928
99.5,3210.317139
100.0,3342.574463
100.5,3450.217529
101.0,3581.402588
101.5,3592.538330
102.0,3542.658936
102.5,3472.310547
103.0,3280.112061
103.5,3108.404297
104.0,3021.244141
104.5,3038.904053
105.0,3101.994385
105.5,3162.156738
106.0,3266.472900
106.5,3303.662842
107.0,3360.867432
107.5,3476.741699
108.0,3471.610840
108.5,3337.446289
109.0,3200.142334
109.5,3058.268555
110.0,2956.458984
110.5,2912.929199
111.0,2940.167480
111.5,2974.455811
112.0,2995.020264
112.5,3082.478271
113.0,3227.677979
113.5,3305.961182
114.0,3307.326904
114.5,3295.903320
115.0,3226.530029
115.5,3044.136963
116.0,2688.751953
116.5,2363.073242
117.0,2178.406006
117.5,2125.815430
118.0,2165.481445
118.5,2227.606934
119.0,2265.483887
119.5,2258.310303
120.0,2247.623291
120.5,2309.925049
121.0,2469.448486
121.5,2591.873047
122.0,2550.109863
122.5,2453.091553
123.0,2391.282959
123.5,2375.200195
124.0,2346.657715
124.5,2283.448730
125.0,2197.755615
125.5,2126.629150
126.0,2103.845947
126.5,2239.435547
127.0,2387.472900
127.5,2452.072754
128.0,2499.618896
128.5,2534.769043
129.0,2663.880127
129.5,2687.737793
130.0,2582.012939
130.5,2398.860107
131.0,2247.287109
131.5,2224.348389
132.0,2287.365479
132.5,2384.183350
133.0,2490.062012
133.5,2562.540527
134.0,2638.006104
134.5,2707.836914
135.0,2742.250732
135.5,2691.837158
136.0,2648.621826
136.5,2595.880371
137.0,2509.855225
137.5,2389.215820
138.0,2146.646240
138.5,2014.495605
139.0,2010.854980
139.5,2150.517822
140.0,2319.500000
140.5,2479.419678
141.0,2597.775879
141.5,2630.197754
142.0,2619.677734
142.5,2721.680908
143.0,2751.399902
143.5,2610.077881
144.0,2355.996826
144.5,2264.650879
145.0,2222.315918
145.5,2162.458496
146.0,2103.787842
146.5,2007.946533
147.0,1931.261475
147.5,1939.504150
148.0,2012.699341
148.5,2117.816650
149.0,2101.126221
149.5,2109.698242
150.0,2270.804199
150.5,2405.855957
151.0,2525.297607
151.5,2635.807861
152.0,2662.460205
152.5,2633.960693
153.0,2548.746094
153.5,2403.020508
154.0,2211.564209
154.5,2130.233154
155.0,2111.341309
155.5,2184.467041
156.0,2268.096680
156.5,2324.617188
157.0,2349.021729
157.5,2376.156494
158.0,2490.892822
158.5,2489.291992
159.0,2323.846191
159.5,2099.174561
160.0,1910.398926
160.5,1821.047729
161.0,1823.629517
161.5,1865.274902
162.0,1895.661133
162.5,1907.326782
163.0,1946.890137
163.5,2082.765381
164.0,2181.965820
164.5,2208.057617
165.0,2198.908936
165.5,2185.300781
166.0,2170.981689
166.5,2095.436768
167.0,1952.877686
167.5,1885.353760
168.0,1899.911987
168.5,1971.702515
169.0,2059.264404
169.5,2119.656982
170.0,2106.350830
170.5,2078.034180
171.0,2139.562988
171.5,2194.797119
172.0,2142.264404
172.5,2046.275879
173.0,1979.488770
173.5,2022.502075
174.0,1991.079834
174.5,1983.347900
175.0,1880.767944
175.5,1766.704590
176.0,1723.455688
176.5,1654.123779
177.0,1678.803101
177.5,1825.211548
178.0,1980.619629
178.5,2088.696777
179.0,2197.896240
