"d","test1"
0.0,-3.864023
0.5,21.932430
1.0,7.322145
1.5,-6.490332
2.0,-19.298321
2.5,-39.648842
3.0,-57.293667
3.5,-69.066093
4.0,-71.254349
4.5,-65.904411
5.0,-53.353352
5.5,-36.710239
6.0,-19.782562
6.5,-4.896224
7.0,5.798427
7.5,11.873237
8.0,13.331426
8.5,9.841841
9.0,2.728244
9.5,-3.841977
10.0,-7.695434
10.5,-6.553742
11.0,-3.023681
11.5,0.504086
12.0,3.283724
12.5,7.446696
13.0,12.768951
13.5,17.394753
14.0,19.058596
14.5,17.269709
15.0,14.151892
15.5,12.776805
16.0,12.318451
16.5,10.625035
17.0,5.892370
17.5,-1.056677
18.0,-8.152935
18.5,-13.671074
19.0,-16.639715
19.5,-17.355824
20.0,-16.203997
20.5,-13.237010
21.0,-7.129241
21.5,2.520952
22.0,12.452268
22.5,17.670544
23.0,18.362070
23.5,15.118383
24.0,8.371550
24.5,-1.008302
25.0,-12.509857
25.5,-25.552734
26.0,-35.225700
26.5,-38.419140
27.0,-35.684620
27.5,-28.926424
28.0,-21.387890
28.5,-12.984919
29.0,-4.075853
29.5,3.970004
30.0,10.217732
30.5,12.966218
31.0,11.035761
31.5,7.146969
32.0,4.489406
32.5,2.781348
33.0,0.068744
33.5,-3.473150
34.0,-6.973989
34.5,-9.188743
35.0,-9.003416
35.5,-7.433055
36.0,-4.556838
36.5,0.773674
37.0,10.777453
37.5,23.688206
38.0,35.267548
38.5,42.039051
39.0,45.036076
39.5,45.481308
40.0,43.265083
40.5,38.746006
41.0,32.559319
41.5,24.973347
42.0,18.923775
42.5,18.238665
43.0,20.621979
43.5,24.071257
44.0,27.428617
44.5,29.257246
45.0,29.320370
45.5,27.824072
46.0,24.073069
46.5,17.474733
47.0,10.096036
47.5,3.993347
48.0,0.338899
48.5,-0.941797
49.0,-1.671606
49.5,-1.797384
50.0,0.767888
50.5,6.749156
51.0,14.026988
51.5,19.510044
52.0,20.487366
52.5,18.280617
53.0,15.628881
53.5,13.239280
54.0,9.543273
54.5,3.315514
55.0,-4.923599
55.5,-13.019769
56.0,-17.364334
56.5,-17.362242
57.0,-15.016014
57.5,-11.488796
58.0,-7.425776
58.5,-1.397140
59.0,7.770933
59.5,17.463766
60.0,23.061731
60.5,23.140423
61.0,19.744101
61.5,14.630167
62.0,9.697718
62.5,4.397231
63.0,-2.321599
63.5,-8.034431
64.0,-9.914303
64.5,-8.659069
65.0,-6.038297
65.5,-1.951885
66.0,2.120315
66.5,5.016560
67.0,6.016239
67.5,5.994102
68.0,6.199405
68.5,5.462616
69.0,3.274235
69.5,-0.702649
70.0,-4.868842
70.5,-7.200430
71.0,-7.701289
71.5,-8.632999
72.0,-11.545527
72.5,-14.994177
73.0,-16.604473
73.5,-15.781531
74.0,-14.663040
74.5,-14.006851
75.0,-13.289759
75.5,-11.277246
76.0,-9.517179
76.5,-8.471056
77.0,-8.477066
77.5,-10.181449
78.0,-12.090064
78.5,-13.017533
79.0,-13.276139
79.5,-12.600661
80.0,-8.309525
80.5,-0.214125
81.0,8.448357
81.5,16.129654
82.0,22.946268
82.5,27.242981
83.0,28.564291
83.5,26.863373
84.0,20.790949
84.5,11.051915
85.0,1.566509
85.5,-5.090350
86.0,-8.593860
86.5,-7.653910
87.0,-1.567523
87.5,7.076935
88.0,16.830736
88.5,25.844841
89.0,32.455200
89.5,35.922020
90.0,35.934982
90.5,31.553791
91.0,23.192886
91.5,13.201377
92.0,5.603299
92.5,1.912297
93.0,1.172786
93.5,1.180472
94.0,2.427949
94.5,6.973469
95.0,13.682533
95.5,20.756418
96.0,25.987961
96.5,27.862602
97.0,28.800968
97.5,30.657013
98.0,34.084858
98.5,35.369015
99.0,31.438692
99.5,25.075596
100.0,18.725904
100.5,13.730289
101.0,11.489771
101.5,11.574287
102.0,11.886338
102.5,12.905859
103.0,18.487675
103.5,28.878468
104.0,38.366985
104.5,43.693958
105.0,44.004513
105.5,40.349136
106.0,34.738312
106.5,28.200018
107.0,19.841536
107.5,8.987208
108.0,-1.551978
108.5,-6.986903
109.0,-5.918177
109.5,-2.051769
110.0,2.538540
110.5,7.158435
111.0,9.785927
111.5,9.792707
112.0,6.437587
112.5,-1.713557
113.0,-15.012362
113.5,-30.619749
114.0,-45.532051
114.5,-59.179352
115.0,-70.356575
115.5,-78.123405
116.0,-81.544319
116.5,-80.164848
117.0,-75.461235
117.5,-69.518784
118.0,-63.332561
118.5,-56.473808
119.0,-50.258835
119.5,-46.154743
120.0,-44.365627
120.5,-44.574741
121.0,-45.152927
121.5,-46.223957
122.0,-48.017929
122.5,-50.189980
123.0,-51.433670
123.5,-49.181255
124.0,-43.409473
124.5,-36.017071
125.0,-28.033943
125.5,-19.084803
126.0,-10.229996
126.5,-3.182811
127.0,2.257125
127.5,5.610882
128.0,6.919075
128.5,7.091368
129.0,6.663669
129.5,5.501037
130.0,5.438362
130.5,8.165724
131.0,12.172106
131.5,14.746028
132.0,14.779985
132.5,13.357627
133.0,11.365711
133.5,8.351491
134.0,2.619403
134.5,-5.973517
135.0,-15.203345
135.5,-22.858089
