"d","test1"
0.0,-11.516762
0.5,70.167809
1.0,67.247948
1.5,63.174046
2.0,56.931988
2.5,43.977253
3.0,27.904413
3.5,10.598995
4.0,-7.831694
4.5,-27.142681
5.0,-44.402351
5.5,-56.918922
6.0,-62.693913
6.5,-60.746544
7.0,-49.149799
7.5,-30.283249
8.0,-8.618970
8.5,11.670365
9.0,26.473307
9.5,35.706699
10.0,39.554920
10.5,36.887020
11.0,27.608686
11.5,14.793416
12.0,2.728179
12.5,-5.302278
13.0,-8.921909
13.5,-10.143302
14.0,-9.931525
14.5,-8.492688
15.0,-6.857334
15.5,-6.161112
16.0,-5.352245
16.5,-4.064556
17.0,-0.834363
17.5,4.593394
18.0,9.203988
18.5,11.489573
19.0,11.624772
19.5,10.325710
20.0,6.688610
20.5,0.674751
21.0,-6.855115
21.5,-13.951917
22.0,-18.237310
22.5,-17.909147
23.0,-12.916032
23.5,-6.351241
24.0,-0.304192
24.5,3.908540
25.0,5.890569
25.5,5.553006
26.0,2.609780
26.5,-3.299316
27.0,-11.942056
27.5,-20.117977
28.0,-25.212196
28.5,-25.837812
29.0,-22.406694
29.5,-17.356586
30.0,-12.628732
30.5,-7.263592
31.0,-1.351788
31.5,4.727542
32.0,9.070627
32.5,9.824178
33.0,6.556867
33.5,2.875037
34.0,0.992315
34.5,-0.031236
35.0,-2.057960
35.5,-5.882938
36.0,-10.300872
36.5,-13.503762
37.0,-14.626714
37.5,-13.758185
38.0,-10.951867
38.5,-5.867369
39.0,2.407358
39.5,14.501738
40.0,29.181068
40.5,41.400551
41.0,48.470856
41.5,50.814774
42.0,48.902023
42.5,43.928387
43.0,36.579750
43.5,26.417690
44.0,13.833227
44.5,3.696383
45.0,-0.923767
45.5,-0.009348
46.0,4.100807
46.5,7.799568
47.0,10.214640
47.5,12.293117
48.0,14.587016
48.5,15.127090
49.0,13.924977
49.5,11.036715
50.0,7.799497
50.5,6.445678
51.0,6.378513
51.5,6.279309
52.0,6.938264
52.5,9.743627
53.0,13.939146
53.5,18.547279
54.0,21.150745
54.5,19.975121
55.0,17.550819
55.5,15.282491
56.0,11.855293
56.5,7.530549
57.0,1.836156
57.5,-5.737844
58.0,-11.905041
58.5,-13.605100
59.0,-12.265883
59.5,-9.016208
60.0,-4.012615
60.5,2.264295
61.0,10.955050
61.5,20.556606
62.0,26.996279
62.5,28.008898
63.0,25.506590
63.5,21.026983
64.0,15.592413
64.5,9.935543
65.0,2.492372
65.5,-5.350016
66.0,-10.214611
66.5,-10.544690
67.0,-7.592549
67.5,-2.541098
68.0,3.083512
68.5,7.124120
69.0,8.693123
69.5,9.781431
70.0,11.444682
70.5,12.891647
71.0,11.937483
71.5,8.377137
72.0,3.583749
72.5,-0.299404
73.0,-2.191569
73.5,-4.622090
74.0,-9.390611
74.5,-15.323794
75.0,-19.230215
75.5,-19.616476
76.0,-17.625898
76.5,-14.981443
77.0,-11.846338
77.5,-7.952425
78.0,-4.207537
78.5,-1.072369
79.0,0.914347
79.5,0.915892
80.0,-0.653338
80.5,-2.327137
81.0,-3.888007
81.5,-4.709349
82.0,-2.554684
82.5,2.913825
83.0,9.028404
83.5,14.404442
84.0,17.528521
84.5,18.380020
85.0,17.703781
85.5,14.406175
86.0,7.709915
86.5,-1.220626
87.0,-9.267318
87.5,-14.522770
88.0,-15.750271
88.5,-12.498178
89.0,-7.286238
89.5,-0.427421
90.0,10.334282
90.5,23.535997
91.0,33.690071
91.5,37.041599
92.0,35.942543
92.5,31.851364
93.0,26.131332
93.5,19.825262
94.0,11.497517
94.5,0.410567
95.0,-9.502242
95.5,-14.343923
96.0,-15.426595
96.5,-15.844304
97.0,-15.936106
97.5,-14.100926
98.0,-8.635391
98.5,-0.326735
99.0,10.501122
99.5,20.376451
100.0,27.260653
100.5,31.786814
101.0,32.990185
101.5,30.750608
102.0,24.749550
102.5,16.476381
103.0,7.185450
103.5,-1.667763
104.0,-6.805103
104.5,-8.304029
105.0,-5.948397
