"d","test1"
0.0,-6.543347
0.5,39.842388
1.0,38.374256
1.5,37.580051
2.0,34.871334
2.5,26.333355
3.0,16.511023
3.5,5.156843
4.0,-8.463380
4.5,-22.027365
5.0,-34.285393
5.5,-43.342434
6.0,-46.148403
6.5,-42.209797
7.0,-31.113819
7.5,-16.486105
8.0,-2.139296
8.5,9.476363
9.0,17.057537
9.5,20.990669
10.0,21.066708
10.5,16.105349
11.0,7.991220
11.5,-0.295689
12.0,-5.379829
12.5,-5.853194
13.0,-2.899612
13.5,0.284378
14.0,1.739587
14.5,2.430394
15.0,3.352995
15.5,4.798091
16.0,5.567809
16.5,4.217330
17.0,1.212962
17.5,-1.158649
18.0,-0.894811
18.5,1.430058
19.0,3.115928
19.5,1.898850
20.0,-1.090461
20.5,-4.550847
21.0,-6.611906
21.5,-6.308887
22.0,-4.409539
22.5,-3.134968
23.0,-1.708149
23.5,2.049534
24.0,7.862728
24.5,12.279363
25.0,12.775519
25.5,9.105006
26.0,2.047529
26.5,-5.575853
27.0,-13.213112
27.5,-21.021015
28.0,-27.563131
28.5,-29.750710
29.0,-25.536003
29.5,-16.640524
30.0,-7.738035
30.5,-0.126767
31.0,6.404092
31.5,11.147696
32.0,13.674108
32.5,13.713504
33.0,9.428277
33.5,2.877056
34.0,-2.410174
34.5,-5.048589
35.0,-6.659633
35.5,-8.699972
36.0,-10.901084
36.5,-12.731186
37.0,-13.171423
37.5,-12.159074
38.0,-10.192252
38.5,-6.169621
39.0,0.549283
39.5,11.007328
40.0,23.934093
40.5,33.065964
41.0,37.354866
41.5,38.831985
42.0,37.947205
42.5,33.771191
43.0,28.067657
43.5,20.683172
44.0,12.303557
44.5,7.916952
45.0,8.195610
45.5,10.714150
46.0,13.526057
46.5,15.797623
47.0,17.546276
47.5,18.165520
48.0,17.175777
48.5,14.095014
49.0,9.112231
49.5,4.364305
50.0,2.042566
50.5,2.692574
51.0,4.045683
51.5,4.805995
52.0,5.351940
52.5,8.530487
53.0,14.709286
53.5,20.432276
54.0,22.222281
54.5,19.037788
55.0,14.706073
55.5,10.919673
56.0,7.843801
56.5,3.922297
57.0,-2.293658
57.5,-9.298788
58.0,-14.132415
58.5,-14.572398
59.0,-11.886559
59.5,-7.515676
60.0,-3.168863
60.5,0.517829
61.0,6.013094
61.5,13.452071
62.0,19.358749
62.5,20.663177
63.0,17.456375
63.5,11.691817
64.0,5.779608
64.5,1.185491
65.0,-3.867509
65.5,-9.176697
66.0,-11.790011
66.5,-11.111670
67.0,-8.703442
67.5,-5.453734
68.0,-1.468023
68.5,1.664399
69.0,3.091522
69.5,3.150786
70.0,2.696593
70.5,2.986444
71.0,2.380895
71.5,0.225911
72.0,-2.941571
72.5,-5.474856
73.0,-6.556763
73.5,-7.028340
74.0,-8.686754
74.5,-12.571017
75.0,-15.987253
75.5,-16.540085
76.0,-15.287900
76.5,-14.405002
77.0,-13.562189
77.5,-11.850939
78.0,-9.289831
78.5,-6.952449
79.0,-5.240650
79.5,-4.934288
80.0,-6.035059
80.5,-6.505029
81.0,-5.769924
81.5,-4.546930
82.0,-2.511911
82.5,3.243112
83.0,10.105258
83.5,15.202194
84.0,18.972988
84.5,20.864424
85.0,20.189234
85.5,17.197542
86.0,11.654039
86.5,2.621696
87.0,-7.298477
87.5,-13.262659
88.0,-15.326531
88.5,-13.095611
89.0,-6.585400
89.5,3.933445
90.0,16.011461
90.5,27.014971
91.0,35.089668
91.5,39.355251
92.0,40.032700
92.5,37.079113
93.0,30.477959
93.5,20.693277
94.0,10.199499
94.5,4.117988
95.0,2.335651
95.5,2.036975
96.0,1.650885
96.5,2.193076
97.0,5.085639
97.5,10.019849
98.0,15.511013
98.5,19.030720
99.0,19.637897
