"d","test1"
0.0,-0.183412
0.5,1.127086
1.0,1.168776
1.5,1.211117
2.0,1.250676
2.5,1.260078
3.0,1.271537
3.5,1.283580
4.0,1.296763
4.5,1.310029
5.0,1.320899
5.5,1.332718
6.0,1.343302
6.5,1.351915
7.0,1.361233
7.5,1.370627
8.0,1.378740
8.5,1.386016
9.0,1.393917
9.5,1.402768
10.0,1.412407
10.5,1.421835
11.0,1.432801
11.5,1.444714
12.0,1.457619
12.5,1.469940
13.0,1.481218
13.5,1.492758
14.0,1.501069
14.5,1.506965
15.0,1.511549
15.5,1.512939
16.0,1.511654
16.5,1.510829
17.0,1.507866
17.5,1.506828
18.0,1.504862
18.5,1.505480
19.0,1.504961
19.5,1.504351
20.0,1.504619
20.5,1.503487
21.0,1.501282
21.5,1.498115
22.0,1.494384
22.5,1.488207
23.0,1.481615
23.5,1.474694
24.0,1.465779
24.5,1.454762
25.0,1.443032
25.5,1.432220
26.0,1.420830
26.5,1.409787
27.0,1.400987
27.5,1.393263
28.0,1.385090
28.5,1.380531
29.0,1.376363
29.5,1.371470
30.0,1.368065
30.5,1.363375
31.0,1.356845
31.5,1.351341
32.0,1.344075
32.5,1.337074
33.0,1.329057
33.5,1.323531
34.0,1.318728
34.5,1.314469
35.0,1.310875
35.5,1.308518
36.0,1.305984
36.5,1.302717
37.0,1.298931
37.5,1.294872
38.0,1.290100
38.5,1.286787
39.0,1.283555
39.5,1.280349
40.0,1.278532
40.5,1.277210
41.0,1.276556
41.5,1.276330
42.0,1.276753
42.5,1.275568
43.0,1.276459
43.5,1.278183
44.0,1.278879
44.5,1.280234
45.0,1.279848
45.5,1.279828
46.0,1.279459
46.5,1.278893
47.0,1.278208
47.5,1.276259
48.0,1.275979
48.5,1.274566
49.0,1.274889
49.5,1.275620
50.0,1.275997
50.5,1.277385
51.0,1.278258
51.5,1.278458
52.0,1.279394
52.5,1.280359
53.0,1.280641
53.5,1.280318
54.0,1.279245
54.5,1.279932
55.0,1.280046
55.5,1.282155
56.0,1.284470
56.5,1.287266
57.0,1.291600
57.5,1.295918
58.0,1.301470
58.5,1.307290
59.0,1.313519
59.5,1.319917
60.0,1.325914
60.5,1.333806
61.0,1.342439
61.5,1.350767
62.0,1.359555
62.5,1.369640
63.0,1.379434
63.5,1.390683
64.0,1.402100
64.5,1.413774
65.0,1.425492
65.5,1.437335
66.0,1.451311
66.5,1.463562
67.0,1.476696
67.5,1.490284
68.0,1.502869
68.5,1.514175
