"d","test1"
0.0,7041.937012
0.5,7045.311523
1.0,7048.870605
1.5,7052.927246
2.0,7058.437012
2.5,7066.401855
3.0,7075.953613
3.5,7085.951172
4.0,7095.563965
4.5,7104.264648
5.0,7110.663086
5.5,7112.744141
6.0,7111.732422
6.5,7109.311035
7.0,7107.460449
7.5,7107.968262
8.0,7111.682129
8.5,7117.920898
9.0,7124.516113
9.5,7129.961426
10.0,7134.382324
10.5,7138.678223
11.0,7143.163086
11.5,7147.218750
12.0,7150.124023
12.5,7152.092773
13.0,7154.392090
13.5,7158.533203
14.0,7164.310547
14.5,7170.088379
15.0,7174.609863
15.5,7177.565918
16.0,7179.858398
16.5,7182.391602
17.0,7185.862305
17.5,7189.955078
18.0,7194.590332
18.5,7199.597656
19.0,7204.905762
19.5,7211.074219
20.0,7217.728516
20.5,7223.248535
21.0,7226.410645
21.5,7227.713379
22.0,7228.811035
22.5,7231.223633
23.0,7234.678711
23.5,7238.629395
24.0,7242.496582
24.5,7247.051270
25.0,7252.734375
25.5,7258.970215
26.0,7265.032715
26.5,7270.952148
27.0,7277.034180
27.5,7282.421875
28.0,7285.706055
28.5,7286.483398
29.0,7285.829590
29.5,7286.820312
30.0,7290.854004
30.5,7296.624023
31.0,7301.812500
31.5,7305.583496
32.0,7308.688477
32.5,7311.814453
33.0,7315.680664
33.5,7320.114258
34.0,7324.332520
34.5,7327.895020
35.0,7332.156738
35.5,7338.106934
36.0,7344.287109
36.5,7348.666992
37.0,7351.102051
37.5,7352.706055
38.0,7354.291992
38.5,7356.175781
39.0,7358.108398
39.5,7359.690430
40.0,7361.488770
40.5,7365.656250
41.0,7371.812988
41.5,7377.798828
42.0,7382.527832
42.5,7385.788086
43.0,7388.259277
43.5,7390.747559
44.0,7393.943848
44.5,7397.544922
45.0,7400.565918
45.5,7403.280762
46.0,7406.523438
46.5,7410.724609
47.0,7415.253418
47.5,7419.455078
48.0,7423.403320
48.5,7427.935059
49.0,7432.688965
49.5,7436.424805
50.0,7438.649902
50.5,7440.393555
51.0,7443.004395
51.5,7446.799805
52.0,7451.004395
52.5,7454.290039
53.0,7456.473633
53.5,7458.359375
54.0,7461.510254
54.5,7466.455078
55.0,7471.562012
55.5,7475.798340
56.0,7479.089355
56.5,7482.366211
57.0,7486.187988
57.5,7490.617676
58.0,7494.995117
58.5,7497.540039
59.0,7498.343262
59.5,7499.120117
60.0,7501.141602
60.5,7504.442383
61.0,7507.334473
61.5,7509.434082
62.0,7512.200195
62.5,7516.837402
63.0,7522.261719
63.5,7527.031738
64.0,7530.411621
64.5,7532.502441
65.0,7534.203125
65.5,7536.160645
66.0,7538.503418
66.5,7541.279297
67.0,7544.446777
67.5,7547.472168
68.0,7550.057617
68.5,7552.733887
69.0,7555.874512
69.5,7559.080566
70.0,7561.642090
70.5,7563.479004
71.0,7566.269531
71.5,7570.765137
72.0,7575.272949
72.5,7578.593262
73.0,7580.333984
73.5,7581.815918
74.0,7584.972168
74.5,7589.358887
75.0,7593.696777
75.5,7596.383789
76.0,7597.277832
76.5,7598.407227
77.0,7600.244629
77.5,7602.163086
78.0,7604.597656
78.5,7608.133789
79.0,7612.420898
79.5,7616.606934
80.0,7619.823242
80.5,7621.771484
81.0,7622.614746
81.5,7623.032227
82.0,7623.772461
82.5,7624.945801
83.0,7626.620605
83.5,7629.327637
84.0,7632.838867
84.5,7636.213867
85.0,7639.062012
85.5,7641.811523
86.0,7645.041992
86.5,7648.907227
87.0,7652.378906
87.5,7654.480957
88.0,7655.368652
88.5,7655.450195
89.0,7655.468262
89.5,7656.390625
90.0,7658.092773
90.5,7660.365723
91.0,7663.618164
91.5,7667.765137
92.0,7671.530762
92.5,7674.400879
93.0,7676.758789
93.5,7678.859863
94.0,7680.666016
94.5,7682.095215
95.0,7683.636719
95.5,7685.819336
96.0,7688.736816
96.5,7691.813965
97.0,7694.094238
97.5,7695.261230
98.0,7695.666992
98.5,7696.326660
99.0,7698.060059
99.5,7700.603027
100.0,7703.487305
100.5,7706.181641
101.0,7708.910156
101.5,7712.104980
102.0,7715.194824
102.5,7717.478516
103.0,7718.784180
103.5,7719.409668
104.0,7720.270996
104.5,7722.109375
105.0,7724.477051
105.5,7726.307617
106.0,7727.604980
106.5,7729.658691
107.0,7732.958984
107.5,7736.794434
108.0,7740.191406
108.5,7742.647949
109.0,7744.251953
109.5,7745.481445
110.0,7746.868652
110.5,7748.420410
111.0,7749.511230
111.5,7750.289062
112.0,7751.690430
112.5,7753.960938
113.0,7756.732910
113.5,7759.915039
114.0,7763.636230
114.5,7768.237793
115.0,7773.606445
115.5,7778.486328
116.0,7781.455078
116.5,7782.750488
117.0,7783.586426
117.5,7784.859863
118.0,7786.555176
118.5,7788.199219
119.0,7789.394043
119.5,7790.545898
120.0,7792.367676
120.5,7794.267090
121.0,7795.537109
121.5,7797.391113
122.0,7800.367676
122.5,7803.731445
123.0,7806.853027
123.5,7809.264648
124.0,7811.417969
124.5,7813.415527
125.0,7814.142578
125.5,7813.488281
126.0,7812.338379
126.5,7811.666992
127.0,7812.166992
127.5,7813.677246
128.0,7815.935059
128.5,7819.017578
129.0,7822.465820
129.5,7825.093262
130.0,7826.398438
130.5,7826.652344
131.0,7826.729980
131.5,7827.468262
132.0,7828.883789
132.5,7830.415527
133.0,7831.751953
133.5,7833.180176
134.0,7835.280762
134.5,7838.069824
135.0,7840.897461
135.5,7843.463379
136.0,7846.480469
136.5,7850.850098
137.0,7855.409668
