"d","test1"
0.0,6.618049
0.5,6.579191
1.0,6.540604
1.5,6.502300
2.0,6.464270
2.5,6.426460
3.0,6.388772
3.5,6.351120
4.0,6.313396
4.5,6.275530
5.0,6.237419
5.5,6.198965
6.0,6.160182
6.5,6.121097
7.0,6.081745
7.5,6.042243
8.0,6.002680
8.5,5.963125
9.0,5.923619
9.5,5.884233
10.0,5.844944
10.5,5.805758
11.0,5.766631
11.5,5.727532
12.0,5.688477
12.5,5.649452
13.0,5.610459
13.5,5.571470
14.0,5.532483
14.5,5.493526
15.0,5.454615
15.5,5.415761
16.0,5.376966
16.5,5.338215
17.0,5.299519
17.5,5.260887
18.0,5.222324
18.5,5.183857
19.0,5.145467
19.5,5.107118
20.0,5.068780
20.5,5.030435
21.0,4.992084
21.5,4.953727
22.0,4.915349
22.5,4.876940
23.0,4.838512
23.5,4.800095
24.0,4.761763
24.5,4.723501
25.0,4.685283
25.5,4.647099
26.0,4.608911
26.5,4.570673
27.0,4.532330
27.5,4.493839
28.0,4.455159
28.5,4.416343
29.0,4.377390
29.5,4.338291
30.0,4.299088
30.5,4.259822
31.0,4.220540
31.5,4.181281
32.0,4.142055
32.5,4.102847
33.0,4.063659
33.5,4.024467
34.0,3.985270
34.5,3.946069
35.0,3.906811
35.5,3.867470
36.0,3.828041
36.5,3.788501
37.0,3.748871
37.5,3.709168
38.0,3.669392
38.5,3.629540
39.0,3.589674
39.5,3.549855
40.0,3.510157
40.5,3.470622
41.0,3.431245
41.5,3.392036
42.0,3.353047
42.5,3.314293
43.0,3.275732
43.5,3.237352
44.0,3.199131
44.5,3.161074
45.0,3.123175
45.5,3.085457
46.0,3.047946
46.5,3.010632
47.0,2.973511
47.5,2.936606
48.0,2.899921
48.5,2.863448
49.0,2.827153
49.5,2.791002
50.0,2.755055
50.5,2.719331
51.0,2.683776
51.5,2.648397
52.0,2.613225
52.5,2.578309
53.0,2.543655
53.5,2.509278
54.0,2.475172
54.5,2.441333
55.0,2.407752
55.5,2.374436
56.0,2.341360
56.5,2.308550
57.0,2.275907
57.5,2.243390
58.0,2.210992
58.5,2.178746
59.0,2.146659
59.5,2.114719
60.0,2.082955
60.5,2.051392
61.0,2.020098
61.5,1.989104
62.0,1.958407
62.5,1.928022
63.0,1.897909
63.5,1.868076
64.0,1.838500
64.5,1.809199
65.0,1.780142
65.5,1.751259
66.0,1.722556
66.5,1.694052
67.0,1.665756
67.5,1.637701
68.0,1.609894
68.5,1.582348
69.0,1.555070
69.5,1.528057
70.0,1.501315
70.5,1.474863
71.0,1.448685
71.5,1.422749
72.0,1.397044
72.5,1.371558
73.0,1.346325
73.5,1.321315
74.0,1.296460
74.5,1.271733
75.0,1.247120
75.5,1.222648
76.0,1.198323
76.5,1.174109
77.0,1.150016
77.5,1.126064
78.0,1.102315
78.5,1.078722
79.0,1.055289
79.5,1.032009
80.0,1.008892
80.5,0.985943
81.0,0.963132
81.5,0.940484
82.0,0.918019
82.5,0.895786
83.0,0.873779
83.5,0.852031
84.0,0.830533
84.5,0.809332
85.0,0.788445
85.5,0.767826
86.0,0.747430
86.5,0.727216
87.0,0.707182
87.5,0.687295
88.0,0.667558
88.5,0.647946
89.0,0.628519
89.5,0.609328
90.0,0.590401
90.5,0.571806
91.0,0.553551
91.5,0.535687
92.0,0.518204
92.5,0.501090
93.0,0.484349
93.5,0.467931
94.0,0.451858
94.5,0.436091
95.0,0.420589
95.5,0.405365
96.0,0.390396
96.5,0.375693
97.0,0.361276
97.5,0.347153
98.0,0.333325
98.5,0.319860
99.0,0.306785
99.5,0.294080
100.0,0.281800
100.5,0.269954
101.0,0.258554
101.5,0.247631
102.0,0.237098
102.5,0.226976
103.0,0.217260
103.5,0.207980
104.0,0.199094
104.5,0.190593
105.0,0.182512
105.5,0.174863
106.0,0.167780
106.5,0.161236
107.0,0.155178
107.5,0.149604
108.0,0.144524
108.5,0.139964
109.0,0.135842
109.5,0.132114
110.0,0.128760
110.5,0.125765
111.0,0.123174
111.5,0.121010
112.0,0.119272
112.5,0.117973
113.0,0.117107
113.5,0.116762
114.0,0.116872
114.5,0.117332
115.0,0.118069
115.5,0.119018
116.0,0.120112
116.5,0.121258
117.0,0.122366
117.5,0.123389
118.0,0.124305
118.5,0.125144
119.0,0.125924
119.5,0.126682
120.0,0.127409
120.5,0.128106
121.0,0.128800
121.5,0.129511
122.0,0.130214
122.5,0.130876
123.0,0.131474
123.5,0.131974
124.0,0.132352
124.5,0.132604
125.0,0.132729
125.5,0.132739
126.0,0.132659
126.5,0.132489
127.0,0.132289
127.5,0.132098
128.0,0.131940
128.5,0.131809
129.0,0.131720
129.5,0.131657
130.0,0.131629
130.5,0.131622
131.0,0.131622
131.5,0.131604
132.0,0.131568
132.5,0.131539
133.0,0.131551
133.5,0.131640
134.0,0.131799
134.5,0.132030
135.0,0.132339
135.5,0.132711
136.0,0.133110
136.5,0.133463
137.0,0.133723
137.5,0.133877
138.0,0.133926
138.5,0.133860
139.0,0.133682
139.5,0.133395
140.0,0.133052
140.5,0.132730
141.0,0.132490
141.5,0.132355
142.0,0.132294
142.5,0.132324
143.0,0.132443
143.5,0.132650
144.0,0.132896
144.5,0.133121
145.0,0.133298
145.5,0.133406
146.0,0.133431
146.5,0.133361
147.0,0.133200
147.5,0.132954
148.0,0.132661
148.5,0.132353
149.0,0.132055
149.5,0.131778
150.0,0.131536
150.5,0.131384
151.0,0.131332
151.5,0.131364
152.0,0.131458
152.5,0.131566
153.0,0.131675
153.5,0.131783
154.0,0.131884
154.5,0.131956
155.0,0.131997
155.5,0.132033
156.0,0.132114
156.5,0.132278
157.0,0.132524
157.5,0.132833
158.0,0.133169
158.5,0.133526
159.0,0.133882
159.5,0.134205
160.0,0.134449
160.5,0.134590
161.0,0.134599
161.5,0.134493
162.0,0.134323
162.5,0.134120
163.0,0.133895
163.5,0.133663
164.0,0.133460
164.5,0.133319
165.0,0.133216
165.5,0.133134
166.0,0.133063
166.5,0.132979
167.0,0.132889
167.5,0.132798
168.0,0.132690
168.5,0.132583
169.0,0.132497
169.5,0.132451
170.0,0.132462
170.5,0.132539
171.0,0.132663
171.5,0.132855
172.0,0.133118
172.5,0.133430
173.0,0.133750
173.5,0.134049
174.0,0.134318
174.5,0.134517
175.0,0.134635
175.5,0.134646
176.0,0.134565
176.5,0.134379
177.0,0.134126
177.5,0.133809
178.0,0.133461
178.5,0.133119
179.0,0.132812
179.5,0.132551
180.0,0.132330
180.5,0.132150
181.0,0.132011
181.5,0.131899
182.0,0.131807
182.5,0.131736
183.0,0.131674
183.5,0.131660
184.0,0.131706
184.5,0.131812
185.0,0.131978
185.5,0.132210
186.0,0.132518
186.5,0.132860
187.0,0.133204
187.5,0.133507
188.0,0.133736
188.5,0.133866
189.0,0.133887
189.5,0.133808
190.0,0.133645
190.5,0.133431
191.0,0.133202
191.5,0.133002
192.0,0.132884
192.5,0.132847
193.0,0.132884
193.5,0.132990
194.0,0.133152
194.5,0.133341
195.0,0.133502
195.5,0.133620
196.0,0.133692
196.5,0.133705
197.0,0.133640
197.5,0.133499
198.0,0.133298
198.5,0.133072
199.0,0.132847
199.5,0.132643
200.0,0.132450
200.5,0.132268
201.0,0.132130
201.5,0.132066
202.0,0.132070
202.5,0.132122
203.0,0.132175
203.5,0.132227
204.0,0.132280
204.5,0.132332
205.0,0.132355
205.5,0.132335
206.0,0.132301
206.5,0.132272
207.0,0.132289
207.5,0.132395
208.0,0.132574
208.5,0.132812
209.0,0.133093
209.5,0.133393
210.0,0.133707
210.5,0.133995
211.0,0.134202
211.5,0.134312
212.0,0.134323
212.5,0.134250
213.0,0.134137
213.5,0.133992
214.0,0.133826
214.5,0.133663
215.0,0.133532
215.5,0.133440
216.0,0.133369
216.5,0.133282
217.0,0.133189
217.5,0.133077
218.0,0.132946
218.5,0.132795
219.0,0.132639
219.5,0.132484
220.0,0.132355
220.5,0.132283
221.0,0.132270
221.5,0.132316
222.0,0.132419
222.5,0.132594
223.0,0.132831
223.5,0.133110
224.0,0.133400
224.5,0.133671
225.0,0.133913
225.5,0.134096
226.0,0.134189
226.5,0.134187
227.0,0.134085
227.5,0.133918
228.0,0.133684
228.5,0.133418
229.0,0.133152
229.5,0.132904
230.0,0.132689
230.5,0.132497
231.0,0.132328
231.5,0.132197
232.0,0.132099
232.5,0.132013
233.0,0.131927
233.5,0.131841
234.0,0.131781
234.5,0.131775
235.0,0.131833
235.5,0.131968
236.0,0.132173
236.5,0.132442
237.0,0.132778
237.5,0.133148
238.0,0.133499
238.5,0.133782
239.0,0.133965
239.5,0.134052
240.0,0.134038
240.5,0.133911
241.0,0.133679
241.5,0.133363
242.0,0.133008
242.5,0.132692
243.0,0.132470
243.5,0.132341
244.0,0.132274
244.5,0.132295
245.0,0.132430
245.5,0.132668
246.0,0.132965
246.5,0.133272
247.0,0.133548
247.5,0.133781
248.0,0.133957
248.5,0.134065
249.0,0.134072
249.5,0.133956
250.0,0.133740
250.5,0.133463
251.0,0.133158
251.5,0.132852
252.0,0.132568
252.5,0.132326
253.0,0.132148
253.5,0.132046
254.0,0.132019
254.5,0.132043
255.0,0.132105
255.5,0.132190
256.0,0.132293
256.5,0.132395
257.0,0.132504
257.5,0.132631
258.0,0.132797
258.5,0.133008
259.0,0.133271
259.5,0.133575
260.0,0.133918
260.5,0.134252
261.0,0.134544
261.5,0.134764
262.0,0.134888
262.5,0.134907
263.0,0.134825
263.5,0.134648
264.0,0.134388
264.5,0.134073
265.0,0.133731
265.5,0.133403
266.0,0.133121
266.5,0.132897
267.0,0.132717
267.5,0.132560
268.0,0.132438
268.5,0.132324
269.0,0.132238
269.5,0.132146
270.0,0.132034
270.5,0.131925
271.0,0.131834
271.5,0.131777
272.0,0.131761
272.5,0.131784
273.0,0.131845
273.5,0.131958
274.0,0.132147
274.5,0.132402
275.0,0.132689
275.5,0.132966
276.0,0.133205
276.5,0.133382
277.0,0.133488
277.5,0.133536
278.0,0.133528
278.5,0.133493
279.0,0.133509
279.5,0.133658
280.0,0.134039
280.5,0.134710
281.0,0.135738
281.5,0.137201
282.0,0.139177
282.5,0.141698
283.0,0.144772
283.5,0.148399
284.0,0.152612
284.5,0.157455
285.0,0.162875
285.5,0.168887
286.0,0.175481
286.5,0.182657
287.0,0.190438
287.5,0.198814
288.0,0.207779
288.5,0.217342
289.0,0.227472
289.5,0.238146
290.0,0.249338
290.5,0.261027
291.0,0.273162
291.5,0.285717
292.0,0.298696
292.5,0.312074
293.0,0.325819
293.5,0.339933
294.0,0.354408
294.5,0.369254
295.0,0.384500
295.5,0.400168
296.0,0.416330
296.5,0.432981
297.0,0.450043
297.5,0.467546
298.0,0.485481
298.5,0.503837
299.0,0.522614
299.5,0.541775
300.0,0.561374
300.5,0.581428
301.0,0.601909
301.5,0.622839
302.0,0.644210
302.5,0.666016
303.0,0.688226
303.5,0.710819
304.0,0.733801
304.5,0.757104
305.0,0.780711
305.5,0.804592
306.0,0.828732
306.5,0.853153
307.0,0.877849
307.5,0.902859
308.0,0.928219
308.5,0.953907
309.0,0.979961
309.5,1.006402
310.0,1.033234
310.5,1.060464
311.0,1.088092
311.5,1.116151
312.0,1.144654
312.5,1.173578
313.0,1.202887
313.5,1.232620
314.0,1.262809
314.5,1.293444
315.0,1.324477
315.5,1.355913
316.0,1.387765
316.5,1.420059
317.0,1.452768
317.5,1.485872
318.0,1.519345
318.5,1.553115
319.0,1.587142
319.5,1.621334
320.0,1.655645
320.5,1.689980
321.0,1.724293
321.5,1.758572
322.0,1.792796
322.5,1.826987
323.0,1.861176
323.5,1.895450
324.0,1.929845
324.5,1.964463
325.0,1.999375
325.5,2.034680
326.0,2.070422
326.5,2.106675
327.0,2.143470
327.5,2.180848
328.0,2.218777
328.5,2.257167
329.0,2.295927
329.5,2.334936
330.0,2.374059
330.5,2.413195
331.0,2.452251
331.5,2.491170
332.0,2.529997
332.5,2.568857
333.0,2.607893
333.5,2.647237
334.0,2.686931
334.5,2.726930
335.0,2.767157
335.5,2.807628
336.0,2.848387
336.5,2.889399
337.0,2.930584
337.5,2.971822
338.0,3.013118
338.5,3.054577
339.0,3.096374
339.5,3.138605
340.0,3.181311
340.5,3.224467
341.0,3.268022
341.5,3.311906
342.0,3.356013
342.5,3.400256
343.0,3.444544
343.5,3.488781
344.0,3.532905
344.5,3.576884
345.0,3.620714
345.5,3.664402
346.0,3.707996
346.5,3.751593
347.0,3.795246
347.5,3.839074
348.0,3.883179
348.5,3.927672
349.0,3.972583
349.5,4.017948
350.0,4.063735
350.5,4.109894
351.0,4.156346
351.5,4.202918
352.0,4.249501
352.5,4.295971
353.0,4.342299
353.5,4.388474
354.0,4.434568
354.5,4.480704
355.0,4.526984
355.5,4.573483
356.0,4.620251
356.5,4.667269
357.0,4.714480
357.5,4.761797
358.0,4.809170
358.5,4.856555
359.0,4.903877
359.5,4.951139
360.0,4.998366
360.5,5.045672
361.0,5.093181
361.5,5.141020
362.0,5.189270
362.5,5.237884
363.0,5.286791
363.5,5.335893
364.0,5.385081
364.5,5.434276
365.0,5.483339
365.5,5.532206
366.0,5.580768
366.5,5.629040
367.0,5.677055
367.5,5.724891
368.0,5.772627
368.5,5.820408
369.0,5.868406
369.5,5.916740
370.0,5.965385
370.5,6.014279
371.0,6.063323
371.5,6.112424
372.0,6.161536
372.5,6.210568
373.0,6.259542
373.5,6.308442
374.0,6.357283
374.5,6.406093
375.0,6.454882
375.5,6.503665
376.0,6.552467
