"d","test1"
0.0,477.928528
0.5,471.833313
1.0,466.070343
1.5,465.158386
2.0,470.913879
2.5,473.415924
3.0,480.669373
3.5,490.734497
4.0,476.835541
4.5,455.208344
5.0,427.631317
5.5,407.467529
6.0,392.794373
6.5,393.788330
7.0,417.971100
7.5,454.520874
8.0,493.328918
8.5,524.665222
9.0,546.783142
9.5,548.554810
10.0,539.159851
10.5,529.483398
11.0,526.023621
11.5,521.661255
12.0,517.888184
12.5,515.835144
13.0,519.551025
13.5,526.489746
14.0,547.820129
14.5,571.344299
15.0,577.908936
15.5,566.123352
16.0,547.610779
16.5,537.174133
17.0,539.665894
17.5,547.768738
18.0,548.293640
18.5,550.364624
19.0,540.743530
19.5,536.841553
20.0,541.244263
20.5,545.245483
21.0,535.414124
21.5,514.325745
22.0,502.231415
22.5,502.203156
23.0,517.972595
23.5,535.707581
24.0,540.056152
24.5,532.482117
25.0,525.391418
25.5,523.438171
26.0,518.206055
26.5,499.341919
27.0,472.791992
27.5,447.218506
28.0,433.755157
28.5,421.368530
29.0,412.908997
29.5,418.455780
30.0,438.572540
30.5,466.604431
31.0,488.290314
31.5,491.956909
32.0,485.411743
32.5,476.239288
33.0,465.112671
33.5,456.343323
34.0,453.345978
34.5,452.910797
35.0,445.081757
35.5,439.760834
36.0,442.645752
36.5,445.366425
37.0,429.992981
37.5,415.857910
38.0,413.416992
38.5,418.306763
39.0,427.756409
39.5,434.216797
40.0,443.581909
40.5,456.447784
41.0,466.523346
41.5,486.289673
42.0,489.931244
42.5,475.440155
43.0,465.162903
43.5,457.930634
44.0,453.963715
44.5,452.697144
45.0,456.897858
45.5,463.765503
46.0,468.261688
46.5,474.914551
47.0,481.013519
47.5,480.730499
48.0,476.115143
48.5,474.819916
49.0,473.784576
49.5,474.412018
50.0,470.627563
50.5,458.761749
51.0,454.266937
51.5,463.817261
52.0,480.037903
52.5,487.196472
53.0,489.094360
53.5,485.340424
54.0,486.367523
54.5,495.309265
55.0,508.357086
55.5,508.694092
56.0,494.149658
56.5,484.071808
57.0,480.602753
57.5,480.874878
58.0,480.081757
58.5,487.175049
59.0,486.822632
59.5,481.508636
60.0,487.799835
60.5,508.644226
61.0,531.580200
61.5,540.189270
62.0,543.719238
62.5,548.036560
63.0,567.691956
63.5,574.647583
64.0,569.522888
64.5,556.120300
65.0,542.369873
65.5,534.122620
66.0,536.964111
66.5,551.439880
67.0,566.886108
67.5,589.937561
68.0,604.626587
68.5,609.266541
69.0,609.604248
69.5,614.061462
70.0,619.861145
70.5,618.195984
71.0,620.377747
71.5,627.836609
72.0,643.531128
72.5,653.348755
73.0,639.861328
73.5,625.136475
74.0,617.863953
74.5,628.506165
75.0,645.522766
75.5,649.395081
76.0,643.174561
76.5,630.835449
77.0,628.442322
77.5,645.900330
78.0,651.869751
78.5,654.525024
79.0,670.853760
79.5,687.285339
80.0,690.695312
80.5,682.217651
81.0,667.356750
81.5,658.428040
82.0,655.561035
82.5,668.973206
83.0,697.499329
83.5,716.403320
84.0,738.732788
84.5,759.828003
85.0,752.938782
85.5,733.522034
86.0,718.274231
86.5,699.458374
87.0,686.756348
87.5,677.952271
88.0,654.385498
88.5,633.545715
89.0,628.315674
89.5,647.349670
90.0,665.628723
90.5,689.027100
91.0,713.513916
91.5,734.764954
92.0,736.103333
92.5,716.433105
93.0,690.437378
93.5,668.725281
94.0,648.939026
94.5,627.612305
95.0,614.024109
95.5,604.268860
96.0,610.554626
96.5,619.771912
97.0,607.871155
97.5,584.578064
98.0,556.920532
98.5,538.957947
99.0,538.741577
99.5,534.517334
100.0,527.732361
100.5,512.417908
101.0,490.842010
101.5,474.698883
102.0,461.876526
102.5,446.219788
103.0,426.597504
103.5,403.556946
104.0,386.083069
104.5,374.161224
105.0,362.331207
105.5,350.112305
106.0,333.532013
106.5,314.617706
107.0,295.596069
107.5,277.969055
108.0,255.956894
108.5,226.004272
109.0,197.179718
109.5,171.473831
110.0,147.366653
110.5,125.466454
111.0,106.179146
111.5,88.890701
112.0,72.743813
112.5,56.907902
113.0,42.729767
113.5,26.745489
114.0,10.636915
114.5,-4.988119
115.0,-19.075882
115.5,-31.304871
116.0,-41.126064
116.5,-41.477730
117.0,-44.955692
117.5,-49.474857
118.0,-60.498585
118.5,-69.672104
119.0,-77.868637
119.5,-86.315292
120.0,-94.154327
120.5,-101.762337
121.0,-105.400040
121.5,-106.544464
122.0,-103.642090
122.5,-101.121315
123.0,-98.692772
123.5,-93.859993
124.0,-86.734253
124.5,-76.807480
125.0,-66.175346
125.5,-55.304230
126.0,-43.687969
126.5,-31.288954
127.0,-16.930695
127.5,-1.473119
128.0,14.047218
128.5,28.264351
129.0,41.637867
129.5,54.619385
130.0,66.104698
130.5,75.371994
131.0,84.593445
131.5,94.807327
132.0,105.916946
132.5,117.845093
133.0,128.780090
133.5,139.196442
134.0,149.622086
134.5,160.531433
135.0,170.648453
135.5,176.970810
136.0,178.368469
136.5,179.276825
137.0,178.845016
137.5,178.842926
138.0,174.783997
138.5,169.198761
139.0,167.059265
139.5,170.114227
140.0,173.757278
140.5,178.214844
141.0,178.883499
141.5,175.908478
142.0,176.123566
142.5,162.736237
143.0,152.589508
143.5,142.951248
144.0,130.429993
144.5,118.398155
145.0,105.193077
145.5,95.825058
146.0,87.920723
146.5,82.050659
147.0,73.983093
147.5,61.082214
148.0,48.835155
148.5,40.455151
149.0,19.404129
149.5,4.644381
150.0,-10.842455
150.5,-27.150364
151.0,-43.140545
151.5,-58.156662
152.0,-72.192993
152.5,-86.974045
153.0,-102.529495
153.5,-117.188416
154.0,-130.910019
154.5,-145.899796
155.0,-163.551056
155.5,-183.197815
156.0,-204.788162
156.5,-225.536423
157.0,-247.572586
157.5,-270.069397
158.0,-294.845581
158.5,-317.902527
159.0,-328.965027
159.5,-337.185883
160.0,-345.811981
160.5,-347.320892
161.0,-358.197357
161.5,-374.430389
162.0,-397.182953
162.5,-422.490051
163.0,-456.223938
163.5,-491.993286
164.0,-520.522217
164.5,-536.237122
165.0,-543.382874
165.5,-548.487244
166.0,-553.384521
166.5,-559.831848
167.0,-569.252197
167.5,-577.575623
168.0,-585.891235
168.5,-597.780457
169.0,-613.628540
169.5,-630.700684
170.0,-643.895020
170.5,-658.807800
171.0,-668.662170
171.5,-669.364868
172.0,-663.325439
172.5,-660.318054
173.0,-671.793274
173.5,-678.201294
174.0,-674.604126
174.5,-668.799377
175.0,-662.099670
175.5,-654.700378
176.0,-646.417358
176.5,-640.522156
177.0,-632.706177
177.5,-632.061523
178.0,-639.757202
178.5,-656.582397
179.0,-663.742981
179.5,-660.075378
180.0,-658.514099
180.5,-657.034180
181.0,-650.336182
181.5,-641.391663
182.0,-632.228943
182.5,-618.050781
183.0,-606.998291
183.5,-599.395508
184.0,-598.417419
184.5,-596.970581
185.0,-597.857788
185.5,-599.117432
186.0,-580.121765
186.5,-564.091187
187.0,-562.972900
187.5,-550.656616
188.0,-536.016968
188.5,-525.036865
189.0,-512.068359
189.5,-496.502411
190.0,-486.830048
190.5,-484.245911
191.0,-488.117035
191.5,-502.672302
192.0,-518.002136
192.5,-528.463013
193.0,-524.205627
193.5,-500.902985
194.0,-486.460144
194.5,-473.065674
195.0,-459.952332
195.5,-445.470886
196.0,-432.060852
196.5,-424.171570
197.0,-425.056274
197.5,-438.311768
198.0,-440.844696
198.5,-454.303680
199.0,-452.536835
199.5,-449.954193
200.0,-451.410614
200.5,-460.264130
201.0,-466.350830
201.5,-467.981628
202.0,-461.518402
202.5,-456.214355
203.0,-455.869171
203.5,-457.219513
204.0,-453.468689
204.5,-445.322388
205.0,-439.863068
205.5,-439.539093
206.0,-448.721008
206.5,-458.753937
207.0,-470.394318
207.5,-482.819946
208.0,-493.302277
208.5,-500.315338
209.0,-519.997070
209.5,-519.619263
210.0,-511.462708
210.5,-498.602020
211.0,-487.175568
211.5,-476.828766
