"d","test1"
0.0,1401.594971
0.5,1409.872314
1.0,1425.037842
1.5,1418.666382
2.0,1397.760864
2.5,1374.624023
3.0,1349.129517
3.5,1320.580078
4.0,1289.905151
4.5,1280.711792
5.0,1272.365845
5.5,1299.672729
6.0,1336.079102
6.5,1382.494873
7.0,1424.206299
7.5,1450.904785
8.0,1457.548096
8.5,1457.352417
9.0,1465.580688
9.5,1473.909912
10.0,1477.946167
10.5,1473.898926
11.0,1488.907593
11.5,1511.793091
12.0,1514.441772
12.5,1501.683716
13.0,1483.686035
13.5,1467.079468
14.0,1437.047974
14.5,1409.372803
15.0,1386.213867
15.5,1389.007446
16.0,1395.591797
16.5,1411.788330
17.0,1432.287109
17.5,1439.942627
18.0,1432.197021
18.5,1417.066650
19.0,1414.683228
19.5,1407.256104
20.0,1409.764526
20.5,1420.231201
21.0,1422.967285
21.5,1421.098145
22.0,1420.928345
22.5,1429.822998
23.0,1416.960815
23.5,1394.286133
24.0,1364.702148
24.5,1337.193970
25.0,1319.658447
25.5,1304.321167
26.0,1282.874146
26.5,1274.233276
27.0,1276.332031
27.5,1302.000854
28.0,1338.828979
28.5,1366.296753
29.0,1363.083130
29.5,1357.203369
30.0,1348.725220
30.5,1355.506470
31.0,1359.921143
31.5,1357.349487
32.0,1348.716187
32.5,1338.218384
33.0,1336.093384
33.5,1339.502197
34.0,1341.697144
34.5,1322.752686
35.0,1298.238525
35.5,1280.696289
36.0,1273.148560
36.5,1273.201782
37.0,1281.688965
37.5,1299.379517
38.0,1315.894165
38.5,1333.685425
39.0,1365.545410
39.5,1391.109863
40.0,1389.712524
40.5,1386.160156
41.0,1387.006470
41.5,1392.316650
42.0,1403.616577
42.5,1409.467773
43.0,1411.143188
43.5,1401.518433
44.0,1394.348389
44.5,1402.818726
45.0,1409.883545
45.5,1412.767822
46.0,1405.533325
46.5,1398.972046
47.0,1397.937378
47.5,1393.354248
48.0,1385.504517
48.5,1383.806396
49.0,1399.276855
49.5,1416.386841
50.0,1422.434326
50.5,1432.691772
51.0,1436.234497
51.5,1448.434082
52.0,1461.493896
52.5,1474.056641
53.0,1494.196899
53.5,1496.122559
54.0,1495.450806
54.5,1494.850708
55.0,1503.610596
55.5,1505.201782
56.0,1513.686401
56.5,1510.013916
57.0,1504.637451
57.5,1515.862793
58.0,1545.398560
58.5,1562.923340
59.0,1575.551758
59.5,1589.031738
60.0,1604.096924
60.5,1634.369995
61.0,1645.693115
61.5,1642.141235
62.0,1630.323242
62.5,1623.410278
63.0,1627.620728
63.5,1638.699707
64.0,1650.365112
64.5,1656.626099
65.0,1656.289429
65.5,1664.752075
66.0,1677.019653
66.5,1686.158813
67.0,1705.649170
67.5,1720.844849
68.0,1726.153076
68.5,1722.256104
69.0,1726.983032
69.5,1745.082642
70.0,1769.823120
70.5,1770.918823
71.0,1771.012817
71.5,1780.848999
72.0,1786.255981
72.5,1793.609253
73.0,1771.938477
73.5,1738.826050
74.0,1724.773560
74.5,1723.969116
75.0,1749.066895
75.5,1765.515869
