"d","test1"
0.0,-31.501925
0.5,-30.375589
1.0,-29.629671
1.5,-28.996721
2.0,-27.747353
2.5,-25.191219
3.0,-23.349964
3.5,-21.930567
4.0,-19.609070
4.5,-18.111061
5.0,-17.209467
5.5,-17.380596
6.0,-17.921637
6.5,-19.969759
7.0,-22.354292
7.5,-23.699417
8.0,-24.164501
8.5,-24.146513
9.0,-23.755573
9.5,-22.725151
10.0,-21.467197
10.5,-20.616625
11.0,-20.755232
11.5,-20.949356
12.0,-21.464727
12.5,-22.037170
13.0,-22.665878
13.5,-22.721983
14.0,-23.361830
14.5,-24.434917
15.0,-25.166842
15.5,-25.156485
16.0,-24.450718
16.5,-24.304747
17.0,-24.758268
17.5,-25.050484
18.0,-24.516336
18.5,-23.968334
19.0,-22.349598
19.5,-21.016476
20.0,-20.760431
20.5,-21.539543
21.0,-22.110903
21.5,-22.022612
22.0,-22.308722
22.5,-22.785093
23.0,-23.774136
23.5,-24.537596
24.0,-24.424038
24.5,-23.372208
25.0,-22.086975
25.5,-21.727951
26.0,-21.597521
26.5,-20.528654
27.0,-19.472376
27.5,-18.840551
28.0,-19.486542
28.5,-20.262835
29.0,-21.092340
29.5,-21.713165
30.0,-22.313488
30.5,-22.777689
31.0,-23.602871
31.5,-23.843439
32.0,-23.572668
32.5,-22.996880
33.0,-22.156637
33.5,-21.529087
34.0,-21.552555
34.5,-21.583351
35.0,-20.733614
35.5,-20.134192
36.0,-20.524178
36.5,-21.176081
37.0,-20.814163
37.5,-20.793360
38.0,-21.422716
38.5,-22.200615
39.0,-22.828695
39.5,-23.397835
40.0,-23.923624
40.5,-24.048645
41.0,-23.654211
41.5,-24.300560
42.0,-24.093307
42.5,-23.364225
43.0,-23.483601
43.5,-23.601643
44.0,-23.794783
44.5,-24.239828
45.0,-25.110390
45.5,-25.932556
46.0,-26.522545
46.5,-26.898317
47.0,-27.086565
47.5,-26.349506
48.0,-25.456697
48.5,-25.062620
49.0,-24.944939
49.5,-25.369709
50.0,-25.638502
50.5,-24.887493
51.0,-24.422182
51.5,-24.773176
52.0,-25.417765
52.5,-26.028822
53.0,-26.035583
53.5,-25.569260
54.0,-24.707008
54.5,-24.592106
55.0,-24.851772
55.5,-24.287399
56.0,-22.855534
56.5,-22.240053
57.0,-21.982714
57.5,-21.864962
58.0,-22.104141
58.5,-23.388136
59.0,-23.920176
59.5,-23.817074
60.0,-24.064133
60.5,-24.802559
61.0,-26.009340
61.5,-25.914907
62.0,-24.748371
62.5,-23.755623
63.0,-23.893085
63.5,-23.653170
64.0,-23.351017
64.5,-23.102211
65.0,-22.863758
65.5,-22.675163
66.0,-22.843287
66.5,-23.570850
67.0,-24.021791
67.5,-24.949251
68.0,-25.498636
68.5,-25.120148
69.0,-24.456577
69.5,-24.247261
70.0,-24.288361
70.5,-24.063992
71.0,-23.556015
71.5,-23.329319
72.0,-23.742346
72.5,-24.462318
73.0,-23.877632
73.5,-23.293642
74.0,-22.784847
74.5,-23.329514
75.0,-24.349442
75.5,-24.998758
76.0,-25.015797
76.5,-24.442673
77.0,-24.202335
77.5,-24.653225
78.0,-24.006458
78.5,-23.272947
79.0,-23.371586
79.5,-23.801334
80.0,-23.973848
80.5,-24.125210
81.0,-24.008471
81.5,-24.154043
82.0,-24.278145
82.5,-24.827168
83.0,-25.921864
83.5,-26.032648
84.0,-26.405901
84.5,-27.098070
85.0,-26.515823
85.5,-25.600462
86.0,-25.145863
86.5,-24.669498
87.0,-24.880131
87.5,-25.714828
88.0,-26.075748
88.5,-26.510845
89.0,-27.190212
89.5,-28.208775
90.0,-28.859802
90.5,-29.579960
91.0,-29.990005
91.5,-30.786121
92.0,-30.387272
92.5,-28.963703
93.0,-28.004425
93.5,-27.877729
94.0,-28.167233
94.5,-28.050188
95.0,-28.005785
95.5,-28.487528
96.0,-29.640833
96.5,-31.702610
97.0,-32.485252
97.5,-32.521778
98.0,-31.964878
98.5,-32.071320
99.0,-33.486034
99.5,-33.768616
100.0,-33.701088
100.5,-33.011436
101.0,-31.664385
101.5,-30.653439
102.0,-30.931837
102.5,-31.419331
103.0,-32.277294
103.5,-32.497295
104.0,-33.199986
104.5,-34.102974
105.0,-34.675095
105.5,-35.608612
106.0,-35.283287
106.5,-34.444386
107.0,-33.574409
107.5,-33.261555
108.0,-32.892948
108.5,-32.007072
109.0,-31.646544
109.5,-31.791000
110.0,-32.035183
110.5,-32.409664
111.0,-33.088001
