"d","test1"
0.0,-48.823383
0.5,-49.813217
1.0,-50.359676
1.5,-49.485912
2.0,-48.081284
2.5,-45.607136
3.0,-42.751591
3.5,-39.653839
4.0,-37.234165
4.5,-34.848888
5.0,-33.526600
5.5,-32.808937
6.0,-32.835354
6.5,-34.598316
7.0,-36.241512
7.5,-37.186737
8.0,-37.831760
8.5,-37.988262
9.0,-38.499798
9.5,-39.042183
10.0,-39.649635
10.5,-39.749462
11.0,-39.903683
11.5,-40.289375
12.0,-41.318008
12.5,-41.180557
13.0,-40.947479
13.5,-40.965023
14.0,-40.773499
14.5,-40.710026
15.0,-39.940155
15.5,-40.124676
16.0,-40.890491
16.5,-41.426575
17.0,-40.488258
17.5,-40.495884
18.0,-40.957264
18.5,-40.806938
19.0,-40.884457
19.5,-40.578773
20.0,-39.785339
20.5,-39.141773
21.0,-38.836941
21.5,-39.450657
22.0,-39.442677
22.5,-39.711117
23.0,-39.716068
23.5,-39.346939
24.0,-38.305172
24.5,-37.718098
25.0,-37.371796
25.5,-36.195541
26.0,-35.217533
26.5,-34.463860
27.0,-35.006199
27.5,-36.365238
28.0,-37.613247
28.5,-38.706089
29.0,-39.823727
29.5,-39.710835
30.0,-39.922127
30.5,-40.197853
31.0,-39.718925
31.5,-38.547516
32.0,-37.903564
32.5,-37.883053
33.0,-38.052429
33.5,-38.116051
34.0,-38.234119
34.5,-37.607933
35.0,-36.379433
35.5,-36.056805
36.0,-36.461670
36.5,-36.636536
37.0,-36.739136
37.5,-36.995937
38.0,-37.533646
38.5,-37.737701
39.0,-38.048695
39.5,-39.585712
40.0,-40.577938
40.5,-40.408962
41.0,-40.661289
41.5,-41.224812
42.0,-41.654003
42.5,-41.870979
43.0,-42.450165
43.5,-42.655029
44.0,-42.989254
44.5,-43.672855
45.0,-44.260754
45.5,-44.116253
46.0,-43.388084
46.5,-42.951569
47.0,-43.453861
47.5,-43.919373
48.0,-43.768665
48.5,-43.209846
49.0,-43.144665
49.5,-43.915653
50.0,-44.349419
50.5,-43.854565
51.0,-44.492420
51.5,-44.656322
52.0,-44.517151
52.5,-44.538940
53.0,-44.281898
53.5,-44.143578
54.0,-43.498226
54.5,-42.521801
55.0,-42.183807
55.5,-42.142094
56.0,-41.687168
56.5,-41.733292
57.0,-41.629860
57.5,-41.487183
58.0,-41.802650
58.5,-42.701286
59.0,-43.232632
59.5,-43.401417
60.0,-44.346661
60.5,-45.284008
61.0,-45.256775
61.5,-44.879940
62.0,-44.038162
62.5,-43.453438
63.0,-43.671299
63.5,-43.069412
64.0,-42.742004
64.5,-42.830227
65.0,-43.359722
65.5,-43.973640
66.0,-44.624306
66.5,-44.845249
67.0,-44.825035
67.5,-44.356686
68.0,-44.134335
68.5,-44.181942
69.0,-44.189705
69.5,-45.030846
70.0,-45.295044
70.5,-44.791458
71.0,-43.932842
71.5,-43.860157
72.0,-44.266628
72.5,-44.504421
73.0,-44.447289
73.5,-44.729198
74.0,-44.676601
74.5,-44.725090
75.0,-45.055008
75.5,-44.524403
76.0,-43.631695
76.5,-43.962975
77.0,-45.123260
77.5,-46.409061
78.0,-45.561665
78.5,-45.108448
79.0,-44.871082
79.5,-44.365448
80.0,-43.702423
80.5,-44.397388
81.0,-45.302490
81.5,-46.572647
82.0,-47.568672
82.5,-47.800552
83.0,-47.210899
83.5,-46.522457
84.0,-46.241863
84.5,-45.430897
85.0,-44.683456
85.5,-44.254581
86.0,-43.958015
86.5,-44.249279
87.0,-45.469933
87.5,-45.400318
88.0,-45.576008
88.5,-47.123337
89.0,-49.252346
89.5,-50.317356
90.0,-50.841808
90.5,-50.508453
91.0,-48.676060
91.5,-46.731308
92.0,-46.573071
92.5,-47.279552
93.0,-47.007561
93.5,-46.530396
94.0,-47.109268
94.5,-47.717892
95.0,-47.946980
95.5,-47.550659
96.0,-46.685741
96.5,-45.337528
97.0,-45.296055
97.5,-46.746193
98.0,-48.063679
98.5,-48.366039
99.0,-48.025864
99.5,-47.953026
100.0,-48.315685
100.5,-48.126701
101.0,-48.498924
101.5,-48.060303
102.0,-47.431919
102.5,-46.944420
103.0,-46.489944
103.5,-46.225384
104.0,-45.713787
104.5,-45.633278
105.0,-45.980568
105.5,-46.082592
106.0,-45.975712
106.5,-44.661697
107.0,-43.435474
107.5,-42.825577
108.0,-41.726089
108.5,-41.173000
109.0,-41.473122
109.5,-41.515339
110.0,-41.701481
110.5,-42.642418
111.0,-43.790337
111.5,-44.364796
112.0,-44.225563
112.5,-44.206802
113.0,-44.337429
113.5,-43.649254
114.0,-42.279041
114.5,-41.070278
115.0,-38.654625
115.5,-36.358685
116.0,-34.752556
116.5,-36.983437
117.0,-32.396236
117.5,-30.170567
118.0,-30.131763
118.5,-32.832054
119.0,-32.891644
119.5,-29.203566
120.0,-27.398975
120.5,-29.984058
121.0,-38.713425
121.5,-33.815536
122.0,-31.259859
122.5,-30.806591
123.0,-30.541416
123.5,-30.507959
124.0,-31.026834
124.5,-32.020500
125.0,-32.861084
125.5,-33.414997
126.0,-34.151535
126.5,-35.897396
127.0,-36.928490
127.5,-36.755505
128.0,-35.726322
128.5,-34.580940
129.0,-35.198444
129.5,-35.551647
130.0,-35.397964
130.5,-35.055508
131.0,-34.906139
131.5,-34.993584
132.0,-35.792652
132.5,-36.447456
133.0,-37.038124
133.5,-37.243820
134.0,-36.966152
134.5,-36.430225
135.0,-35.982014
135.5,-34.835720
136.0,-33.865475
136.5,-33.324863
137.0,-33.710148
137.5,-34.328110
138.0,-34.095528
138.5,-34.645069
139.0,-35.747433
139.5,-37.054939
140.0,-38.256832
140.5,-39.006100
141.0,-38.932564
141.5,-37.741570
142.0,-31.545044
142.5,-16.975590
143.0,-24.731728
143.5,-27.139185
144.0,-24.255997
144.5,-24.412741
145.0,-25.830740
145.5,-26.483089
146.0,-26.719801
146.5,-26.240576
147.0,-26.584782
147.5,-28.966524
148.0,-33.779251
148.5,-36.544212
149.0,-33.235836
149.5,-38.965820
150.0,-42.674358
150.5,-44.183311
151.0,-44.407501
151.5,-43.420441
152.0,-41.844887
152.5,-40.514557
153.0,-39.223392
153.5,-38.120125
154.0,-37.184769
154.5,-36.597363
155.0,-36.298645
155.5,-36.548687
156.0,-37.012249
156.5,-36.082352
157.0,-33.852783
157.5,-29.821405
158.0,-25.837585
158.5,-23.985443
159.0,-24.585432
159.5,-25.863092
160.0,-26.282820
160.5,-26.606657
161.0,-27.233757
161.5,-28.063046
162.0,-28.777719
162.5,-28.910414
163.0,-28.613161
163.5,-28.758434
164.0,-29.160576
164.5,-28.986588
165.0,-29.006748
165.5,-29.405794
166.0,-30.043005
166.5,-30.211512
167.0,-29.660093
167.5,-29.513216
168.0,-29.845850
168.5,-30.585829
169.0,-31.457434
169.5,-31.834116
170.0,-31.009865
170.5,-30.136679
171.0,-30.373791
171.5,-30.924078
172.0,-30.511543
172.5,-29.685307
173.0,-28.688850
173.5,-28.379656
174.0,-27.923708
174.5,-28.233910
175.0,-28.278624
175.5,-28.354834
176.0,-29.029312
176.5,-29.382654
177.0,-30.021843
177.5,-31.508343
178.0,-32.522011
178.5,-32.556469
179.0,-32.328194
179.5,-31.738676
180.0,-31.161417
180.5,-30.663240
181.0,-29.970184
181.5,-29.400856
182.0,-29.373655
182.5,-29.836416
183.0,-30.655766
183.5,-31.409422
184.0,-31.321362
184.5,-30.829943
