"d","test1"
0.0,31.387709
0.5,31.714230
1.0,31.798397
1.5,31.931589
2.0,32.244305
2.5,32.738083
3.0,33.529877
3.5,34.631775
4.0,35.577679
4.5,36.270214
5.0,36.410179
5.5,36.285614
6.0,35.749641
6.5,34.964832
7.0,33.987198
7.5,33.181858
8.0,32.528740
8.5,32.335323
9.0,32.759224
9.5,33.495258
10.0,34.309967
10.5,34.829964
11.0,35.215149
11.5,35.440842
12.0,35.472755
12.5,35.039112
13.0,34.378197
13.5,33.855003
14.0,33.496902
14.5,33.160606
15.0,33.105145
15.5,33.334579
16.0,33.464893
16.5,33.662926
17.0,33.821220
17.5,33.955196
18.0,34.103134
18.5,34.163525
19.0,34.698376
19.5,35.242859
20.0,35.693424
20.5,36.164459
21.0,36.341782
21.5,36.130741
22.0,35.612686
22.5,35.074951
23.0,34.399910
23.5,33.716114
24.0,33.335194
24.5,33.249485
25.0,33.371460
25.5,33.788696
26.0,34.273209
26.5,35.031471
27.0,35.806030
27.5,36.613605
28.0,37.187565
28.5,37.133389
29.0,36.419994
29.5,35.245682
30.0,34.357544
30.5,34.015194
31.0,34.265541
31.5,34.649334
32.0,34.729122
32.5,34.644779
33.0,34.647873
33.5,34.710136
34.0,34.770596
34.5,34.691128
35.0,34.632122
35.5,34.447834
36.0,34.344402
36.5,34.581192
37.0,34.730450
37.5,34.668301
38.0,34.325661
38.5,33.849190
39.0,33.500687
39.5,33.225315
40.0,32.976856
40.5,32.804989
41.0,32.761871
41.5,33.159969
42.0,33.846207
42.5,34.206757
43.0,34.192223
43.5,33.823574
44.0,33.308479
44.5,32.903084
45.0,32.698067
45.5,32.576168
46.0,32.336010
46.5,32.108582
47.0,32.067989
47.5,32.199261
48.0,32.444443
48.5,32.742119
49.0,33.047272
49.5,33.341084
50.0,33.447865
50.5,33.248577
51.0,32.899601
51.5,32.566460
52.0,32.317074
52.5,32.332592
53.0,32.268661
53.5,32.143013
54.0,32.020924
54.5,31.923151
55.0,32.094891
55.5,32.303253
56.0,32.624428
56.5,32.624214
57.0,32.619526
57.5,32.682392
58.0,32.740360
58.5,32.714897
59.0,32.565777
59.5,32.156857
60.0,31.617266
60.5,31.281021
61.0,31.015306
61.5,30.894648
62.0,30.845655
62.5,30.808722
63.0,31.137096
63.5,31.718624
64.0,32.208412
64.5,32.388451
65.0,32.111557
65.5,31.622248
66.0,31.206034
66.5,30.993938
67.0,30.979235
67.5,30.914358
68.0,30.882441
68.5,30.852173
69.0,30.833731
69.5,30.939724
70.0,31.103605
70.5,31.330971
71.0,31.536060
71.5,31.619251
72.0,31.783194
72.5,31.966490
73.0,31.864336
73.5,31.615900
74.0,31.305424
74.5,31.275524
75.0,31.639671
75.5,31.988007
76.0,32.202950
76.5,32.069542
77.0,31.639555
77.5,31.271437
78.0,31.299515
78.5,31.516771
79.0,31.926506
79.5,32.562126
80.0,33.207806
80.5,33.508663
81.0,33.458580
81.5,33.210331
82.0,32.764179
82.5,32.211060
83.0,31.862587
83.5,31.680960
84.0,31.574278
84.5,31.688051
85.0,31.810209
85.5,31.760914
86.0,32.025875
86.5,32.454803
87.0,33.107944
87.5,33.530273
88.0,33.649158
88.5,33.243988
89.0,32.585777
89.5,31.951323
90.0,31.774269
90.5,31.815060
91.0,31.982691
91.5,32.285271
92.0,33.104908
92.5,34.000416
93.0,34.589890
93.5,34.764435
94.0,34.521194
