"d","test1"
0.0,34.123074
0.5,34.147388
1.0,34.022728
1.5,33.531677
2.0,32.635433
2.5,31.437721
3.0,30.262583
3.5,29.326904
4.0,28.735497
4.5,29.024109
5.0,30.329184
5.5,32.108223
6.0,33.665638
6.5,34.684315
7.0,34.609489
7.5,33.924057
8.0,33.117481
8.5,32.507515
9.0,32.273579
9.5,32.048485
10.0,31.625164
10.5,31.190586
11.0,30.893391
11.5,30.905214
12.0,31.423220
12.5,31.917578
13.0,32.103405
13.5,31.886644
14.0,31.879679
14.5,32.494957
15.0,33.265881
15.5,33.626621
16.0,33.615463
16.5,33.128441
17.0,32.643105
17.5,32.059399
18.0,31.827181
18.5,31.523212
19.0,30.727528
19.5,29.999468
20.0,29.636805
20.5,30.061026
21.0,30.844383
21.5,31.591539
22.0,31.922447
22.5,31.875320
23.0,32.061836
23.5,32.730476
24.0,32.768074
24.5,32.647366
25.0,32.115356
25.5,31.649216
26.0,31.195847
26.5,30.475662
27.0,29.899458
27.5,29.730717
28.0,30.265774
28.5,31.144081
29.0,31.853722
29.5,31.823736
30.0,31.540430
30.5,31.395283
31.0,31.483965
31.5,31.718939
32.0,31.910366
32.5,31.805941
33.0,31.575872
33.5,31.387720
34.0,31.473425
34.5,31.488567
35.0,31.016006
35.5,30.937344
36.0,31.230431
36.5,31.898153
37.0,32.484070
37.5,32.697647
38.0,32.833797
38.5,33.049889
39.0,33.290066
39.5,33.278088
40.0,32.824635
40.5,32.068066
41.0,31.570288
41.5,31.362526
42.0,31.377577
42.5,31.569967
43.0,31.753588
43.5,31.913242
44.0,32.091900
44.5,32.466759
45.0,32.655941
45.5,32.729752
46.0,32.581795
46.5,32.519909
47.0,32.502396
47.5,32.465191
48.0,32.121513
48.5,31.799250
49.0,31.670715
49.5,31.899620
50.0,32.218407
50.5,32.321262
51.0,32.128574
51.5,32.007843
52.0,32.206333
52.5,32.624649
53.0,32.978188
53.5,32.763245
54.0,32.370571
54.5,31.880232
55.0,31.827753
55.5,31.942276
56.0,31.962988
56.5,31.808697
57.0,31.481186
57.5,31.271564
58.0,31.597944
58.5,32.238514
59.0,32.764103
59.5,32.864513
60.0,32.667286
60.5,32.764233
61.0,33.046944
61.5,33.115524
62.0,32.740387
62.5,32.196980
63.0,31.750879
63.5,31.704254
64.0,31.892502
64.5,32.117500
65.0,32.464508
65.5,32.671276
66.0,32.743004
66.5,32.627396
67.0,32.571999
67.5,32.680397
68.0,32.708706
68.5,32.714073
69.0,32.560108
69.5,32.616562
70.0,32.656548
70.5,32.208298
71.0,31.660524
71.5,31.060139
72.0,31.062351
72.5,31.632587
73.0,32.080326
73.5,32.201981
74.0,31.928028
74.5,31.505882
75.0,31.711096
75.5,31.944786
76.0,32.130436
76.5,32.261440
77.0,32.340103
77.5,32.407135
78.0,32.125515
78.5,31.478533
79.0,30.899897
79.5,30.476421
80.0,30.334417
80.5,30.745562
81.0,31.130001
81.5,31.437128
82.0,31.645815
82.5,31.817234
83.0,31.633139
83.5,31.427015
84.0,31.396503
84.5,31.435785
85.0,31.599308
85.5,31.653828
86.0,31.256319
86.5,30.755365
87.0,30.537046
87.5,30.700794
88.0,31.138159
88.5,31.600384
89.0,32.145309
89.5,32.297539
90.0,32.002110
90.5,31.492142
91.0,31.069721
91.5,30.690239
92.0,30.193005
92.5,29.764566
93.0,29.504068
93.5,29.437349
94.0,29.996464
94.5,30.378016
95.0,30.580280
95.5,30.362141
96.0,30.453960
96.5,31.029787
97.0,31.565424
97.5,31.841660
98.0,31.724361
98.5,31.320642
99.0,30.736662
99.5,30.324379
100.0,30.138361
100.5,30.016705
101.0,29.818825
101.5,29.527672
102.0,29.547651
102.5,29.706581
103.0,30.022234
103.5,30.057636
104.0,29.948605
104.5,29.837908
105.0,29.923578
105.5,30.115185
106.0,30.180548
106.5,29.986652
107.0,29.803865
107.5,29.780642
108.0,29.955324
108.5,30.073082
109.0,30.139019
109.5,30.159468
110.0,30.133734
110.5,30.166842
111.0,30.136772
111.5,30.058313
