"d","test1"
0.0,-1.192882
0.5,-1.148534
1.0,-1.121051
1.5,-1.097843
2.0,-1.051254
2.5,-0.955064
3.0,-0.885852
3.5,-0.832518
4.0,-0.744800
4.5,-0.688260
5.0,-0.654343
5.5,-0.661219
6.0,-0.682217
6.5,-0.760656
7.0,-0.852020
7.5,-0.903832
8.0,-0.922108
8.5,-0.921954
9.0,-0.907563
9.5,-0.868734
10.0,-0.821169
10.5,-0.789132
11.0,-0.794926
11.5,-0.802831
12.0,-0.823054
12.5,-0.845479
13.0,-0.870082
13.5,-0.872714
14.0,-0.897772
14.5,-0.939514
15.0,-0.968188
15.5,-0.968341
16.0,-0.941729
16.5,-0.936674
17.0,-0.954726
17.5,-0.966571
18.0,-0.946526
18.5,-0.925929
19.0,-0.863905
19.5,-0.812852
20.0,-0.803402
20.5,-0.834009
21.0,-0.856596
21.5,-0.853642
22.0,-0.865200
22.5,-0.884150
23.0,-0.923013
23.5,-0.953155
24.0,-0.949263
24.5,-0.908890
25.0,-0.859411
25.5,-0.845942
26.0,-0.841359
26.5,-0.800197
27.0,-0.759471
27.5,-0.735252
28.0,-0.760898
28.5,-0.791649
29.0,-0.824508
29.5,-0.849236
30.0,-0.873171
30.5,-0.891795
31.0,-0.924580
31.5,-0.934504
32.0,-0.924396
32.5,-0.902322
33.0,-0.869846
33.5,-0.845686
34.0,-0.847086
34.5,-0.848762
35.0,-0.815781
35.5,-0.792618
36.0,-0.808394
36.5,-0.834514
37.0,-0.820693
37.5,-0.820322
38.0,-0.845606
38.5,-0.876773
39.0,-0.902054
39.5,-0.925021
40.0,-0.946294
40.5,-0.951726
41.0,-0.936599
41.5,-0.962687
42.0,-0.954968
42.5,-0.926560
43.0,-0.931782
43.5,-0.936948
44.0,-0.945090
44.5,-0.963235
45.0,-0.998308
45.5,-1.031485
46.0,-1.055454
46.5,-1.070926
47.0,-1.078954
47.5,-1.050123
48.0,-1.015066
48.5,-0.999859
49.0,-0.995662
49.5,-1.013116
50.0,-1.024338
50.5,-0.994807
51.0,-0.976659
51.5,-0.991132
52.0,-1.017350
52.5,-1.042257
53.0,-1.042987
53.5,-1.024773
54.0,-0.990679
54.5,-0.986526
55.0,-0.997402
55.5,-0.975214
56.0,-0.918169
56.5,-0.893874
57.0,-0.883944
57.5,-0.879595
58.0,-0.889590
58.5,-0.941657
59.0,-0.963469
59.5,-0.959701
60.0,-0.970037
60.5,-1.000180
61.0,-1.049251
61.5,-1.045857
62.0,-0.999191
62.5,-0.959520
63.0,-0.965481
63.5,-0.956194
64.0,-0.944385
64.5,-0.934723
65.0,-0.925463
65.5,-0.918199
66.0,-0.925365
66.5,-0.955189
67.0,-0.973803
67.5,-1.011761
68.0,-1.034403
68.5,-1.019421
69.0,-0.992867
69.5,-0.984745
70.0,-0.986803
70.5,-0.978075
71.0,-0.957801
71.5,-0.948939
72.0,-0.966094
72.5,-0.995747
73.0,-0.972300
73.5,-0.948873
74.0,-0.928488
74.5,-0.951018
75.0,-0.992937
75.5,-1.019758
76.0,-1.020801
76.5,-0.997760
77.0,-0.988298
77.5,-1.007065
78.0,-0.980993
