"d","test1"
0.0,0.001535
0.5,-0.000542
1.0,-0.000498
1.5,-0.000417
2.0,-0.000345
2.5,-0.000327
3.0,-0.000393
3.5,-0.000565
4.0,-0.000837
4.5,-0.001113
5.0,-0.001319
5.5,-0.001394
6.0,-0.001335
6.5,-0.001165
7.0,-0.000922
7.5,-0.000693
8.0,-0.000532
8.5,-0.000471
9.0,-0.000494
9.5,-0.000552
10.0,-0.000619
10.5,-0.000676
11.0,-0.000728
11.5,-0.000772
12.0,-0.000787
12.5,-0.000767
13.0,-0.000728
13.5,-0.000701
14.0,-0.000723
14.5,-0.000799
15.0,-0.000905
15.5,-0.000999
16.0,-0.001036
16.5,-0.001019
17.0,-0.000966
17.5,-0.000901
18.0,-0.000851
18.5,-0.000816
19.0,-0.000825
19.5,-0.000871
20.0,-0.000956
20.5,-0.001065
21.0,-0.001143
21.5,-0.001171
22.0,-0.001145
22.5,-0.001086
23.0,-0.001032
23.5,-0.001008
24.0,-0.001008
24.5,-0.001044
25.0,-0.001089
25.5,-0.001153
26.0,-0.001241
26.5,-0.001332
27.0,-0.001415
27.5,-0.001459
28.0,-0.001441
28.5,-0.001370
29.0,-0.001245
29.5,-0.001099
30.0,-0.000997
30.5,-0.000965
31.0,-0.000997
31.5,-0.001048
32.0,-0.001086
32.5,-0.001098
33.0,-0.001091
33.5,-0.001085
34.0,-0.001067
34.5,-0.001054
35.0,-0.001064
35.5,-0.001094
36.0,-0.001137
36.5,-0.001184
37.0,-0.001215
37.5,-0.001190
38.0,-0.001117
38.5,-0.001028
39.0,-0.000923
39.5,-0.000814
40.0,-0.000700
40.5,-0.000626
41.0,-0.000604
41.5,-0.000631
42.0,-0.000706
42.5,-0.000767
43.0,-0.000788
43.5,-0.000778
44.0,-0.000760
44.5,-0.000747
45.0,-0.000720
45.5,-0.000687
46.0,-0.000651
46.5,-0.000616
47.0,-0.000588
47.5,-0.000575
48.0,-0.000572
48.5,-0.000587
49.0,-0.000610
49.5,-0.000624
50.0,-0.000628
50.5,-0.000597
51.0,-0.000556
51.5,-0.000529
52.0,-0.000537
52.5,-0.000559
53.0,-0.000564
53.5,-0.000536
54.0,-0.000495
54.5,-0.000480
55.0,-0.000491
55.5,-0.000518
56.0,-0.000534
56.5,-0.000524
57.0,-0.000512
57.5,-0.000526
58.0,-0.000549
58.5,-0.000544
59.0,-0.000522
59.5,-0.000471
60.0,-0.000407
60.5,-0.000369
61.0,-0.000332
61.5,-0.000302
62.0,-0.000281
62.5,-0.000275
63.0,-0.000312
63.5,-0.000382
64.0,-0.000446
64.5,-0.000471
65.0,-0.000446
65.5,-0.000404
66.0,-0.000355
66.5,-0.000318
67.0,-0.000313
67.5,-0.000310
68.0,-0.000319
68.5,-0.000334
69.0,-0.000348
