"d","test1"
0.0,35.346462
0.5,34.395031
1.0,33.536575
1.5,32.873142
2.0,32.643974
2.5,32.885883
3.0,33.437622
3.5,34.280487
4.0,35.412277
4.5,36.668957
5.0,37.929668
5.5,39.017647
6.0,39.809883
6.5,40.253159
7.0,40.212952
7.5,39.709682
8.0,39.106209
8.5,38.640511
9.0,38.313049
9.5,38.059284
10.0,37.874878
10.5,37.801052
11.0,37.715611
11.5,37.564850
12.0,37.325840
12.5,37.085632
13.0,36.971867
13.5,37.007996
14.0,37.133175
14.5,37.366932
15.0,37.650379
15.5,37.806870
16.0,37.791737
16.5,37.570698
17.0,37.104630
17.5,36.600746
18.0,36.275600
18.5,36.149452
19.0,36.195175
19.5,36.341217
20.0,36.595387
20.5,36.861820
21.0,37.079163
21.5,37.245888
22.0,37.353436
22.5,37.316013
23.0,37.223984
23.5,37.221783
24.0,37.300407
24.5,37.475983
25.0,37.726624
25.5,38.038498
26.0,38.453579
26.5,38.939362
27.0,39.418694
27.5,39.797321
28.0,39.970123
28.5,39.943455
29.0,39.814777
29.5,39.782028
30.0,39.823357
30.5,39.818588
31.0,39.718185
31.5,39.579742
32.0,39.480850
32.5,39.441189
33.0,39.443455
33.5,39.425205
34.0,39.348068
34.5,39.356342
35.0,39.550037
35.5,39.871693
36.0,40.223324
36.5,40.541721
37.0,40.750469
37.5,40.798595
38.0,40.630703
38.5,40.188042
39.0,39.389847
39.5,38.217983
40.0,37.035233
40.5,36.159847
41.0,35.545597
41.5,35.088219
42.0,34.693562
42.5,34.347546
43.0,34.063999
43.5,33.909451
44.0,33.878456
44.5,33.760040
45.0,33.454197
45.5,33.067783
46.0,32.722500
46.5,32.524696
47.0,32.372963
47.5,32.244976
48.0,32.229301
48.5,32.304432
49.0,32.336815
49.5,32.236465
50.0,32.036613
50.5,31.844143
51.0,31.698446
51.5,31.593336
52.0,31.477276
52.5,31.248074
53.0,30.848433
53.5,30.471146
54.0,30.265675
54.5,30.212479
55.0,30.231255
55.5,30.298700
56.0,30.430050
56.5,30.629587
57.0,30.909357
57.5,31.220932
58.0,31.469955
58.5,31.576048
59.0,31.562283
59.5,31.419508
60.0,31.197151
60.5,30.780176
61.0,30.166622
61.5,29.609709
62.0,29.330465
62.5,29.332905
63.0,29.413206
63.5,29.496269
64.0,29.566256
64.5,29.631506
65.0,29.727102
65.5,29.824085
66.0,29.891312
66.5,29.918610
67.0,29.820221
67.5,29.609798
68.0,29.443552
68.5,29.385822
69.0,29.386311
69.5,29.318855
70.0,29.059267
70.5,28.794706
71.0,28.731815
71.5,28.770145
72.0,28.847055
72.5,28.944416
73.0,29.104794
73.5,29.467319
74.0,29.935711
74.5,30.415337
75.0,30.805847
75.5,31.024496
76.0,31.166878
76.5,31.268879
77.0,31.292845
77.5,31.310530
78.0,31.381958
78.5,31.456676
79.0,31.533987
79.5,31.581692
80.0,31.574451
80.5,31.496378
81.0,31.340525
81.5,31.060213
82.0,30.639009
82.5,30.095617
83.0,29.592117
83.5,29.248796
84.0,29.068596
84.5,29.022850
85.0,29.123898
85.5,29.420858
86.0,29.822617
86.5,30.178642
87.0,30.393064
87.5,30.472715
88.0,30.370382
88.5,30.091461
89.0,29.739267
89.5,29.228058
90.0,28.434505
90.5,27.590353
91.0,27.058737
91.5,26.813362
92.0,26.580477
92.5,26.315374
93.0,26.118450
93.5,26.065813
94.0,26.142727
94.5,26.290247
95.0,26.487379
95.5,26.692408
96.0,26.930077
96.5,27.285791
97.0,27.588053
97.5,27.659645
98.0,27.415257
98.5,26.846415
99.0,26.077190
99.5,25.364767
100.0,24.749765
100.5,24.326481
101.0,24.192207
101.5,24.243687
102.0,24.331017
102.5,24.398855
103.0,24.386496
103.5,24.241911
104.0,24.040802
104.5,23.800762
105.0,23.389355
105.5,22.831799
106.0,22.333511
106.5,22.135050
107.0,22.202436
107.5,22.420603
108.0,22.752571
108.5,23.107285
109.0,23.423615
109.5,23.727114
110.0,24.000559
110.5,24.148371
111.0,24.040491
111.5,23.748783
112.0,23.437708
112.5,23.186255
113.0,23.117619
113.5,23.322145
114.0,23.897568
114.5,24.837111
115.0,25.982510
115.5,27.189655
116.0,28.380922
116.5,29.522264
117.0,30.617142
117.5,31.664566
118.0,32.615452
118.5,33.400112
119.0,34.001419
119.5,34.576992
120.0,35.178783
120.5,35.762596
121.0,36.303837
121.5,36.825638
122.0,37.384510
122.5,37.987331
123.0,38.616669
123.5,39.257435
124.0,39.800468
124.5,40.144814
125.0,40.321697
125.5,40.397987
126.0,40.382721
126.5,40.120270
127.0,39.645226
127.5,39.254242
128.0,39.140587
128.5,39.256248
129.0,39.511604
129.5,39.774570
130.0,39.951813
130.5,40.022289
131.0,39.969624
131.5,39.789928
132.0,39.489517
132.5,39.053127
133.0,38.602104
133.5,38.246475
134.0,37.999371
134.5,37.911091
135.0,37.921043
135.5,38.108021
136.0,38.554638
136.5,39.139374
137.0,39.676025
137.5,40.062725
138.0,40.309204
138.5,40.388683
139.0,40.327816
139.5,40.212399
140.0,39.962975
140.5,39.385277
141.0,38.730766
141.5,38.355484
142.0,38.269550
142.5,38.167717
143.0,37.992859
143.5,37.908695
144.0,37.922562
144.5,38.014198
145.0,38.166035
145.5,38.323792
146.0,38.469444
146.5,38.676765
147.0,38.978100
147.5,39.251083
148.0,39.302776
148.5,39.115318
149.0,38.666008
149.5,38.132362
150.0,37.717842
150.5,37.409508
151.0,37.308071
151.5,37.482437
152.0,37.848667
152.5,38.323406
153.0,38.801823
153.5,39.198132
154.0,39.483677
154.5,39.694065
155.0,39.850624
155.5,39.908440
156.0,39.668400
156.5,39.434517
157.0,39.488506
157.5,39.771637
158.0,40.203110
158.5,40.678703
159.0,41.120171
159.5,41.529560
160.0,41.932472
160.5,42.329819
161.0,42.643906
161.5,42.762005
162.0,42.685345
162.5,42.512012
