"d","test1"
0.0,2415.601562
0.5,2438.888428
1.0,2426.205811
1.5,2310.239014
2.0,2052.632080
2.5,1753.563599
3.0,1461.841919
3.5,1234.450562
4.0,1087.636353
4.5,1088.540039
5.0,1219.905396
5.5,1420.376709
6.0,1666.398071
6.5,1898.826904
7.0,2019.036743
7.5,2028.103882
8.0,1985.846558
8.5,1923.101318
9.0,1863.094727
9.5,1767.630859
10.0,1655.728149
10.5,1579.986816
11.0,1549.380005
11.5,1573.418335
12.0,1684.037476
12.5,1780.392456
13.0,1817.246338
13.5,1791.089111
14.0,1797.188110
14.5,1887.913574
15.0,1978.569580
15.5,2020.788330
16.0,2034.137939
16.5,1992.430908
17.0,1972.248047
17.5,1915.927734
18.0,1903.253052
18.5,1832.318604
19.0,1636.407959
19.5,1499.513184
20.0,1432.849609
20.5,1506.159058
21.0,1622.853516
21.5,1737.097290
22.0,1818.025024
22.5,1875.947144
23.0,1961.094971
23.5,2108.581787
24.0,2073.579590
24.5,1999.281494
25.0,1867.111084
25.5,1751.597412
26.0,1618.865356
26.5,1448.001953
27.0,1354.189697
27.5,1345.037476
28.0,1462.641235
28.5,1638.106567
29.0,1782.690918
29.5,1816.071045
30.0,1823.816284
30.5,1825.665039
31.0,1821.062012
31.5,1826.482422
32.0,1848.475464
32.5,1820.108154
33.0,1781.786255
33.5,1763.802368
34.0,1788.838867
34.5,1754.497925
35.0,1621.210205
35.5,1613.144409
36.0,1656.820190
36.5,1729.433228
37.0,1805.322021
37.5,1867.206787
38.0,1957.239868
38.5,2081.791748
39.0,2226.662598
39.5,2312.555420
40.0,2251.203125
40.5,2133.005859
41.0,2071.327393
41.5,2009.840576
42.0,1963.326172
42.5,1983.206787
43.0,2022.497314
43.5,2064.973389
44.0,2122.031738
44.5,2233.518555
45.0,2283.568604
45.5,2300.470703
46.0,2284.743408
46.5,2289.504150
47.0,2288.126221
47.5,2255.426025
48.0,2124.103516
48.5,2053.586182
49.0,2048.502930
49.5,2109.135254
50.0,2159.849365
50.5,2188.171875
51.0,2180.969482
51.5,2189.563965
52.0,2258.821289
52.5,2349.263428
53.0,2415.182861
53.5,2357.324707
54.0,2270.507080
54.5,2186.963623
