"d","test1"
0.0,-0.058687
0.5,0.358711
1.0,0.354665
1.5,0.347405
2.0,0.337607
2.5,0.325589
3.0,0.313709
3.5,0.304719
4.0,0.300954
4.5,0.302173
5.0,0.308474
5.5,0.319738
6.0,0.333781
6.5,0.349397
7.0,0.362446
7.5,0.373812
8.0,0.380751
8.5,0.382611
9.0,0.378679
9.5,0.369768
10.0,0.358954
10.5,0.349434
11.0,0.344529
11.5,0.344419
12.0,0.348342
12.5,0.354760
13.0,0.362223
13.5,0.368913
14.0,0.377135
14.5,0.384562
15.0,0.388912
15.5,0.390374
16.0,0.387753
16.5,0.382171
17.0,0.375815
17.5,0.368588
18.0,0.360783
18.5,0.351701
19.0,0.343727
19.5,0.337806
20.0,0.335995
20.5,0.339166
21.0,0.343509
21.5,0.349234
22.0,0.356626
22.5,0.363989
23.0,0.372171
23.5,0.378360
24.0,0.378891
24.5,0.377090
25.0,0.369625
25.5,0.359390
26.0,0.346170
26.5,0.330087
27.0,0.316515
27.5,0.307976
28.0,0.304531
28.5,0.307995
29.0,0.315388
29.5,0.323996
30.0,0.333236
30.5,0.341213
31.0,0.347180
31.5,0.349058
32.0,0.348457
32.5,0.345536
33.0,0.339558
33.5,0.334239
34.0,0.328598
34.5,0.325268
35.0,0.323989
35.5,0.324329
36.0,0.326098
36.5,0.327297
37.0,0.329653
37.5,0.332021
38.0,0.335361
38.5,0.340347
39.0,0.342341
39.5,0.343826
40.0,0.342971
40.5,0.340455
41.0,0.336834
41.5,0.333358
42.0,0.331127
42.5,0.329395
43.0,0.330129
43.5,0.332517
44.0,0.335645
44.5,0.341201
45.0,0.346654
45.5,0.351851
46.0,0.356680
46.5,0.358419
47.0,0.356892
47.5,0.353741
48.0,0.347781
48.5,0.343443
49.0,0.340596
49.5,0.338654
50.0,0.340304
50.5,0.341899
51.0,0.345573
51.5,0.351456
52.0,0.359339
52.5,0.365462
53.0,0.370654
53.5,0.372662
54.0,0.372254
54.5,0.372403
55.0,0.371403
55.5,0.369619
56.0,0.366125
56.5,0.363987
57.0,0.363317
57.5,0.366425
58.0,0.372583
58.5,0.378381
59.0,0.385651
