"d","test1"
0.0,-0.065940
0.5,0.403041
1.0,0.399002
1.5,0.392476
2.0,0.383956
2.5,0.372773
3.0,0.362615
3.5,0.354949
4.0,0.353002
4.5,0.355362
5.0,0.361667
5.5,0.372074
6.0,0.385059
6.5,0.399037
7.0,0.410179
7.5,0.419623
8.0,0.424789
8.5,0.425844
9.0,0.421538
9.5,0.413462
10.0,0.403257
10.5,0.394871
11.0,0.390663
11.5,0.390545
12.0,0.394213
12.5,0.399707
13.0,0.406111
13.5,0.412310
14.0,0.419697
14.5,0.426327
15.0,0.430430
15.5,0.431468
16.0,0.428941
16.5,0.424090
17.0,0.418153
17.5,0.411199
18.0,0.403859
18.5,0.395302
19.0,0.387874
19.5,0.382676
20.0,0.381647
20.5,0.384794
21.0,0.388577
21.5,0.393857
22.0,0.400599
22.5,0.406959
23.0,0.414206
23.5,0.419559
24.0,0.419632
24.5,0.417320
25.0,0.410281
25.5,0.401526
26.0,0.389548
26.5,0.375390
27.0,0.363895
27.5,0.356794
28.0,0.354233
28.5,0.357164
29.0,0.363880
29.5,0.371021
30.0,0.378688
30.5,0.385951
31.0,0.391009
31.5,0.392038
32.0,0.391653
32.5,0.388791
33.0,0.383838
33.5,0.378521
34.0,0.373483
34.5,0.370995
35.0,0.369362
35.5,0.370016
36.0,0.371451
36.5,0.373521
37.0,0.375322
37.5,0.377444
38.0,0.380386
38.5,0.384726
39.0,0.386038
39.5,0.386239
40.0,0.385487
40.5,0.382762
41.0,0.378767
41.5,0.375485
42.0,0.373378
42.5,0.371354
43.0,0.372487
43.5,0.374576
44.0,0.376872
44.5,0.381621
45.0,0.385965
45.5,0.390438
46.0,0.394384
46.5,0.395837
47.0,0.394183
47.5,0.390735
48.0,0.385422
48.5,0.381080
49.0,0.378493
49.5,0.376162
50.0,0.377905
50.5,0.379319
51.0,0.382334
51.5,0.387382
52.0,0.394244
52.5,0.399583
53.0,0.403732
53.5,0.405056
54.0,0.404176
54.5,0.404466
55.0,0.403290
55.5,0.401202
56.0,0.397622
56.5,0.395758
57.0,0.395057
57.5,0.398074
58.0,0.403467
58.5,0.408462
59.0,0.414782
59.5,0.420323
60.0,0.426293
60.5,0.433023
61.0,0.435880
61.5,0.437960
62.0,0.438593
62.5,0.436862
63.0,0.434980
63.5,0.432913
64.0,0.431813
64.5,0.431795
65.0,0.433221
65.5,0.436306
66.0,0.440174
66.5,0.445422
67.0,0.453670
67.5,0.459705
68.0,0.465492
68.5,0.468233
69.0,0.468067
69.5,0.466733
70.0,0.463132
70.5,0.459564
71.0,0.457908
71.5,0.457660
72.0,0.459675
72.5,0.463182
73.0,0.467540
73.5,0.468810
74.0,0.470540
74.5,0.472991
75.0,0.475512
75.5,0.479504
76.0,0.482638
76.5,0.484675
77.0,0.483473
77.5,0.481099
78.0,0.477000
78.5,0.471975
79.0,0.468987
79.5,0.467671
80.0,0.466595
80.5,0.468526
81.0,0.470057
81.5,0.472687
82.0,0.479050
82.5,0.484865
83.0,0.491802
83.5,0.497996
84.0,0.501144
84.5,0.502790
85.0,0.498925
85.5,0.491591
86.0,0.483164
86.5,0.471916
87.0,0.464032
87.5,0.459700
88.0,0.457352
88.5,0.456769
89.0,0.458754
89.5,0.458879
90.0,0.459924
90.5,0.459771
91.0,0.456018
91.5,0.448755
92.0,0.437997
92.5,0.426360
93.0,0.415719
93.5,0.407361
94.0,0.404241
94.5,0.401699
95.0,0.403387
95.5,0.408897
96.0,0.412905
96.5,0.418851
97.0,0.418575
97.5,0.411398
98.0,0.402263
98.5,0.388495
99.0,0.373970
99.5,0.360244
100.0,0.345799
100.5,0.330126
101.0,0.315114
101.5,0.303667
102.0,0.293531
102.5,0.285689
103.0,0.280622
103.5,0.276084
104.0,0.272875
104.5,0.271865
105.0,0.269475
105.5,0.266670
106.0,0.262051
106.5,0.254527
107.0,0.247573
107.5,0.239044
108.0,0.229092
108.5,0.219345
109.0,0.208351
109.5,0.198055
110.0,0.189012
110.5,0.181033
111.0,0.173122
111.5,0.166057
112.0,0.159008
112.5,0.151899
113.0,0.146291
113.5,0.139642
114.0,0.133681
114.5,0.130067
115.0,0.127666
115.5,0.126462
116.0,0.124404
116.5,0.122199
117.0,0.119227
117.5,0.116838
118.0,0.118670
118.5,0.122705
119.0,0.127449
119.5,0.133098
120.0,0.137164
120.5,0.138999
121.0,0.140300
121.5,0.138958
122.0,0.138100
122.5,0.136171
123.0,0.133438
123.5,0.133185
124.0,0.132551
124.5,0.133398
125.0,0.133128
125.5,0.136271
126.0,0.137897
126.5,0.140428
127.0,0.145053
127.5,0.150768
128.0,0.158305
128.5,0.163466
129.0,0.170342
129.5,0.173150
130.0,0.174654
130.5,0.176547
131.0,0.176332
131.5,0.174715
132.0,0.174002
132.5,0.171451
133.0,0.169637
133.5,0.167436
134.0,0.166865
134.5,0.163913
135.0,0.162677
135.5,0.161839
136.0,0.160972
136.5,0.158159
137.0,0.158330
137.5,0.158163
138.0,0.157934
138.5,0.161589
139.0,0.163868
139.5,0.165658
140.0,0.164545
140.5,0.156526
141.0,0.147745
141.5,0.140334
142.0,0.132652
142.5,0.126168
143.0,0.125247
143.5,0.126393
144.0,0.126315
144.5,0.123025
145.0,0.117257
145.5,0.111783
146.0,0.110017
146.5,0.109220
147.0,0.108341
147.5,0.105406
148.0,0.102184
148.5,0.101879
149.0,0.107369
149.5,0.114636
150.0,0.124895
150.5,0.134515
151.0,0.143028
151.5,0.147935
152.0,0.152556
152.5,0.154494
153.0,0.154527
153.5,0.154681
154.0,0.154998
154.5,0.154902
155.0,0.154898
155.5,0.147256
156.0,0.137766
156.5,0.127181
157.0,0.119766
157.5,0.115197
158.0,0.110173
158.5,0.108974
159.0,0.106119
159.5,0.106027
160.0,0.111650
160.5,0.116479
161.0,0.122174
161.5,0.125876
162.0,0.129421
162.5,0.132503
163.0,0.136232
163.5,0.142258
164.0,0.147696
164.5,0.155743
