"d","test1"
0.0,-4.109786
0.5,-4.094564
1.0,-4.073643
1.5,-4.056579
2.0,-4.052969
2.5,-4.055548
3.0,-4.063239
3.5,-4.074584
4.0,-4.091382
4.5,-4.099023
5.0,-4.098786
5.5,-4.083317
6.0,-4.046348
6.5,-4.002035
7.0,-3.953419
7.5,-3.917827
8.0,-3.899797
8.5,-3.888596
9.0,-3.870034
9.5,-3.844211
10.0,-3.815770
10.5,-3.798427
11.0,-3.781009
11.5,-3.760159
12.0,-3.750047
12.5,-3.767833
13.0,-3.800634
13.5,-3.835875
14.0,-3.879256
14.5,-3.925757
15.0,-3.963921
15.5,-3.977653
16.0,-3.973168
16.5,-3.956149
17.0,-3.932437
17.5,-3.909964
18.0,-3.897122
18.5,-3.894679
19.0,-3.889914
19.5,-3.886575
20.0,-3.888400
20.5,-3.883914
21.0,-3.885654
21.5,-3.895932
22.0,-3.912059
22.5,-3.925870
23.0,-3.949056
23.5,-3.984018
24.0,-4.022213
24.5,-4.054830
25.0,-4.073539
25.5,-4.079715
26.0,-4.080685
26.5,-4.073848
27.0,-4.052455
27.5,-4.016699
28.0,-3.972159
28.5,-3.932516
29.0,-3.920293
29.5,-3.934510
30.0,-3.951722
30.5,-3.967047
31.0,-3.974736
31.5,-3.985543
32.0,-4.000294
32.5,-4.015433
33.0,-4.025189
33.5,-4.028621
34.0,-4.029495
34.5,-4.042621
35.0,-4.069150
35.5,-4.096056
36.0,-4.112927
36.5,-4.121450
37.0,-4.119283
37.5,-4.105470
38.0,-4.088801
38.5,-4.073074
39.0,-4.052217
39.5,-4.029257
40.0,-4.022713
40.5,-4.025952
41.0,-4.024952
41.5,-4.018883
42.0,-4.007480
42.5,-3.997690
43.0,-3.994717
43.5,-4.002789
44.0,-4.016862
44.5,-4.025192
45.0,-4.030575
45.5,-4.038980
46.0,-4.051523
46.5,-4.064402
47.0,-4.069831
47.5,-4.069734
48.0,-4.069153
48.5,-4.065460
49.0,-4.050218
49.5,-4.028263
50.0,-4.012370
50.5,-4.002926
51.0,-3.996622
51.5,-3.991494
52.0,-3.982707
52.5,-3.974489
53.0,-3.965668
53.5,-3.957281
54.0,-3.957456
54.5,-3.955596
55.0,-3.948878
55.5,-3.937511
56.0,-3.926046
56.5,-3.915697
57.0,-3.911958
57.5,-3.904594
58.0,-3.881900
58.5,-3.854825
59.0,-3.838715
59.5,-3.825392
60.0,-3.814481
60.5,-3.794801
61.0,-3.780882
61.5,-3.780454
62.0,-3.784989
62.5,-3.787068
63.0,-3.780344
63.5,-3.764527
64.0,-3.744828
64.5,-3.727679
65.0,-3.718278
65.5,-3.709666
66.0,-3.695534
66.5,-3.681782
67.0,-3.666151
67.5,-3.650057
68.0,-3.637954
68.5,-3.630240
69.0,-3.621393
69.5,-3.601667
70.0,-3.572308
70.5,-3.553368
71.0,-3.545104
71.5,-3.534746
72.0,-3.526137
72.5,-3.520347
73.0,-3.527271
73.5,-3.556180
74.0,-3.580193
74.5,-3.589021
75.0,-3.576406
75.5,-3.549633
76.0,-3.533263
76.5,-3.514616
77.0,-3.489212
77.5,-3.474777
78.0,-3.476506
78.5,-3.471924
79.0,-3.459866
79.5,-3.434566
80.0,-3.402075
80.5,-3.378412
81.0,-3.368402
81.5,-3.362184
82.0,-3.356145
82.5,-3.360961
83.0,-3.375319
83.5,-3.398050
84.0,-3.428685
84.5,-3.462409
