"d","test1"
0.0,4.475046
0.5,4.496812
1.0,4.517393
1.5,4.540271
2.0,4.569311
2.5,4.595076
3.0,4.615827
3.5,4.632139
4.0,4.628699
4.5,4.606104
5.0,4.568835
5.5,4.527777
6.0,4.490085
6.5,4.466889
7.0,4.468310
7.5,4.493004
8.0,4.530628
8.5,4.574634
9.0,4.617167
9.5,4.650421
10.0,4.670127
10.5,4.679156
11.0,4.684157
11.5,4.683603
12.0,4.673512
12.5,4.657903
13.0,4.641562
13.5,4.626573
14.0,4.618852
14.5,4.620004
15.0,4.619441
15.5,4.611693
16.0,4.601522
16.5,4.596673
17.0,4.605012
17.5,4.624421
18.0,4.644657
18.5,4.662789
19.0,4.673235
19.5,4.675976
20.0,4.676643
20.5,4.671154
21.0,4.654335
21.5,4.623133
22.0,4.589455
22.5,4.563694
23.0,4.550176
23.5,4.548412
24.0,4.549183
24.5,4.547586
25.0,4.548432
25.5,4.555992
26.0,4.568109
26.5,4.575817
27.0,4.574707
27.5,4.566177
28.0,4.557532
28.5,4.546694
29.0,4.532331
29.5,4.522106
30.0,4.522685
30.5,4.533102
31.0,4.545622
31.5,4.547714
32.0,4.541711
32.5,4.532771
33.0,4.523556
33.5,4.514911
34.0,4.507654
34.5,4.503603
35.0,4.495064
35.5,4.483738
36.0,4.477133
36.5,4.473865
37.0,4.463487
37.5,4.448459
38.0,4.439953
38.5,4.441515
39.0,4.451920
39.5,4.467746
40.0,4.485957
40.5,4.509469
41.0,4.532422
41.5,4.557867
42.0,4.578300
42.5,4.577910
43.0,4.568661
43.5,4.557451
44.0,4.545368
44.5,4.534390
45.0,4.527222
45.5,4.523005
46.0,4.521564
46.5,4.523777
47.0,4.531343
47.5,4.539355
48.0,4.545394
48.5,4.551733
49.0,4.557860
49.5,4.563513
50.0,4.566386
50.5,4.561856
51.0,4.554982
51.5,4.555327
52.0,4.562206
52.5,4.568886
53.0,4.571656
53.5,4.572058
54.0,4.573316
54.5,4.580758
55.0,4.594485
55.5,4.604352
56.0,4.604284
56.5,4.598175
57.0,4.594646
57.5,4.593260
58.0,4.590301
58.5,4.589625
59.0,4.588769
59.5,4.584511
60.0,4.583591
60.5,4.596272
61.0,4.617899
61.5,4.635985
62.0,4.649941
62.5,4.663599
63.0,4.685462
63.5,4.705289
64.0,4.713838
64.5,4.711645
65.0,4.703764
65.5,4.696481
66.0,4.695543
66.5,4.703858
67.0,4.718070
67.5,4.737121
68.0,4.758139
68.5,4.773509
69.0,4.785846
69.5,4.799705
70.0,4.816147
70.5,4.828231
71.0,4.836747
71.5,4.846777
72.0,4.857720
72.5,4.867094
73.0,4.861966
73.5,4.845387
74.0,4.830096
74.5,4.827613
75.0,4.834438
75.5,4.841019
76.0,4.840501
76.5,4.835829
77.0,4.836802
77.5,4.851964
78.0,4.874947
78.5,4.892012
79.0,4.913446
79.5,4.937484
80.0,4.952811
80.5,4.954566
81.0,4.945384
81.5,4.932384
82.0,4.920516
82.5,4.915611
83.0,4.922380
83.5,4.930800
84.0,4.937959
84.5,4.948544
85.0,4.949241
85.5,4.936829
86.0,4.925800
86.5,4.914745
87.0,4.905153
87.5,4.898566
88.0,4.886084
88.5,4.867949
89.0,4.858274
89.5,4.867183
90.0,4.885767
90.5,4.909807
91.0,4.934452
91.5,4.959247
92.0,4.974124
92.5,4.969607
93.0,4.948202
93.5,4.916757
94.0,4.880266
94.5,4.838370
95.0,4.795526
95.5,4.754617
96.0,4.720529
96.5,4.699073
97.0,4.676126
97.5,4.650037
98.0,4.624825
98.5,4.607078
99.0,4.605020
99.5,4.609537
100.0,4.614165
100.5,4.613688
101.0,4.605200
101.5,4.590882
102.0,4.573176
102.5,4.549580
103.0,4.517676
103.5,4.478558
104.0,4.437756
104.5,4.399243
105.0,4.362189
105.5,4.325978
106.0,4.289498
106.5,4.253000
107.0,4.217855
107.5,4.185909
108.0,4.155329
108.5,4.123020
109.0,4.090653
109.5,4.060681
110.0,4.033470
110.5,4.009486
111.0,3.988054
111.5,3.968282
112.0,3.949182
112.5,3.930534
113.0,3.911413
113.5,3.891513
114.0,3.871348
114.5,3.851290
115.0,3.832312
115.5,3.814027
116.0,3.796299
116.5,3.786889
117.0,3.786385
117.5,3.783517
118.0,3.768378
118.5,3.749945
119.0,3.733051
119.5,3.718544
120.0,3.708671
120.5,3.701041
121.0,3.698124
121.5,3.704788
122.0,3.715827
122.5,3.728169
123.0,3.740926
123.5,3.757214
124.0,3.776272
124.5,3.795300
125.0,3.811464
125.5,3.824280
126.0,3.835826
126.5,3.845776
127.0,3.852484
127.5,3.855499
128.0,3.856090
128.5,3.856780
129.0,3.858928
129.5,3.862660
130.0,3.867870
130.5,3.874354
131.0,3.882695
131.5,3.894605
132.0,3.910261
132.5,3.928664
133.0,3.948488
133.5,3.968653
134.0,3.988585
134.5,4.007311
135.0,4.023986
135.5,4.037467
136.0,4.046660
136.5,4.053128
137.0,4.056345
137.5,4.056762
138.0,4.053481
138.5,4.046749
139.0,4.039979
139.5,4.035969
140.0,4.035290
140.5,4.037944
141.0,4.041394
141.5,4.042643
142.0,4.044504
142.5,4.044329
143.0,4.029901
143.5,4.019449
144.0,4.006152
144.5,3.985736
145.0,3.959522
145.5,3.930065
146.0,3.898459
146.5,3.865790
147.0,3.833792
147.5,3.804863
148.0,3.784285
148.5,3.775534
149.0,3.761401
149.5,3.749317
150.0,3.740407
150.5,3.732552
151.0,3.724544
151.5,3.715167
152.0,3.702705
152.5,3.685176
153.0,3.662098
153.5,3.635469
154.0,3.606865
154.5,3.576229
155.0,3.542380
155.5,3.506041
156.0,3.467968
156.5,3.429760
157.0,3.391682
157.5,3.354616
158.0,3.318029
158.5,3.282032
159.0,3.253015
159.5,3.229653
160.0,3.207840
160.5,3.190005
161.0,3.173405
161.5,3.150991
162.0,3.125188
162.5,3.097260
163.0,3.066384
163.5,3.033935
164.0,3.007106
164.5,2.992630
165.0,2.989943
165.5,2.993677
166.0,2.998132
166.5,3.000164
167.0,2.997116
167.5,2.990834
168.0,2.984503
168.5,2.976368
169.0,2.963122
169.5,2.944707
170.0,2.924042
170.5,2.901550
171.0,2.880502
171.5,2.865691
172.0,2.857317
172.5,2.851087
173.0,2.836737
173.5,2.822461
174.0,2.819414
174.5,2.826130
175.0,2.837317
175.5,2.850400
176.0,2.864164
176.5,2.876659
177.0,2.888736
177.5,2.895633
178.0,2.891232
178.5,2.875100
179.0,2.856525
179.5,2.846893
180.0,2.840007
180.5,2.833870
181.0,2.831595
181.5,2.833634
182.0,2.839051
182.5,2.850172
183.0,2.862755
183.5,2.872889
184.0,2.877249
184.5,2.878489
185.0,2.878658
185.5,2.876113
186.0,2.883016
186.5,2.902215
187.0,2.915470
187.5,2.931776
188.0,2.955296
188.5,2.978244
189.0,3.001028
189.5,3.026284
190.0,3.050690
190.5,3.070484
191.0,3.083648
191.5,3.086051
192.0,3.077717
192.5,3.069102
193.0,3.067026
193.5,3.081077
194.0,3.101288
194.5,3.105944
195.0,3.104869
195.5,3.102182
