"d","test1"
0.0,-0.955329
0.5,-0.957583
1.0,-0.972818
1.5,-0.976084
2.0,-0.978160
2.5,-0.998059
3.0,-1.017238
3.5,-1.032923
4.0,-1.039784
4.5,-1.055657
5.0,-1.055931
5.5,-1.069238
6.0,-1.081324
6.5,-1.073698
7.0,-1.065449
7.5,-1.062109
8.0,-1.061600
8.5,-1.062414
9.0,-1.063637
9.5,-1.065233
10.0,-1.053973
10.5,-1.029302
11.0,-1.014956
11.5,-1.017259
12.0,-0.984402
12.5,-0.949501
13.0,-0.936066
13.5,-0.921733
14.0,-0.887642
14.5,-0.872606
15.0,-0.850390
15.5,-0.824958
16.0,-0.810028
16.5,-0.799943
17.0,-0.794329
17.5,-0.797965
18.0,-0.790110
18.5,-0.780586
19.0,-0.785453
19.5,-0.790738
20.0,-0.805763
20.5,-0.814240
21.0,-0.810047
21.5,-0.805933
22.0,-0.803208
22.5,-0.801444
23.0,-0.799849
23.5,-0.797405
24.0,-0.795363
24.5,-0.796274
25.0,-0.799028
25.5,-0.802759
26.0,-0.806403
26.5,-0.810613
27.0,-0.815275
27.5,-0.818135
28.0,-0.824570
28.5,-0.835097
29.0,-0.831401
29.5,-0.857458
30.0,-0.864984
30.5,-0.871262
31.0,-0.879478
31.5,-0.877426
32.0,-0.876251
32.5,-0.876320
33.0,-0.877412
33.5,-0.878611
34.0,-0.879028
34.5,-0.878915
35.0,-0.880257
35.5,-0.882281
36.0,-0.882783
36.5,-0.881822
37.0,-0.880234
37.5,-0.878899
38.0,-0.877480
38.5,-0.875482
39.0,-0.872940
39.5,-0.870523
40.0,-0.869712
40.5,-0.871477
41.0,-0.873829
41.5,-0.875563
42.0,-0.876897
42.5,-0.877588
43.0,-0.877163
43.5,-0.876187
44.0,-0.874920
44.5,-0.873120
45.0,-0.871169
45.5,-0.869994
46.0,-0.869656
46.5,-0.869793
47.0,-0.869867
47.5,-0.870215
48.0,-0.871497
48.5,-0.873881
49.0,-0.875543
49.5,-0.875717
50.0,-0.875195
50.5,-0.889374
51.0,-0.900279
51.5,-0.920439
52.0,-0.942394
52.5,-0.947036
53.0,-0.969387
53.5,-0.993759
54.0,-1.005981
54.5,-1.014976
55.0,-1.034732
55.5,-1.059051
56.0,-1.081571
56.5,-1.101201
57.0,-1.110236
57.5,-1.131118
58.0,-1.155594
58.5,-1.157195
59.0,-1.156058
59.5,-1.165495
60.0,-1.177657
60.5,-1.183205
61.0,-1.178123
61.5,-1.183205
62.0,-1.194821
62.5,-1.196093
63.0,-1.197094
63.5,-1.198776
64.0,-1.199352
64.5,-1.198751
65.0,-1.197261
65.5,-1.202691
66.0,-1.213965
